Timestamp,PC,Type,Address,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write
5,0x563ec8e02089,R,0x7ffeac767480,,,,,,,-45904133760168,-8,-45904133760152,-24,-104,-304
9,0x563ec8e02091,W,0x7ffeac767478,-8,,,,,,-45904133760160,-8,-45904133760144,-264,-96,-296
11,0x563ec8e02092,W,0x7ffeac767470,-16,-8,-16,,,,-45904133760152,-8,-88,-256,-88,-280
16,0x563ec8e0209f,R,0x563ec8e04fd8,-45904133760168,-45904133760152,-45904133760168,-45904133760160,-45904133760168,,16,45904133760144,45904133760064,45904133759864,45904133759856,45904133759872
17,0x563ec8e0209f,W,0x7ffeac767468,45904133760144,-8,-24,-16,-24,-16,-45904133760128,-248,-80,-280,-45904133760152,-272
21,0x563ec8e02008,R,0x563ec8e04fe8,16,-45904133760128,-45904133760152,-45904133760144,-45904133760152,-45904133760136,45904133760048,45904133759880,45904133759840,45904133759848,45904133759872,45904133759856
26,0x563ec8e0201a,R,0x7ffeac767418,45904133760048,-80,-104,-88,45904133760064,-88,0,-168,-45904133760072,-200,-176,-208
39,0x563ec8e02118,R,0x7ffeac767418,0,-80,45904133760064,-88,45904133760064,-96,-208,-168,-45904133760072,-192,-176,-224
42,0x563ec8e0216d,W,0x7ffeac767370,-168,-248,45904133759880,-256,-272,-264,-40,-32,-45904133759904,-40,-8,-8
46,0x563ec8e02175,W,0x7ffeac767350,-200,-32,-200,-288,45904133759864,-296,-8,8,-45904133759872,-24,24,-45903938764976
48,0x563ec8e0217d,W,0x7ffeac767358,-192,8,-192,-272,45904133759856,-288,-16,-16,-45904133759880,16,-16,-45903938764984
50,0x563ec8e02185,W,0x7ffeac767348,-208,-16,-208,-40,45904133759840,-296,0,-16,32,32,0,-45903938764960
53,0x563ec8e021da,R,0x7ffeac767348,-208,0,-208,-8,45904133759840,-288,-45904133759864,-16,32,-45903938764968,32,-45903938764960
57,0x563ec8e02193,W,0x7ffeac767338,-16,-16,-224,-32,45904133759824,-56,-45904133759848,48,16,-45903938764952,48,24
60,0x563ec8e02074,R,0x563ec8e04fd0,-45904133759864,-45904133759848,-45904133760072,-45904133759880,-24,-45904133759872,45904133759896,45904133759896,45904133759864,194994904,45904133759880,45904133759872
62,0x563ec8e02198,W,0x7ffeac767368,45904133759896,48,-176,32,-176,24,0,-45903938765000,0,-45903938764992,0,-24
64,0x563ec8e0219c,R,0x7ffeac767368,45904133759896,0,32,32,-176,16,-32,-45903938765000,-16,-45903938764992,0,-16
66,0x563ec8e021a0,R,0x7ffeac767348,-32,-32,0,16,-208,-16,32,-45903938764968,16,8,32,16
68,0x563ec8e021a3,W,0x563ed47fb2a0,-45903938764968,-45903938765000,194994896,-45903938764952,-45903938765176,-45903938764968,45903938765000,8,45903938765000,45903938764976,45903938765000,45903938764968
70,0x563ec8e021a5,R,0x7ffeac767368,32,45903938765000,0,48,32,32,-16,-45903938764992,0,-16,-32,-32
72,0x563ec8e021a9,W,0x563ed47fb2a8,-45903938764992,8,-45903938764992,-45903938764992,194994904,-45903938764960,45903938764976,45903938764968,45903938764992,45903938764976,45903938764960,45903938764960
74,0x563ec8e021b1,R,0x7ffeac767358,-16,45903938764976,16,-16,45904133759880,32,16,-8,-16,0,-16,-32
