Timestamp,PC,Type,Address,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write
5,0x5608cccb5069,R,0x7ffde18ffa40,,,,,,,-46132592147048,-8,-46132592147032,-24,-104,-296
9,0x5608cccb5071,W,0x7ffde18ffa38,-8,,,,,,-46132592147040,-8,-46132592147024,-264,-96,-288
11,0x5608cccb5072,W,0x7ffde18ffa30,-16,-8,-16,,,,-46132592147032,-8,-88,-256,-88,-288
16,0x5608cccb507f,R,0x5608cccb7fd8,-46132592147048,-46132592147032,-46132592147048,-46132592147040,-46132592147048,,16,46132592147024,46132592146944,46132592146752,46132592146740,46132592146744
17,0x5608cccb507f,W,0x7ffde18ffa28,46132592147024,-8,-24,-16,-24,-16,-46132592147008,-248,-80,-272,-284,-280
21,0x5608cccb5008,R,0x5608cccb7fe8,16,-46132592147008,-46132592147032,-46132592147024,-46132592147032,-46132592147016,46132592146928,46132592146760,46132592146724,46132592146736,46132592146692,46132592146728
26,0x5608cccb501a,R,0x7ffde18ff9d8,46132592146928,-80,-104,-88,46132592146944,-88,0,-168,-204,-192,-236,-204
39,0x5608cccb50f8,R,0x7ffde18ff9d8,0,-80,46132592146944,-88,46132592146944,-96,-204,-168,-204,-200,-236,-224
42,0x5608cccb517d,W,0x7ffde18ff930,-168,-248,46132592146760,-256,-272,-264,-36,-24,-36,-36,-68,-64
47,0x5608cccb518a,W,0x7ffde18ff918,-192,-24,-192,-280,46132592146752,-288,-12,-8,-12,-32,-44,-44
50,0x5608cccb514d,W,0x7ffde18ff910,-200,-8,-200,-280,46132592146728,-296,-4,-4,-4,-32,-36,-36
54,0x5608cccb5155,W,0x7ffde18ff90c,-204,-4,-204,-36,46132592146724,-292,0,-20,-32,-28,-64,-32
56,0x5608cccb5158,R,0x7ffde18ff90c,-204,0,-204,-12,46132592146724,-284,0,-20,-32,-28,-64,-52
59,0x5608cccb5165,R,0x7ffde18ff90c,0,0,-204,-4,46132592146724,-36,-32,-20,-32,-32,-64,-60
63,0x5608cccb516d,W,0x7ffde18ff8f8,-20,-20,-224,-24,46132592146704,-32,-12,-8,-12,-32,-44,-44
66,0x5608cccb514d,W,0x7ffde18ff8f0,-28,-8,-28,-32,-232,-40,-4,-4,-4,-32,-36,-36
70,0x5608cccb5155,W,0x7ffde18ff8ec,-32,-4,-32,-32,-236,-44,0,-20,-32,-28,-64,-32
72,0x5608cccb5158,R,0x7ffde18ff8ec,-32,0,-32,-12,-236,-36,0,-20,-32,-28,-64,-52
75,0x5608cccb5165,R,0x7ffde18ff8ec,0,0,-32,-4,-236,-32,-32,-20,-32,-32,-64,-60
79,0x5608cccb516d,W,0x7ffde18ff8d8,-20,-20,-52,-24,-256,-32,-12,-8,-12,-32,-44,-44
82,0x5608cccb514d,W,0x7ffde18ff8d0,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
86,0x5608cccb5155,W,0x7ffde18ff8cc,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
88,0x5608cccb5158,R,0x7ffde18ff8cc,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
91,0x5608cccb5165,R,0x7ffde18ff8cc,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
95,0x5608cccb516d,W,0x7ffde18ff8b8,-20,-20,-52,-24,-84,-32,-12,-8,-12,-32,-44,-44
98,0x5608cccb514d,W,0x7ffde18ff8b0,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
102,0x5608cccb5155,W,0x7ffde18ff8ac,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
104,0x5608cccb5158,R,0x7ffde18ff8ac,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
107,0x5608cccb5165,R,0x7ffde18ff8ac,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
111,0x5608cccb516d,W,0x7ffde18ff898,-20,-20,-52,-24,-84,-32,-12,-8,-12,-32,-44,-44
114,0x5608cccb514d,W,0x7ffde18ff890,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
118,0x5608cccb5155,W,0x7ffde18ff88c,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
120,0x5608cccb5158,R,0x7ffde18ff88c,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
123,0x5608cccb5165,R,0x7ffde18ff88c,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
127,0x5608cccb516d,W,0x7ffde18ff878,-20,-20,-52,-24,-84,-32,-12,-8,-12,-32,-44,-44
130,0x5608cccb514d,W,0x7ffde18ff870,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
134,0x5608cccb5155,W,0x7ffde18ff86c,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
136,0x5608cccb5158,R,0x7ffde18ff86c,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
139,0x5608cccb5165,R,0x7ffde18ff86c,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
143,0x5608cccb516d,W,0x7ffde18ff858,-20,-20,-52,-24,-84,-32,-12,-8,-12,-32,-44,-44
146,0x5608cccb514d,W,0x7ffde18ff850,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
150,0x5608cccb5155,W,0x7ffde18ff84c,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
152,0x5608cccb5158,R,0x7ffde18ff84c,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
155,0x5608cccb5165,R,0x7ffde18ff84c,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
159,0x5608cccb516d,W,0x7ffde18ff838,-20,-20,-52,-24,-84,-32,-12,-8,-12,-32,-44,-44
162,0x5608cccb514d,W,0x7ffde18ff830,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
166,0x5608cccb5155,W,0x7ffde18ff82c,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
168,0x5608cccb5158,R,0x7ffde18ff82c,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
171,0x5608cccb5165,R,0x7ffde18ff82c,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
175,0x5608cccb516d,W,0x7ffde18ff818,-20,-20,-52,-24,-84,-32,-12,-8,-12,-32,-44,-44
178,0x5608cccb514d,W,0x7ffde18ff810,-28,-8,-28,-32,-60,-40,-4,-4,-4,-32,-36,-36
182,0x5608cccb5155,W,0x7ffde18ff80c,-32,-4,-32,-32,-64,-44,0,-20,-32,-28,-64,-32
184,0x5608cccb5158,R,0x7ffde18ff80c,-32,0,-32,-12,-64,-36,0,-20,-32,-28,-64,-52
187,0x5608cccb5165,R,0x7ffde18ff80c,0,0,-32,-4,-64,-32,-32,-20,-32,-32,-64,-60
