Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55ac7dbe30e9,R,0x7ffffbd4d8d0,1,,,,,,,,,,,,,,,,,-46538086054136,-8,-46538086054120,-24,-104,-324,-324,-336,-336,-304,-46538086054152,-344,24,-308,-304,-344
9,0x55ac7dbe30f1,W,0x7ffffbd4d8c8,1,-8,,,,,,,,,,,,,,,,-46538086054128,-8,-46538086054112,-264,-96,-316,-316,-300,24,-296,-328,-336,-46538086054144,-300,-296,-296
11,0x55ac7dbe30f2,W,0x7ffffbd4d8c0,1,-16,-8,-16,,,,,,,,,,,,,,-46538086054120,-8,-88,-256,-88,-320,-320,-292,-46538086054136,-288,40,-328,-46538086054136,-328,-288,-276
16,0x55ac7dbe30ff,R,0x55ac7dbe5fd8,1,-46538086054136,-46538086054120,-46538086054136,-46538086054128,-46538086054136,,,,,,,,,,,,16,46538086054112,46538086054032,46538086053812,46538086053812,46538086053800,46538086054152,46538086053828,46538086053800,46538086053832,46538086054160,46538086053828,-16,46538086053832,46538086053832,46538086053792
17,0x55ac7dbe30ff,W,0x7ffffbd4d8b8,1,46538086054112,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46538086054096,-248,-80,-300,-312,-312,-46538086054128,-284,-312,-320,48,-320,-46538086054128,-268,-280,-256
21,0x55ac7dbe3008,R,0x55ac7dbe5fe8,1,16,-46538086054096,-46538086054120,-46538086054112,-46538086054120,-46538086054104,-46538086054120,-46538086054112,-46538086054120,,,,,,,,46538086054016,46538086053848,46538086053796,46538086053796,46538086054136,46538086053784,-32,46538086053816,46538086053784,46538086053812,46538086054144,46538086053816,-32,46538086053776,46538086053816,46538086053820
26,0x55ac7dbe301a,R,0x7ffffbd4d868,1,46538086054016,-80,-104,-88,46538086054032,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-232,-220,120,-204,-46538086054048,-240,-232,-240,128,-188,-46538086054048,-176,-188,-196
39,0x55ac7dbe3178,R,0x7ffffbd4d868,1,0,-80,46538086054032,-88,46538086054032,-96,46538086054032,-88,-104,-88,-104,-96,-104,,,,-220,-168,-232,-232,120,-200,-46538086054048,-204,-232,-200,128,-240,-200,-176,-46538086054056,-196
42,0x55ac7dbe31cd,W,0x7ffffbd4d7c0,1,-168,-248,46538086053848,-256,-272,-264,46538086053864,-248,46538086053864,-256,-272,-256,-272,-264,-272,,-52,-52,-64,-36,288,-72,-46538086053880,-72,-64,-20,-46538086053880,-72,-20,-8,-8,-28
46,0x55ac7dbe31d5,W,0x7ffffbd4d78c,1,-220,-52,-220,-308,46538086053812,-316,46538086053796,-300,46538086053812,-300,46538086053812,-308,-324,-308,-324,-316,0,-12,-12,20,340,16,-46538086053828,20,348,32,20,-20,-46538086053836,44,44,-46537591379180
