Delta_with_1_last_read_pattern,Delta_with_1_last_read_most_frequent_delta,Delta_with_1_last_read_mean_abs_delta,Delta_with_1_last_read_n_stride_changes,Delta_with_1_last_write_pattern,Delta_with_1_last_write_most_frequent_delta,Delta_with_1_last_write_mean_abs_delta,Delta_with_1_last_write_n_stride_changes,Delta_with_2_last_read_pattern,Delta_with_2_last_read_most_frequent_delta,Delta_with_2_last_read_mean_abs_delta,Delta_with_2_last_read_n_stride_changes,Delta_with_2_last_write_pattern,Delta_with_2_last_write_most_frequent_delta,Delta_with_2_last_write_mean_abs_delta,Delta_with_2_last_write_n_stride_changes,Delta_with_3_last_read_pattern,Delta_with_3_last_read_most_frequent_delta,Delta_with_3_last_read_mean_abs_delta,Delta_with_3_last_read_n_stride_changes,Delta_with_3_last_write_pattern,Delta_with_3_last_write_most_frequent_delta,Delta_with_3_last_write_mean_abs_delta,Delta_with_3_last_write_n_stride_changes,Delta_with_1_next_read_pattern,Delta_with_1_next_read_most_frequent_delta,Delta_with_1_next_read_mean_abs_delta,Delta_with_1_next_read_n_stride_changes,Delta_with_1_next_write_pattern,Delta_with_1_next_write_most_frequent_delta,Delta_with_1_next_write_mean_abs_delta,Delta_with_1_next_write_n_stride_changes,Delta_with_2_next_read_pattern,Delta_with_2_next_read_most_frequent_delta,Delta_with_2_next_read_mean_abs_delta,Delta_with_2_next_read_n_stride_changes,Delta_with_2_next_write_pattern,Delta_with_2_next_write_most_frequent_delta,Delta_with_2_next_write_mean_abs_delta,Delta_with_2_next_write_n_stride_changes,Delta_with_3_next_read_pattern,Delta_with_3_next_read_most_frequent_delta,Delta_with_3_next_read_mean_abs_delta,Delta_with_3_next_read_n_stride_changes,Delta_with_3_next_write_pattern,Delta_with_3_next_write_most_frequent_delta,Delta_with_3_next_write_mean_abs_delta,Delta_with_3_next_write_n_stride_changes,code_segment_transitions,n_reads,n_writes,dominant_type_subsequence,entropy_of_addresses,entropy_of_pc
"Null,-8.0,-16.0,-45904133760168.0,45904133760144.0,16.0,45904133760048.0,0.0",-8,19673200182914.285,1,"Null,Null,-8.0,-45904133760152.0,-8.0,-45904133760128.0,-80.0,-80.0",-8,15301377920076.0,0,"Null,Null,-16.0,-45904133760168.0,-24.0,-45904133760152.0,-104.0,45904133760064.0",-16,22952066880088.0,1,"Null,Null,Null,-45904133760160.0,-16.0,-45904133760144.0,-88.0,-88.0",-88,18361653504099.2,0,"Null,Null,Null,-45904133760168.0,-24.0,-45904133760152.0,45904133760064.0,45904133760064.0",45904133760064,36723307008094.4,1,"Null,Null,Null,Null,-16.0,-45904133760136.0,-88.0,-96.0",-16,11476033440084.0,0,"-45904133760168.0,-45904133760160.0,-45904133760152.0,16.0,-45904133760128.0,45904133760048.0,0.0,-208.0",-45904133760168,28690083600110.0,4,"-8.0,-8.0,-8.0,45904133760144.0,-248.0,45904133759880.0,-168.0,-168.0",-8,11476033440079.0,4,"-45904133760152.0,-45904133760144.0,-88.0,45904133760064.0,-80.0,45904133759840.0,-45904133760072.0,-45904133760072.0",-45904133760072,34428100320064.0,4,"-24.0,-264.0,-256.0,45904133759864.0,-280.0,45904133759848.0,-200.0,-192.0",-24,11476033440116.0,4,"-104.0,-96.0,-88.0,45904133759856.0,-45904133760152.0,45904133759872.0,-176.0,-176.0",-176,17214050160065.0,4,"-304.0,-296.0,-280.0,45904133759872.0,-272.0,45904133759856.0,-208.0,-224.0",-304,11476033440164.0,4,4,5,3,R (5),2.75,2.75
"-168.0,-200.0,-192.0,-208.0,-208.0,-16.0,-45904133759864.0,45904133759896.0",-208,11476033440094.0,1,"-248.0,-32.0,8.0,-16.0,0.0,-16.0,-45904133759848.0,48.0",-16,5738016720027.0,3,"45904133759880.0,-200.0,-192.0,-208.0,-208.0,-224.0,-45904133760072.0,-176.0",-208,11476033440145.0,1,"-256.0,-288.0,-272.0,-40.0,-8.0,-32.0,-45904133759880.0,32.0",-256,5738016720101.0,1,"-272.0,45904133759864.0,45904133759856.0,45904133759840.0,45904133759840.0,45904133759824.0,-24.0,-176.0",45904133759840,28690083599962.0,2,"-264.0,-296.0,-288.0,-296.0,-288.0,-56.0,-45904133759872.0,24.0",-296,5738016720173.0,1,"-40.0,-8.0,-16.0,0.0,-45904133759864.0,-45904133759848.0,45904133759896.0,0.0",0,17214050159959.0,1,"-32.0,8.0,-16.0,-16.0,-16.0,48.0,45904133759896.0,-45903938765000.0",-16,11476009065629.0,4,"-45904133759904.0,-45904133759872.0,-45904133759880.0,32.0,32.0,16.0,45904133759864.0,0.0",32,22952066879950.0,1,"-40.0,-24.0,16.0,32.0,-45903938764968.0,-45903938764952.0,194994904.0,-45903938764992.0",-40,17214001411241.0,4,"-8.0,24.0,-16.0,0.0,32.0,48.0,45904133759880.0,0.0",0,5738016720001.0,3,"-8.0,-45903938764976.0,-45903938764984.0,-45903938764960.0,-45903938764960.0,24.0,45904133759872.0,-24.0",-45903938764960,28689986102476.0,2,2,2,6,W (6),2.75,3.0
"45904133759896.0,-32.0,-45903938764968.0,32.0,-45903938764992.0,-16.0,16.0,-24.0",45904133759896,17214001411247.0,5,"0.0,-32.0,-45903938765000.0,45903938765000.0,8.0,45903938764976.0,45903938764992.0,45903938764968.0",0,28689961728122.0,1,"32.0,0.0,194994896.0,0.0,-45903938764992.0,16.0,32.0,-24.0",32,5738016719999.0,3,"32.0,16.0,-45903938764952.0,48.0,-45903938764992.0,-16.0,45903938765000.0,45903938764976.0",32,22951969382504.0,4,"-176.0,-208.0,-45903938765176.0,32.0,194994904.0,45904133759880.0,0.0,-24.0",-176,11476033440050.0,2,"16.0,-16.0,-45903938764968.0,32.0,-45903938764960.0,32.0,48.0,-24.0",32,11475984691262.0,5,"-32.0,32.0,45903938765000.0,-16.0,45903938764976.0,16.0,0.0,24.0",-32,11475984691262.0,3,"-45903938765000.0,-45903938764968.0,8.0,-45903938764992.0,45903938764968.0,-8.0,-24.0,8.0",8,22951969382497.0,5,"-16.0,16.0,45903938765000.0,0.0,45903938764992.0,-16.0,-32.0,-8.0",-16,11475984691260.0,2,"-45903938764992.0,8.0,45903938764976.0,-16.0,45903938764976.0,0.0,-32.0,-8.0",45903938764976,17213977036876.0,4,"0.0,32.0,45903938765000.0,-32.0,45903938764960.0,-16.0,-45904133759896.0,-45904133759872.0",0,22952018131226.0,3,"-16.0,16.0,45903938764968.0,-32.0,45903938764960.0,-32.0,-48.0,24.0",-32,11475984691262.0,5,4,5,3,R (5),2.4056390622295662,3.0
"0.0,-16.0,-32.0,0.0,0.0,-16.0,-45904133759864.0,45904133759896.0",0,11476033439978.0,1,"24.0,8.0,-16.0,-16.0,0.0,-16.0,-45904133759848.0,48.0",-16,5738016719997.0,2,"16.0,0.0,-32.0,-32.0,-32.0,-48.0,-45904133759864.0,32.0",-32,5738016720007.0,2,"45903938765000.0,45903938764976.0,45903938764960.0,-8.0,-8.0,-32.0,-45904133759880.0,32.0",-8,22951993756862.0,2,"32.0,-16.0,-32.0,-16.0,-16.0,-48.0,-45904133759896.0,0.0",-16,5738016720007.0,1,"0.0,-16.0,45903938764968.0,45903938764968.0,45903938764960.0,45903938764944.0,-45904133759872.0,24.0",45903938764968,28689986102469.0,3,"-32.0,-16.0,0.0,0.0,-45904133759864.0,-45904133759848.0,45904133759896.0,0.0",0,17214050159957.0,1,"-16.0,-16.0,0.0,-16.0,-16.0,48.0,45904133759896.0,-45903938764968.0",-16,11476009065622.0,2,"-32.0,-45904133759880.0,-45904133759864.0,32.0,32.0,16.0,45904133759864.0,0.0",32,17214050159965.0,1,"-48.0,-32.0,32.0,32.0,-45903938764936.0,-45903938764920.0,194994936.0,-45903938764960.0",32,17214001411237.0,4,"0.0,16.0,0.0,0.0,32.0,48.0,45904133759880.0,-16.0",0,5738016719999.0,1,"0.0,-45903938764952.0,-45903938764936.0,-45903938764928.0,-45903938764928.0,-45903938764944.0,194994904.0,-45903938764992.0",-45903938764928,34427978448073.0,2,2,4,4,R (4),2.1556390622295662,2.75
"45904133759896.0,-32.0,-45903938764936.0,32.0,-45903938764960.0,-16.0,0.0,16.0",45904133759896,17214001411236.0,4,"0.0,-32.0,-45903938764968.0,45903938764968.0,8.0,45903938764944.0,45903938764944.0,45903938764960.0",45903938764944,28689961728103.0,1,"32.0,0.0,194994928.0,0.0,-45903938764960.0,16.0,16.0,0.0",0,5738016719994.0,2,"32.0,16.0,-45903938764920.0,48.0,-45903938764960.0,-16.0,45903938764952.0,45903938764968.0",32,22951969382489.0,4,"0.0,0.0,-45903938764936.0,32.0,194994936.0,45904133759880.0,-16.0,0.0",0,11476033439975.0,2,"16.0,-16.0,-45903938764936.0,32.0,-45903938764928.0,32.0,32.0,0.0",32,11475984691249.0,4,"-32.0,32.0,45903938764968.0,-16.0,45903938764944.0,0.0,16.0,0.0",0,11475984691251.0,3,"-45903938764968.0,-45903938764936.0,8.0,-45903938764960.0,-32.0,-45903938764976.0,-45903938764976.0,-45903938764992.0",-45903938764976,34427954073731.0,2,"-16.0,16.0,45903938764952.0,-16.0,45903938764960.0,16.0,-16.0,-32.0",-16,11475984691253.0,4,"-45903938764960.0,-45903938764960.0,-24.0,-16.0,45903938764944.0,0.0,0.0,-32.0",-45903938764960,17213977036867.0,2,"-16.0,32.0,45903938764968.0,0.0,45903938764928.0,-16.0,-16.0,-45904133759896.0",-16,17214001411234.0,2,"-16.0,16.0,45903938764936.0,-32.0,45903938764928.0,-16.0,-32.0,-48.0",-16,11475984691253.0,4,4,6,2,R (6),2.1556390622295662,3.0
"-45903938764992.0,0.0,-16.0,-32.0,0.0,0.0,-16.0,-45904133759864.0",0,11476009065615.0,0,"-32.0,45903938764992.0,45903938764976.0,-16.0,-16.0,0.0,-16.0,-45904133759848.0",-16,17214001411237.0,2,"-45903938764976.0,16.0,0.0,-32.0,-32.0,-32.0,-48.0,-45904133759864.0",-32,11476009065625.0,2,"-24.0,45903938764968.0,45903938764944.0,45903938764928.0,45903938764960.0,45903938764960.0,-32.0,-45904133759880.0",45903938764960,34427978448087.0,2,"-45903938764960.0,0.0,0.0,-16.0,-16.0,-16.0,-48.0,-45904133759896.0",-16,11476009065619.0,0,"-45903938764992.0,0.0,-16.0,45903938764936.0,45903938764936.0,45903938764928.0,45903938764912.0,-194994904.0",45903938764936,28689986102453.0,2,"45903938764992.0,-32.0,-16.0,0.0,0.0,-45904133759864.0,-45904133759848.0,45904133759896.0",0,22952042505581.0,2,"45903938764976.0,-16.0,-16.0,0.0,-16.0,-16.0,48.0,45904133759896.0",-16,11476009065623.0,2,"45903938764960.0,-32.0,-45904133759880.0,-45904133759864.0,32.0,32.0,16.0,45904133759864.0",32,22952042505585.0,2,"45903938764960.0,-48.0,-32.0,32.0,32.0,-45903938764904.0,-45903938764888.0,194994968.0",32,17214001411233.0,4,"-194994904.0,0.0,16.0,0.0,0.0,32.0,48.0,45904133759880.0",0,5738041094360.0,1,"45903938764992.0,0.0,-45903938764920.0,-45903938764904.0,-45903938764896.0,-45903938764896.0,-45903938764912.0,194994936.0",-45903938764896,34427978448057.0,2,2,4,4,W (4),2.4056390622295662,2.75
"45904133759896.0,45904133759896.0,-32.0,-45903938764904.0,32.0,-45903938764928.0,-16.0,0.0",45904133759896,22952018131213.0,3,"48.0,0.0,-32.0,-45903938764936.0,45903938764936.0,8.0,45903938764912.0,45903938764912.0",45903938764912,22951969382473.0,2,"32.0,32.0,0.0,194994960.0,0.0,-45903938764928.0,16.0,16.0",32,5738016719998.0,2,"32.0,32.0,16.0,-45903938764888.0,48.0,-45903938764928.0,-16.0,45903938764920.0",32,17213977036860.0,4,"0.0,0.0,0.0,-45903938764904.0,32.0,194994968.0,45904133759880.0,-16.0",0,11476033439975.0,2,"45903938764992.0,16.0,-16.0,-45903938764904.0,32.0,-45903938764896.0,32.0,32.0",32,17213977036865.0,4,"0.0,-32.0,32.0,45903938764936.0,-16.0,45903938764912.0,0.0,16.0",0,11475984691243.0,3,"-45903938764936.0,-45903938764936.0,-45903938764904.0,8.0,-45903938764928.0,-32.0,-45903938764944.0,-45903938764944.0",-45903938764936,34427954073704.0,2,"0.0,-16.0,16.0,45903938764920.0,-16.0,45903938764928.0,16.0,-16.0",-16,11475984691241.0,4,"-45903938764928.0,-45903938764928.0,-45903938764928.0,-24.0,-16.0,45903938764912.0,0.0,0.0",-45903938764928,22951969382467.0,1,"-16.0,-16.0,32.0,45903938764936.0,0.0,45903938764896.0,-16.0,-16.0",-16,11475984691241.0,2,"-45903938764960.0,-16.0,16.0,45903938764904.0,-32.0,45903938764896.0,-16.0,-32.0",-16,17213977036859.0,4,4,5,3,R (5),2.1556390622295662,3.0
"16.0,-45903938764960.0,0.0,-16.0,-32.0,0.0,0.0,-16.0",0,5737992345630.0,1,"45903938764928.0,-32.0,45903938764960.0,45903938764944.0,-16.0,-16.0,0.0,-16.0",-16,17213977036864.0,3,"0.0,-45903938764944.0,16.0,0.0,-32.0,-32.0,-32.0,-48.0",-32,5737992345638.0,2,"45903938764936.0,-24.0,45903938764936.0,45903938764912.0,45903938764896.0,45903938764928.0,45903938764928.0,-32.0",45903938764936,34427954073699.0,3,"0.0,-45903938764928.0,0.0,0.0,-16.0,-16.0,-16.0,-48.0",0,5737992345628.0,0,"0.0,-45903938764960.0,0.0,-16.0,45903938764904.0,45903938764904.0,45903938764896.0,45903938764880.0",0,28689961728070.0,1,"0.0,45903938764960.0,-32.0,-16.0,0.0,0.0,-45904133759864.0,-45904133759848.0",0,17214025785590.0,1,"-45903938764960.0,45903938764944.0,-16.0,-16.0,0.0,-16.0,-16.0,48.0",-16,11475984691252.0,3,"-32.0,45903938764928.0,-32.0,-45904133759880.0,-45904133759864.0,32.0,32.0,16.0",-32,17214025785602.0,3,"-32.0,45903938764928.0,-48.0,-32.0,32.0,32.0,-45903938764872.0,-45903938764856.0",-32,17213977036854.0,4,"-45904133759896.0,-194994936.0,0.0,16.0,0.0,0.0,32.0,48.0",0,5738041094366.0,1,"-48.0,45903938764960.0,0.0,-45903938764888.0,-45903938764872.0,-45903938764864.0,-45903938764864.0,-45903938764880.0",-45903938764864,34427954073672.0,2,2,4,4,R (4),2.1556390622295662,2.75
"-45904133759864.0,45904133759896.0,45904133759896.0,-32.0,-45903938764872.0,32.0,-45903938764896.0,-16.0",45904133759896,28690034851188.0,4,"-45904133759848.0,48.0,0.0,-32.0,-45903938764904.0,45903938764904.0,8.0,45903938764880.0",-45904133759848,22951993756828.0,3,"-45904133759864.0,32.0,32.0,0.0,194994992.0,0.0,-45903938764896.0,16.0",32,11476033439979.0,3,"-45904133759880.0,32.0,32.0,16.0,-45903938764856.0,48.0,-45903938764896.0,-16.0",32,17214001411222.0,4,"-45904133759896.0,0.0,0.0,0.0,-45903938764872.0,32.0,194995000.0,45904133759880.0",0,17214050159960.0,1,"-194994936.0,45903938764960.0,16.0,-16.0,-45903938764872.0,32.0,-45903938764864.0,32.0",32,17214001411216.0,5,"45904133759896.0,0.0,-32.0,32.0,45903938764904.0,-16.0,45903938764880.0,0.0",0,17214001411220.0,4,"45904133759896.0,-45903938764904.0,-45903938764904.0,-45903938764872.0,8.0,-45903938764896.0,-32.0,-45903938764912.0",-45903938764904,34427978448053.0,3,"45904133759864.0,0.0,-16.0,16.0,45903938764888.0,-16.0,45903938764896.0,16.0",-16,17214001411214.0,4,"194995000.0,-45903938764896.0,-45903938764896.0,-45903938764896.0,-24.0,-16.0,45903938764880.0,0.0",-45903938764896,22951993756826.0,2,"45904133759880.0,-16.0,-16.0,32.0,45903938764904.0,0.0,45903938764864.0,-16.0",-16,17214001411216.0,3,"194994968.0,-45903938764928.0,-16.0,16.0,45903938764872.0,-32.0,45903938764864.0,-16.0",-16,17214001411214.0,5,5,5,3,R (5),2.4056390622295662,3.0
"0.0,16.0,-45903938764928.0,0.0,-16.0,-32.0,0.0,0.0",0,5737992345624.0,1,"45903938764880.0,45903938764896.0,-32.0,45903938764928.0,45903938764912.0,-16.0,-16.0,0.0",-16,22951969382460.0,3,"16.0,0.0,-45903938764912.0,16.0,0.0,-32.0,-32.0,-32.0",-32,5737992345630.0,3,"45903938764888.0,45903938764904.0,-24.0,45903938764904.0,45903938764880.0,45903938764864.0,45903938764896.0,45903938764896.0",45903938764904,40165946419282.0,2,"-16.0,0.0,-45903938764896.0,0.0,0.0,-16.0,-16.0,-16.0",-16,5737992345620.0,0,"32.0,0.0,-45903938764928.0,0.0,-16.0,45903938764872.0,45903938764872.0,45903938764864.0",0,22951969382448.0,2,"16.0,0.0,45903938764928.0,-32.0,-16.0,0.0,0.0,-45904133759864.0",0,11476009065607.0,1,"-45903938764912.0,-45903938764928.0,45903938764912.0,-16.0,-16.0,0.0,-16.0,-16.0",-16,17213977036852.0,2,"-16.0,-32.0,45903938764896.0,-32.0,-45904133759880.0,-45904133759864.0,32.0,32.0",-32,17214025785598.0,3,"0.0,-32.0,45903938764896.0,-48.0,-32.0,32.0,32.0,-45903938764840.0",-32,11475984691239.0,4,"-16.0,-45904133759896.0,-194994968.0,0.0,16.0,0.0,0.0,32.0",0,5738041094366.0,1,"-32.0,-48.0,45903938764928.0,0.0,-45903938764856.0,-45903938764840.0,-45903938764832.0,-45903938764832.0",-45903938764832,28689961728046.0,2,2,5,3,R (5),1.9056390622295665,2.75
