Delta_with_1_last_read_pattern,Delta_with_1_last_read_most_frequent_delta,Delta_with_1_last_read_mean_abs_delta,Delta_with_1_last_read_n_stride_changes,Delta_with_1_last_write_pattern,Delta_with_1_last_write_most_frequent_delta,Delta_with_1_last_write_mean_abs_delta,Delta_with_1_last_write_n_stride_changes,Delta_with_2_last_read_pattern,Delta_with_2_last_read_most_frequent_delta,Delta_with_2_last_read_mean_abs_delta,Delta_with_2_last_read_n_stride_changes,Delta_with_2_last_write_pattern,Delta_with_2_last_write_most_frequent_delta,Delta_with_2_last_write_mean_abs_delta,Delta_with_2_last_write_n_stride_changes,Delta_with_3_last_read_pattern,Delta_with_3_last_read_most_frequent_delta,Delta_with_3_last_read_mean_abs_delta,Delta_with_3_last_read_n_stride_changes,Delta_with_3_last_write_pattern,Delta_with_3_last_write_most_frequent_delta,Delta_with_3_last_write_mean_abs_delta,Delta_with_3_last_write_n_stride_changes,Delta_with_1_next_read_pattern,Delta_with_1_next_read_most_frequent_delta,Delta_with_1_next_read_mean_abs_delta,Delta_with_1_next_read_n_stride_changes,Delta_with_1_next_write_pattern,Delta_with_1_next_write_most_frequent_delta,Delta_with_1_next_write_mean_abs_delta,Delta_with_1_next_write_n_stride_changes,Delta_with_2_next_read_pattern,Delta_with_2_next_read_most_frequent_delta,Delta_with_2_next_read_mean_abs_delta,Delta_with_2_next_read_n_stride_changes,Delta_with_2_next_write_pattern,Delta_with_2_next_write_most_frequent_delta,Delta_with_2_next_write_mean_abs_delta,Delta_with_2_next_write_n_stride_changes,Delta_with_3_next_read_pattern,Delta_with_3_next_read_most_frequent_delta,Delta_with_3_next_read_mean_abs_delta,Delta_with_3_next_read_n_stride_changes,Delta_with_3_next_write_pattern,Delta_with_3_next_write_most_frequent_delta,Delta_with_3_next_write_mean_abs_delta,Delta_with_3_next_write_n_stride_changes,code_segment_transitions,n_reads,n_writes,dominant_type_subsequence,entropy_of_addresses,entropy_of_pc
"Null,-8.0,-16.0,-46272146575864.0,46272146575840.0,16.0,46272146575744.0,0.0",-8,19830919961069.715,1,"Null,Null,-8.0,-46272146575848.0,-8.0,-46272146575824.0,-80.0,-80.0",-8,15424048858641.334,0,"Null,Null,-16.0,-46272146575864.0,-24.0,-46272146575848.0,-104.0,46272146575760.0",-16,23136073287936.0,1,"Null,Null,Null,-46272146575856.0,-16.0,-46272146575840.0,-88.0,-88.0",-88,18508858630377.6,0,"Null,Null,Null,-46272146575864.0,-24.0,-46272146575848.0,46272146575760.0,46272146575760.0",46272146575760,37017717260651.2,1,"Null,Null,Null,Null,-16.0,-46272146575832.0,-88.0,-96.0",-16,11568036644008.0,0,"-46272146575864.0,-46272146575856.0,-46272146575848.0,16.0,-46272146575824.0,46272146575744.0,0.0,-934540294656.0",-46272146575864,29036909146726.0,4,"-8.0,-8.0,-8.0,46272146575840.0,-248.0,46272146575576.0,-168.0,-168.0",-8,11568036644003.0,4,"-46272146575848.0,-46272146575840.0,-88.0,46272146575760.0,-80.0,45337606281088.0,-46272146575776.0,-46272146575776.0",-46272146575776,34587292395032.0,4,"-24.0,-264.0,-256.0,46272146575584.0,-256.0,46272146575568.0,-176.0,-608.0",-256,11568036644092.0,4,"-104.0,-96.0,-88.0,45337606281104.0,-46272146575856.0,-40.0,-46272146575784.0,-600.0",-104,17235237429209.0,2,"-280.0,-272.0,-696.0,46272146575152.0,-688.0,46272146575136.0,-608.0,-608.0",-608,11568036644180.0,4,4,5,3,R (5),2.75,2.75
"-168.0,-934540294656.0,934540294480.0,934540294048.0,-45337606281120.0,46272146575168.0,-8.0,46272146575184.0",-168,17585690039354.0,5,"-248.0,-934540294488.0,-8.0,-432.0,-46272146575168.0,0.0,-46272146575176.0,8.0",-248,11684854180691.0,1,"46272146575576.0,-934540294656.0,-176.0,-608.0,-46272146575776.0,-608.0,-45337606281128.0,934540294056.0",-608,17468872502823.0,2,"-256.0,-934540294744.0,-256.0,-688.0,-46272146575608.0,-432.0,-46272146575608.0,8.0",-256,11684854180950.0,1,"-272.0,45337606281104.0,46272146575568.0,46272146575136.0,-46272146575776.0,-608.0,-46272146575784.0,-600.0",-272,28803274073106.0,2,"-264.0,-934540294752.0,-272.0,-696.0,-46272146575864.0,-688.0,-46272146575616.0,-432.0",-264,11684854181073.0,0,"-934540294488.0,-45337606281120.0,-46272146575600.0,-46272146575168.0,-8.0,-46272146575176.0,46272146575184.0,0.0",-934540294488,28920091609593.0,1,"-8.0,934540294480.0,-432.0,0.0,46272146575168.0,8.0,46272146575184.0,16.0",-8,11684854180662.0,3,"-46272146575616.0,-45337606281128.0,-46272146575608.0,8.0,46272146575176.0,8.0,46272146575184.0,0.0",8,28803274072841.0,1,"-440.0,934540294048.0,-424.0,8.0,46272146575192.0,24.0,46272146575184.0,0.0",-440,11684854180665.0,3,"-432.0,934540294056.0,-424.0,8.0,46272146575176.0,8.0,46272146575184.0,0.0",8,11684854180661.0,3,"-432.0,934540294072.0,-408.0,8.0,46272146575176.0,28.0,46272146575204.0,20.0",-432,11684854180668.5,3,4,3,5,W (5),2.75,3.0
"46272146575184.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0",0,5784018321900.0,0,"0.0,0.0,0.0,16.0,-16.0,-16.0,0.0,0.0",0,6.0,1,"46272146575176.0,46272146575176.0,46272146575184.0,16.0,0.0,0.0,0.0,0.0",0,17352054965694.0,0,"8.0,8.0,8.0,24.0,8.0,0.0,0.0,-16.0",8,9.0,1,"-600.0,934540294056.0,934540294056.0,46272146575192.0,46272146575184.0,0.0,0.0,0.0",0,11801671717386.0,1,"-424.0,-424.0,8.0,24.0,8.0,8.0,8.0,8.0",8,114.0,1,"0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0",0,2.0,0,"16.0,16.0,16.0,-16.0,0.0,20.0,20.0,20.0",16,15.5,2,"0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0",0,2.0,0,"0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0",0,3.0,0,"0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0",0,2.0,0,"20.0,0.0,0.0,8.0,24.0,24.0,24.0,0.0",0,12.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,20.0,0.0,0.0,0.0,0.0,0.0,24.0",0,5.5,0,"0.0,20.0,-20.0,-20.0,0.0,0.0,0.0,24.0",0,10.5,2,"0.0,20.0,0.0,0.0,0.0,0.0,0.0,24.0",0,5.5,0,"-16.0,4.0,-16.0,0.0,0.0,-20.0,-20.0,4.0",-16,10.0,3,"0.0,20.0,0.0,0.0,0.0,0.0,0.0,24.0",0,5.5,0,"0.0,20.0,0.0,0.0,-16.0,-16.0,0.0,24.0",0,9.5,2,"0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-24.0",0,5.5,0,"20.0,-20.0,0.0,24.0,24.0,24.0,24.0,-24.0",24,20.0,3,"0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-24.0",0,5.5,0,"24.0,4.0,0.0,0.0,0.0,0.0,28.0,4.0",0,7.5,0,"0.0,-20.0,0.0,0.0,0.0,0.0,0.0,-24.0",0,5.5,0,"0.0,8.0,28.0,28.0,28.0,0.0,0.0,8.0",0,12.5,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0",0,3.5,0,"-24.0,-24.0,0.0,0.0,0.0,28.0,-28.0,-28.0",0,16.5,2,"0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0",0,3.5,0,"-20.0,0.0,0.0,-24.0,-24.0,4.0,-24.0,0.0",0,12.0,2,"0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0",0,3.5,0,"0.0,0.0,-20.0,-20.0,0.0,28.0,0.0,0.0",0,8.5,1,"0.0,0.0,0.0,0.0,0.0,-28.0,0.0,0.0",0,3.5,0,"0.0,28.0,28.0,28.0,28.0,-28.0,0.0,32.0",28,21.5,2,"0.0,0.0,0.0,0.0,0.0,-28.0,0.0,0.0",0,3.5,0,"0.0,0.0,0.0,0.0,32.0,4.0,0.0,0.0",0,4.5,0,"0.0,0.0,0.0,0.0,0.0,-28.0,0.0,0.0",0,3.5,0,"32.0,32.0,32.0,0.0,0.0,8.0,36.0,36.0",32,22.0,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0",0,4.0,0,"0.0,0.0,0.0,32.0,-32.0,-32.0,0.0,0.0",0,12.0,1,"0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0",0,4.0,0,"0.0,-28.0,-28.0,4.0,-28.0,0.0,0.0,-32.0",0,15.0,2,"0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0",0,4.0,0,"-24.0,-24.0,0.0,32.0,0.0,0.0,-28.0,-28.0",0,17.0,2,"0.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0",0,4.0,0,"32.0,32.0,32.0,-32.0,0.0,36.0,36.0,36.0",32,29.5,2,"0.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0",0,4.0,0,"0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0",0,5.0,0,"0.0,0.0,0.0,-32.0,0.0,0.0,0.0,0.0",0,4.0,0,"36.0,0.0,0.0,8.0,40.0,40.0,40.0,0.0",0,20.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,36.0,0.0,0.0,0.0,0.0,0.0,40.0",0,9.5,0,"0.0,36.0,-36.0,-36.0,0.0,0.0,0.0,40.0",0,18.5,2,"0.0,36.0,0.0,0.0,0.0,0.0,0.0,40.0",0,9.5,0,"-32.0,4.0,-32.0,0.0,0.0,-36.0,-36.0,4.0",-32,18.0,3,"0.0,36.0,0.0,0.0,0.0,0.0,0.0,40.0",0,9.5,0,"0.0,36.0,0.0,0.0,-32.0,-32.0,0.0,40.0",0,17.5,2,"0.0,-36.0,0.0,0.0,0.0,0.0,0.0,-40.0",0,9.5,0,"36.0,-36.0,0.0,40.0,40.0,40.0,40.0,-40.0",40,34.0,3,"0.0,-36.0,0.0,0.0,0.0,0.0,0.0,-40.0",0,9.5,0,"40.0,4.0,0.0,0.0,0.0,0.0,44.0,4.0",0,11.5,0,"0.0,-36.0,0.0,0.0,0.0,0.0,0.0,-40.0",0,9.5,0,"0.0,8.0,44.0,44.0,44.0,0.0,0.0,8.0",0,18.5,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0",0,5.5,0,"-40.0,-40.0,0.0,0.0,0.0,44.0,-44.0,-44.0",0,26.5,2,"0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0",0,5.5,0,"-36.0,0.0,0.0,-40.0,-40.0,4.0,-40.0,0.0",0,20.0,2,"0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0",0,5.5,0,"0.0,0.0,-36.0,-36.0,0.0,44.0,0.0,0.0",0,14.5,1,"0.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0",0,5.5,0,"0.0,44.0,44.0,44.0,44.0,-44.0,0.0,48.0",44,33.5,2,"0.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0",0,5.5,0,"0.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0",0,6.5,0,"0.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0",0,5.5,0,"48.0,48.0,48.0,0.0,0.0,8.0,52.0,52.0",48,32.0,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0",0,6.0,0,"0.0,0.0,0.0,48.0,-48.0,-48.0,0.0,0.0",0,18.0,1,"0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0",0,6.0,0,"0.0,-44.0,-44.0,4.0,-44.0,0.0,0.0,-48.0",0,23.0,2,"0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0",0,6.0,0,"-40.0,-40.0,0.0,48.0,0.0,0.0,-44.0,-44.0",0,27.0,2,"0.0,0.0,0.0,-48.0,0.0,0.0,0.0,0.0",0,6.0,0,"48.0,48.0,48.0,-48.0,0.0,52.0,52.0,52.0",48,43.5,2,"0.0,0.0,0.0,-48.0,0.0,0.0,0.0,0.0",0,6.0,0,"0.0,0.0,52.0,4.0,0.0,0.0,0.0,0.0",0,7.0,0,"0.0,0.0,0.0,-48.0,0.0,0.0,0.0,0.0",0,6.0,0,"52.0,0.0,0.0,8.0,56.0,56.0,56.0,0.0",0,28.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,52.0,0.0,0.0,0.0,0.0,0.0,56.0",0,13.5,0,"0.0,52.0,-52.0,-52.0,0.0,0.0,0.0,56.0",0,26.5,2,"0.0,52.0,0.0,0.0,0.0,0.0,0.0,56.0",0,13.5,0,"-48.0,4.0,-48.0,0.0,0.0,-52.0,-52.0,4.0",-48,26.0,3,"0.0,52.0,0.0,0.0,0.0,0.0,0.0,56.0",0,13.5,0,"0.0,52.0,0.0,0.0,-48.0,-48.0,0.0,56.0",0,25.5,2,"0.0,-52.0,0.0,0.0,0.0,0.0,0.0,-56.0",0,13.5,0,"52.0,-52.0,0.0,56.0,56.0,56.0,56.0,-56.0",56,48.0,3,"0.0,-52.0,0.0,0.0,0.0,0.0,0.0,-56.0",0,13.5,0,"56.0,4.0,0.0,0.0,0.0,0.0,60.0,4.0",0,15.5,0,"0.0,-52.0,0.0,0.0,0.0,0.0,0.0,-56.0",0,13.5,0,"0.0,8.0,60.0,60.0,60.0,0.0,0.0,8.0",0,24.5,0,0,5,3,R (5),1.061278124459133,2.25
