feature,perm_mean,perm_std
Delta_with_2_last_write_median,0.1638888888888889,0.03611111111111111
Delta_with_2_last_write_entropy,0.09722222222222221,0.028463752127665557
Delta_with_1_last_write_std,0.08888888888888886,0.03469443332443556
Delta_with_1_last_write_fft_dom_power,0.04444444444444441,0.013608276348795438
Delta_with_2_last_read_entropy,0.033333333333333305,0.024216105241892626
Delta_with_1_last_read_fft_dom_power,0.005555555555555547,0.011111111111111094
Delta_with_1_last_read_zeros_frac,0.0,0.0
Delta_with_1_last_read_mode_count,0.0,0.0
Delta_with_1_last_read_entropy,0.0,0.0
Delta_with_1_last_read_std,0.0,0.0
Delta_with_1_last_read_median,0.0,0.0
Delta_with_1_last_read_unique,0.0,0.0
Delta_with_1_last_read_mean,0.0,0.0
Delta_with_2_last_read_std,0.0,0.0
Delta_with_2_last_read_mean,0.0,0.0
Delta_with_1_last_read_fft_dom_bin,0.0,0.0
Delta_with_1_last_read_ac_first_peak,0.0,0.0
Delta_with_1_last_read_mode,0.0,0.0
Delta_with_2_last_read_mode,0.0,0.0
Delta_with_2_last_read_unique,0.0,0.0
Delta_with_2_last_read_median,0.0,0.0
Delta_with_2_last_read_fft_dom_bin,0.0,0.0
Delta_with_2_last_read_fft_dom_power,0.0,0.0
Delta_with_1_last_write_mean,0.0,0.0
Delta_with_1_last_write_median,0.0,0.0
Delta_with_1_last_write_unique,0.0,0.0
Delta_with_2_last_read_mode_count,0.0,0.0
Delta_with_2_last_read_ac_first_peak,0.0,0.0
Delta_with_2_last_read_zeros_frac,0.0,0.0
Delta_with_1_last_write_mode,0.0,0.0
Delta_with_1_last_write_entropy,0.0,0.0
Delta_with_1_last_write_zeros_frac,0.0,0.0
Delta_with_1_last_write_ac_first_peak,0.0,0.0
Delta_with_1_last_write_fft_dom_bin,0.0,0.0
Delta_with_2_last_write_mean,0.0,0.0
Delta_with_2_last_write_std,0.0,0.0
Delta_with_1_last_write_mode_count,0.0,0.0
Delta_with_2_last_write_unique,0.0,0.0
Delta_with_2_last_write_zeros_frac,0.0,0.0
Delta_with_2_last_write_mode,0.0,0.0
Delta_with_2_last_write_mode_count,0.0,0.0
Delta_with_2_last_write_ac_first_peak,0.0,0.0
Delta_with_2_last_write_fft_dom_bin,0.0,0.0
Delta_with_2_last_write_fft_dom_power,0.0,0.0
Target,0.0,0.0
