feature,version 1_n_splits,version 1_min_thr,version 1_median_thr,version 1_max_thr,version 2_n_splits,version 2_min_thr,version 2_median_thr,version 2_max_thr,version 3_n_splits,version 3_min_thr,version 3_median_thr,version 3_max_thr,version 4_n_splits,version 4_min_thr,version 4_median_thr,version 4_max_thr
Delta_with_1_last_read_entropy,2,0.7702337918698734,1.5292662432596282,2.288298694649383,0,,,,0,,,,0,,,
Delta_with_1_last_read_fft_dom_power,0,,,,1,1.0474378183191602,1.0474378183191602,1.0474378183191602,2,-0.023894287180155516,0.038271537283435464,0.10043736174702644,0,,,
Delta_with_1_last_read_mean,3,-0.3124659588483109,-0.2647571135150488,-0.25003194274939894,0,,,,0,,,,0,,,
Delta_with_1_last_read_std,2,-0.34736581476698447,0.536221067846669,1.4198079504603225,0,,,,0,,,,0,,,
Delta_with_1_last_write_fft_dom_power,0,,,,2,-0.5350451082934365,-0.3480661309598421,-0.16108715362624773,1,-0.1315658912062645,-0.1315658912062645,-0.1315658912062645,0,,,
Delta_with_1_last_write_std,2,-0.6567283626652511,-0.44764305903771895,-0.2385577554101868,1,-0.5312044680537233,-0.5312044680537233,-0.5312044680537233,0,,,,0,,,
Delta_with_1_last_write_zeros_frac,1,-0.7843050139359622,-0.7843050139359622,-0.7843050139359622,0,,,,0,,,,0,,,
Delta_with_2_last_read_entropy,0,,,,2,-0.6395766847142895,-0.12932924220805314,0.38091820029818324,0,,,,0,,,
Delta_with_2_last_read_mean,0,,,,0,,,,0,,,,1,0.3000038415193558,0.3000038415193558,0.3000038415193558
Delta_with_2_last_write_entropy,0,,,,1,0.0670882122228087,0.0670882122228087,0.0670882122228087,0,,,,0,,,
Delta_with_2_last_write_fft_dom_power,0,,,,0,,,,0,,,,1,-0.6664085388183594,-0.6664085388183594,-0.6664085388183594
Delta_with_2_last_write_median,0,,,,2,0.370159389659527,0.38621075496583845,0.4022621202721499,1,0.40117061138153076,0.40117061138153076,0.40117061138153076,0,,,
Delta_with_3_last_read_fft_dom_power,0,,,,0,,,,2,-0.5546218752861023,-0.08478543162345886,0.38505101203918457,0,,,
Delta_with_3_last_read_mean,0,,,,0,,,,0,,,,1,-0.22212579101324081,-0.22212579101324081,-0.22212579101324081
Delta_with_3_last_read_unique,0,,,,0,,,,0,,,,1,-0.23176611959934235,-0.23176611959934235,-0.23176611959934235
Delta_with_4_last_read_mean,0,,,,0,,,,0,,,,2,-0.2482932209968567,-0.24560215324163437,-0.24291108548641205
Delta_with_4_last_write_fft_dom_power,0,,,,0,,,,0,,,,1,-0.2788809537887573,-0.2788809537887573,-0.2788809537887573
