Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target
-1.5138959543040758,18.975864053825525,-2.381086967398878,35,0.17,2.5764207046818424,0.0,17,6,17,478.9304086829858,2.2248165312307844,18.63734125405085,-0.8047189562170501,39,0.12,2.5196457240686594,-3.49650756146648,13,2,5,542.6043830257471,0,100,11
-4.426966878117376,17.36547714770707,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.740129251949,6.211960618521569,20.03991362801249,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.4937318477366,50,100,11
-4.370566590224181,17.381576924420497,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.161280557423,7.543962915947785,20.07455907699422,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.1835760899447,100,100,11
-4.027491793039142,18.29314048498171,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.802331928826,6.663178038447777,20.142766255706285,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.3357205138335,150,100,11
-4.077259138757604,18.281531258150967,-2.2213256282451583,22,0.21,2.6447919445669723,0.0,21,6,50,710.0444748406993,5.388113062408666,20.032736414908047,0.0,31,0.12,1.912818774065216,-3.49650756146648,17,2,50,720.9521441327604,200,100,11
-3.511071053502743,17.850944956057955,-1.6094379124341005,20,0.23,2.6289246068541576,0.0,23,6,50,646.4326511922801,5.973926919678167,19.865661231082555,0.0,31,0.12,1.8931620959649769,-3.49650756146648,16,2,6,681.4845530908453,250,100,11
-4.106883397807011,17.156687655684774,-1.6094379124341005,21,0.24,2.627105067638614,0.0,24,6,50,649.7999461927732,7.191153643892847,19.956400963960377,0.0,31,0.11,1.8642902997055488,-3.49650756146648,16,2,50,666.5159738640974,300,100,11
-4.685309237377416,17.583379636548244,-2.833213344056216,22,0.22,2.645104992549128,0.0,22,6,50,714.6355452727464,7.250919460056392,20.425265547465354,0.0,33,0.1,1.8797590525805887,-3.49650756146648,17,2,50,722.1613332438025,350,100,11
-4.089496893072544,18.280284747875022,-2.833213344056216,22,0.21,2.6447919445669723,0.0,21,6,50,705.6018235840808,6.033692735840749,20.34019484900361,0.0,32,0.11,1.9085913805651609,-3.49650756146648,17,2,50,719.3427062201981,400,100,11
-3.8324466428305057,18.06223924554447,-2.2213256282451583,21,0.22,2.6287314690959094,0.0,22,6,50,671.5771950021235,4.994733902596983,19.889718310959857,0.0,30,0.12,1.9059252053401856,-3.49650756146648,17,2,50,691.6751039944537,450,100,11
-4.426966878114634,17.3654771477028,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.7401292516747,6.211960618516772,20.039913628003752,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.4937318474623,500,100,11
-4.370566590221267,17.381576924415956,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.1612805571317,7.543962915942472,20.0745590769852,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.1835760896533,550,100,11
-4.027491793036056,18.29314048497708,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.8023319285176,6.663178038442977,20.14276625569716,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.3357205135251,600,100,11
-4.077259138754691,18.2815312581466,-2.2213256282451583,22,0.21,2.6447919445669723,0.0,21,6,50,710.0444748404079,5.388113062404382,20.03273641489924,0.0,31,0.12,1.912818774065216,-3.49650756146648,17,2,50,720.9521441324691,650,100,11
-3.511071053500172,17.85094495605393,-1.6094379124341005,20,0.23,2.6289246068541576,0.0,23,6,50,646.4326511920231,5.97392691967354,19.8656612310739,0.0,31,0.12,1.8931620959649769,-3.49650756146648,16,2,6,681.4845530905429,700,100,11
-4.1068833978042685,17.1566876556804,-1.6094379124341005,21,0.24,2.627105067638614,0.0,24,6,50,649.799946192499,7.191153643887707,19.95640096395142,0.0,31,0.11,1.8642902997055488,-3.49650756146648,16,2,50,666.5159738638233,750,100,11
-4.68530923737433,17.583379636543544,-2.833213344056216,22,0.22,2.645104992549128,0.0,22,6,50,714.635545272438,7.250919460051254,20.42526554745609,0.0,33,0.1,1.8797590525805887,-3.49650756146648,17,2,50,722.1613332434939,800,100,11
-4.089496893069629,18.28028474787066,-2.833213344056216,22,0.21,2.6447919445669723,0.0,21,6,50,705.6018235837894,6.033692735836124,20.340194848994635,0.0,32,0.11,1.9085913805651609,-3.49650756146648,17,2,50,719.3427062199069,850,100,11
-3.832446642827764,18.062239245540272,-2.2213256282451583,21,0.22,2.6287314690959094,0.0,22,6,50,671.5771950018493,4.994733902592868,19.889718310951128,0.0,30,0.12,1.9059252053401856,-3.49650756146648,17,2,50,691.6751039941794,900,100,11
-4.426966878111891,17.36547714769853,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.7401292514006,6.211960618511972,20.03991362799501,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.4937318471882,950,100,11
-4.370566590218353,17.381576924411412,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.1612805568402,7.543962915937158,20.07455907697618,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.1835760893621,1000,100,11
-4.02749179303297,18.29314048497245,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.8023319282089,6.663178038438177,20.14276625568804,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.3357205132164,1050,100,11
-4.077259138751777,18.28153125814224,-2.2213256282451583,22,0.21,2.6447919445669723,0.0,21,6,50,710.0444748401165,5.388113062400097,20.032736414890422,0.0,31,0.12,1.912818774065216,-3.49650756146648,17,2,50,720.9521441321776,1100,100,11
-3.511071053497601,17.8509449560499,-1.6094379124341005,20,0.23,2.6289246068541576,0.0,23,6,50,646.4326511917659,5.973926919668912,19.865661231065243,0.0,31,0.12,1.8931620959649769,-3.49650756146648,16,2,6,681.4845530902405,1150,100,11
-4.106883397801527,17.156687655676027,-1.6094379124341005,21,0.24,2.627105067638614,0.0,24,6,50,649.7999461922245,7.191153643882565,19.95640096394246,0.0,31,0.11,1.8642902997055488,-3.49650756146648,16,2,50,666.5159738635489,1200,100,11
-4.6853092373712455,17.583379636538844,-2.833213344056216,22,0.22,2.645104992549128,0.0,22,6,50,714.6355452721294,7.25091946004611,20.42526554744682,0.0,33,0.1,1.8797590525805887,-3.49650756146648,17,2,50,722.1613332431855,1250,100,11
-4.089496893066716,18.280284747866293,-2.833213344056216,22,0.21,2.6447919445669723,0.0,21,6,50,705.6018235834981,6.033692735831495,20.340194848985668,0.0,32,0.11,1.9085913805651609,-3.49650756146648,17,2,50,719.3427062196154,1300,100,11
-3.832446642825021,18.06223924553608,-2.2213256282451583,21,0.22,2.6287314690959094,0.0,22,6,50,671.5771950015751,4.994733902588755,19.8897183109424,0.0,30,0.12,1.9059252053401856,-3.49650756146648,17,2,50,691.6751039939052,1350,100,11
-4.426966878109149,17.36547714769426,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.7401292511264,6.211960618507175,20.03991362798627,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.493731846914,1400,100,11
-4.370566590215439,17.38157692440687,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.1612805565488,7.543962915931846,20.07455907696716,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.1835760890706,1450,100,11
-4.027491793029887,18.29314048496782,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.8023319279005,6.663178038433376,20.14276625567891,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.335720512908,1500,100,11
-4.077259138748865,18.28153125813787,-2.2213256282451583,22,0.21,2.6447919445669723,0.0,21,6,50,710.0444748398253,5.388113062395812,20.03273641488161,0.0,31,0.12,1.912818774065216,-3.49650756146648,17,2,50,720.9521441318864,1550,100,11
-3.5110710534950305,17.850944956045872,-1.6094379124341005,20,0.23,2.6289246068541576,0.0,23,6,50,646.432651191509,5.973926919664284,19.865661231056585,0.0,31,0.12,1.8931620959649769,-3.49650756146648,16,2,6,681.4845530899382,1600,100,11
-4.106883397798785,17.156687655671654,-1.6094379124341005,21,0.24,2.627105067638614,0.0,24,6,50,649.7999461919503,7.191153643877424,19.956400963933504,0.0,31,0.11,1.8642902997055488,-3.49650756146648,16,2,50,666.5159738632747,1650,100,11
-4.68530923736816,17.583379636534143,-2.833213344056216,22,0.22,2.645104992549128,0.0,22,6,50,714.635545271821,7.250919460040968,20.42526554743755,0.0,33,0.1,1.8797590525805887,-3.49650756146648,17,2,50,722.1613332428769,1700,100,11
-4.089496893063801,18.28028474786193,-2.833213344056216,22,0.21,2.6447919445669723,0.0,21,6,50,705.6018235832067,6.033692735826868,20.340194848976694,0.0,32,0.11,1.9085913805651609,-3.49650756146648,17,2,50,719.342706219324,1750,100,11
