Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target
1.0798306801047028,11.4175250522639,0.0,49,0.13,2.689230621498061,0.0,13,13,16,227.29739716869344,-1.9784621879786328,7.221047357391129,-1.6094379124341005,36,0.19,2.95236434398308,0.0,19,5,23,165.45193735675736,0,100,5
-0.1384488782194825,2.5142613694220928,0.0,14,0.22,2.585065138933221,1.6094379124341005,23,4,47,98.9656183464966,-0.0739348625568235,3.023403207628614,0.0,17,0.3,2.5446388049461923,0.0,30,5,18,103.01180979169632,50,100,5
-0.1593408914866733,2.459771695650749,0.0,13,0.24,2.4018446895495544,0.0,24,4,47,95.35772521419372,-0.0696058033614677,3.0103388649168505,0.0,17,0.3,2.5410123284004267,0.0,30,5,18,102.18005545167766,100,100,5
-0.1416424819529994,2.462136536825469,0.0,13,0.23,2.4018446895495544,1.6094379124341005,24,4,47,96.39696338016626,-0.0872900411290248,3.004485325544918,0.0,17,0.29,2.54429326821595,0.0,29,5,18,102.41396760892592,150,100,5
-0.1619666239877945,2.466613972310383,0.0,13,0.22,2.401217233062505,1.6094379124341005,24,4,47,98.12805751573764,-0.1714163244742769,2.9372617923587394,0.0,17,0.29,2.53823347300548,0.0,29,5,18,96.31432143558554,200,100,5
-0.1763663348347125,2.456195996447758,0.0,13,0.23,2.4018446895495544,0.0,23,4,47,96.44188024498786,-0.2330432416869179,2.8604488384471423,0.0,16,0.3,2.5233254514716434,0.0,30,5,18,90.3552506643012,250,100,5
-0.1147830305634955,2.381542882141004,0.0,12,0.24,2.3808742845688604,0.0,24,4,47,90.35959408807952,-0.113720214065509,2.859216077043569,0.0,16,0.3,2.513982128209472,0.0,30,5,18,92.12390781105243,300,100,5
-0.0811050349685361,2.3791757285317328,0.0,12,0.24,2.3808742845688604,0.0,24,4,47,93.42921480550838,-0.0391523680569834,2.909779000045493,0.0,16,0.3,2.524295856452751,0.0,30,5,18,86.01412983646311,350,100,5
-0.1044443533783652,2.423560108679297,0.0,13,0.24,2.3808742845688604,0.0,24,4,47,95.70926325472674,-0.1012011216173681,2.959018626347159,0.0,17,0.29,2.5485472012487587,0.0,29,5,18,91.29908329228849,400,100,5
-0.1536132799282903,2.396275165908877,0.0,13,0.24,2.3766203515360096,0.0,24,4,47,90.8313174543621,-0.1541314470436806,2.929010724912621,0.0,17,0.29,2.5275767962682747,0.0,29,5,18,91.44760393032952,450,100,5
-0.2027206736691293,2.407885969163908,0.0,13,0.24,2.397590756516704,0.0,24,4,47,94.879174903042,-0.1560625566370599,2.9171734335553743,0.0,17,0.29,2.5275767962682747,0.0,29,5,18,91.1421431045216,500,100,5
-0.1818322411713102,2.424579065756009,0.0,13,0.24,2.401217233062505,0.0,24,4,47,96.05035616697732,-0.1069984604477068,2.923810184231448,0.0,17,0.29,2.5485472012487587,0.0,29,5,18,95.14000530898204,550,100,5
-0.1416776300141307,2.4176020380285634,0.0,13,0.24,2.4018446895495544,0.0,24,4,47,93.6445016272332,-0.0870902466351315,2.903747684801428,0.0,17,0.3,2.5410123283616617,0.0,30,5,18,94.59178294758264,600,100,5
-0.1490694370926023,2.403671683517952,0.0,13,0.24,2.397590756516704,0.0,24,4,47,93.05256752579363,-0.105322229158892,2.8947381978228828,0.0,17,0.29,2.5442932681771886,0.0,29,5,18,95.76161896459938,650,100,5
-0.1944469071700512,2.3913670708694337,0.0,13,0.24,2.3924876892493634,0.0,24,4,47,93.9494922203708,-0.1456054706196067,2.8835506001812368,0.0,17,0.29,2.527576796229496,0.0,29,5,18,98.13025172651136,700,100,5
-0.1444936371543898,2.392979049369085,0.0,13,0.24,2.397590756516704,0.0,24,4,47,94.18715576858416,-0.1259349236069059,2.862268977673656,0.0,17,0.3,2.520041923381157,0.0,30,5,18,98.47354751129888,750,100,5
-0.1164182865164696,2.4024662458577937,0.0,13,0.23,2.4018446895495544,1.6094379124341005,24,4,47,94.14617682551808,-0.1122341221217351,2.853033685278475,0.0,17,0.29,2.5442932681771886,0.0,29,5,18,99.69125938199566,800,100,5
-0.1358623889738867,2.4055439156309064,0.0,13,0.22,2.401217233062505,1.6094379124341005,24,4,47,94.52595475312444,-0.1206050908652857,2.841739093473137,0.0,17,0.29,2.548547201210001,0.0,29,5,18,98.99333284710264,850,100,5
-0.1493173259031208,2.393176976468002,0.0,13,0.23,2.4018446895495544,0.0,23,4,47,93.51541510420904,-0.1071119803858187,2.82221388773244,0.0,17,0.3,2.544638804907431,0.0,30,5,18,97.67233850645354,900,100,5
-0.1245840792773868,2.378039614415156,0.0,13,0.24,2.5922975063485056,0.0,24,4,47,91.90246606069567,-0.1039533687429834,2.802171849955452,0.0,17,0.3,2.5410123283616617,0.0,30,5,18,96.65401224352937,950,100,5
-0.1055953922529192,2.377691303348013,0.0,13,0.23,2.5922975063485056,1.6094379124341005,24,4,47,92.81301186694552,-0.1228962111447268,2.789126458866409,0.0,17,0.29,2.5442932681771886,0.0,29,5,18,96.66325716674316,1000,100,5
-0.124526483141676,2.3799345679325765,0.0,13,0.22,2.595923982894308,1.6094379124341005,24,4,47,94.40564606832238,-0.2020200370477641,2.722143518414754,0.0,17,0.29,2.538233472927945,0.0,29,5,18,90.7093925362052,1050,100,5
-0.1374171446962491,2.366456606097548,0.0,13,0.23,2.5965514393813565,0.0,23,4,47,92.56934746425864,-0.2582325069839372,2.6457659434365524,0.0,16,0.3,2.523325451394079,0.0,30,5,18,85.18781335202087,1100,100,5
-0.0812004424954598,2.301522370277765,0.0,12,0.24,2.575581034400663,0.0,24,4,47,87.01550040991623,-0.1532008259299159,2.6382857366744683,0.0,16,0.3,2.513982128131889,0.0,30,5,18,86.29303956261505,1150,100,5
-0.046052855861656,2.2956579964684,0.0,12,0.24,2.554610629419969,0.0,24,4,47,89.93870829342401,-0.0869431414640875,2.671942407844259,0.0,16,0.3,2.524295856375188,0.0,30,5,18,80.32090936044273,1200,100,5
-0.0607746572641962,2.3221353608197868,0.0,13,0.24,2.554610629419969,0.0,24,4,47,91.37244951169488,-0.1442164283752702,2.7013868135920696,0.0,17,0.29,2.548547201171244,0.0,29,5,18,84.64999745438115,1250,100,5
-0.1078490605093911,2.2905481776355145,0.0,13,0.24,2.571327101367812,0.0,24,4,47,86.2925227143643,-0.1991744709513488,2.65710634589986,0.0,17,0.29,2.5275767961907176,0.0,29,5,18,84.33821119015946,1300,100,5
-0.1546393702764692,2.299327649354721,0.0,13,0.24,2.5922975063485056,0.0,24,4,47,90.10233189539228,-0.2033445132230532,2.632427169708824,0.0,17,0.29,2.52757679615194,0.0,29,5,18,83.68134358372367,1350,100,5
-0.1311717153403731,2.311604200113314,0.0,13,0.24,2.595923982894308,0.0,24,4,47,91.0150012300246,-0.1567672792064095,2.627971540935232,0.0,17,0.29,2.5485472011324872,0.0,29,5,18,87.20995093374547,1400,100,5
-0.0881256341095333,2.2980552372976693,0.0,13,0.24,2.5922975063485056,0.0,24,4,47,88.32926694858838,-0.1396400904311003,2.5918492419249723,0.0,17,0.3,2.5410123282841326,0.0,30,5,18,86.1612477789069,1450,100,5
-0.0922491313493337,2.277576945637598,0.0,13,0.24,2.588043573315655,0.0,24,4,47,87.41643209382484,-0.1610064823804189,2.5654788414352234,0.0,17,0.29,2.5442932680996657,0.0,29,5,18,86.84339849409841,1500,100,5
-0.1338964066241858,2.259025131310241,0.0,13,0.24,2.587194439081166,0.0,24,4,47,87.93013025010679,-0.2048549103650101,2.533912584604633,0.0,17,0.29,2.52757679615194,0.0,29,5,18,88.56694372498563,1550,100,5
-0.0796361949842193,2.251689390583357,0.0,13,0.24,2.588043573315655,0.0,24,4,47,87.74269053444243,-0.1892839130092334,2.4894321029467474,0.0,17,0.3,2.5200419232648,0.0,30,5,18,88.30742046410496,1600,100,5
-0.0465171087075628,2.2520816750860684,0.0,13,0.23,2.4018446895495544,1.6094379124341005,24,4,47,87.19642428973415,-0.1803597590485277,2.455259775815959,0.0,17,0.29,2.5442932680609047,0.0,29,5,18,88.76167179785561,1650,100,5
0.0786807804051882,2.7532947433316584,0.0,22,0.23,2.417111987452871,0.0,23,4,47,105.03829298764194,-0.5113172366186841,2.4132452575355985,0.0,17,0.26,2.8256385969959763,0.0,26,17,24,67.56821687012291,1700,100,5
0.1305419692164243,3.140410569720961,0.0,21,0.27,2.3461302218845392,0.0,27,4,47,137.53449789307308,-0.8944863688547806,2.318991802318189,-1.6094379124341005,13,0.24,2.393300740560378,0.0,24,7,12,73.73179246503386,1750,100,5
0.0611655490429058,3.1139792155255166,0.0,19,0.29,2.3216550441902526,0.0,29,4,47,138.42356176230157,-0.927760415684066,2.3066220014467325,-1.6094379124341005,13,0.24,2.3790000178143647,0.0,24,7,12,76.3849543384455,1800,100,5
0.0222336644144475,3.056004138854924,0.0,18,0.29,2.3109983674529406,0.0,29,4,47,134.2419569626465,-0.882267116683676,2.320307043478233,-1.6094379124341005,13,0.24,2.386037310978071,0.0,24,7,12,76.25877955839151,1850,100,5
0.0832024944955157,2.9880124970340374,0.0,17,0.3,2.286747022656691,0.0,30,17,47,127.9115481161407,-0.8418501718628663,2.2611247129728023,-1.6094379124341005,12,0.24,2.362283545866555,0.0,24,7,12,73.60997358750517,1900,100,5
0.1601747459314859,3.03660170197203,0.0,18,0.3,2.3109983674529406,0.0,30,13,47,135.0447033500979,-0.8463733328909535,2.2607332528473,-1.6094379124341005,12,0.24,2.362283545866555,0.0,24,7,12,74.06663388604827,1950,100,5
0.1296234162522995,3.0770303214163253,0.0,19,0.3,2.524295856064936,0.0,30,4,47,137.4604952108283,-0.9057802235588784,2.315078468133974,-1.6094379124341005,13,0.23,2.383253950847207,0.0,23,7,12,78.96476532542636,2000,100,5
0.0763765766505604,3.053724763873343,0.0,19,0.3,2.5410123280127785,0.0,30,4,47,132.88961951015384,-0.9506090468012968,2.277917199622544,-1.6094379124341005,13,0.23,2.375719077998815,0.0,23,7,12,80.05094927061799,2050,100,5
0.0763588239629621,3.04669565557005,0.0,19,0.3,2.5410123280127785,0.0,30,4,47,132.54442570282873,-0.9184028133786368,2.266104779649312,-1.6094379124341005,13,0.24,2.3714651449659723,0.0,24,7,12,81.27721911655746,2100,100,5
0.0812869259884396,3.044978603833448,0.0,19,0.3,2.5410123280127785,0.0,30,4,47,132.4392075756376,-0.8861433113706281,2.2944334342978463,-1.6094379124341005,13,0.23,2.375719077998815,0.0,23,7,12,84.00079326531194,2150,100,5
0.0186328682134081,3.036791217520074,0.0,19,0.3,2.5359092607454383,0.0,30,4,47,134.3112264811934,-0.9308120441848966,2.2864336163988943,-1.6094379124341005,13,0.23,2.359002606051005,0.0,23,7,12,79.64018762942679,2200,100,5
0.0812454396244595,3.0299191086109083,0.0,19,0.3,2.5410123280127785,0.0,30,4,47,135.30303098329367,-0.8984357102142831,2.274080882644049,-1.6094379124341005,13,0.24,2.354748673018164,0.0,24,7,12,80.57182255041123,2250,100,5
0.1134113125677502,3.0381086011203378,0.0,19,0.29,2.5485472008611856,0.0,29,4,47,134.7661610058268,-0.8803459725402896,2.281671823458702,-1.6094379124341005,13,0.23,2.375719077998815,0.0,23,7,12,79.83213314934333,2300,100,5
0.0829415710715942,3.046266884220099,0.0,19,0.28,2.5513305609920547,0.0,28,4,47,134.86741331872182,-0.8926327858323959,2.2862334067116548,-1.6094379124341005,13,0.23,2.383253950847207,0.0,23,7,12,80.92606675832583,2350,100,5
0.0545831076316369,3.0253703603077664,0.0,19,0.29,2.538233472617804,0.0,29,7,47,133.44708819853398,-0.8744008033086353,2.282169597008041,-1.6094379124341005,13,0.24,2.386037310978071,0.0,24,7,12,79.19140149100669,2400,100,5
0.0849999802311846,3.000642573056244,0.0,19,0.3,2.534952532802248,0.0,30,7,47,131.47040893989535,-0.8578333414927306,2.268164716224468,-1.6094379124341005,13,0.24,2.379000017814365,0.0,24,7,12,78.2855317472637,2450,100,5
0.1133014978232781,3.004124502004263,0.0,19,0.29,2.5485472008611856,0.0,29,4,47,132.8691649111026,-0.8716260218564102,2.262779769670024,-1.6094379124341005,13,0.23,2.375719077998815,0.0,23,7,12,77.69677801973074,2500,100,5
0.0828231108847057,3.011292575660013,0.0,19,0.28,2.5513305609920547,0.0,28,4,47,134.8131732297663,-0.9216499143678364,2.2466781448021367,-1.6094379124341005,13,0.23,2.375719077998815,0.0,23,17,12,73.17902320531036,2550,100,5
0.0608148240756968,2.9942079562583053,0.0,19,0.29,2.452870046011483,0.0,29,4,47,132.34626726634198,-0.9411290580466688,2.221429874899035,-1.6094379124341005,13,0.24,2.370616010731485,0.0,24,7,12,70.77460538145952,2600,100,5
