Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target
0.0724065810660178,9.896658306789408,0.0,38,0.36,2.95035557107332,0.0,36,7,16,195.06072639796,-0.8859858121385342,7.287642920278521,0.0,36,0.3,2.7052441499271787,0.0,30,4,25,209.3297437853572,0,100,2
-1.1615143373439043,2.912463551897704,0.0,17,0.5,1.999422768157834,0.0,50,2,50,193.4044535312273,1.0574617139360876,4.580425621872442,0.0,29,0.38,2.147231523810258,0.0,38,4,25,242.97879438208568,50,100,2
-1.1291004455329807,2.9043053439623567,0.0,17,0.51,1.979275602069112,0.0,51,2,50,190.1630643501349,1.1291004455329807,4.612854681594829,0.0,29,0.37,2.152795954363044,0.0,37,4,25,248.7445101643481,100,100,2
-1.0373997254469298,2.862162234955528,0.0,16,0.5,1.9994227684329788,0.0,50,2,50,187.43074399126624,1.1414523488547468,4.494127123832763,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,241.1344635251197,150,100,2
-1.0659685382377464,2.863047656130408,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,190.28762527034783,1.0659685382377464,4.4429049718190585,0.0,27,0.38,2.156942907887222,0.0,38,4,25,234.50613861248027,200,100,2
-1.1531072597331724,2.8945517643823644,0.0,17,0.5,1.999422768157834,0.0,50,2,50,192.563745770154,1.0497114711913116,4.542668459799559,0.0,29,0.38,2.147231523810258,0.0,38,4,25,241.16598182766649,250,100,2
-1.1205607660407522,2.886008938563497,0.0,17,0.51,1.979275602069112,0.0,51,2,50,189.30909640091204,1.1205607660407522,4.574076926505037,0.0,29,0.37,2.152795954363044,0.0,37,4,25,246.8439875732645,300,100,2
-1.0293800269358555,2.844519481195152,0.0,16,0.5,1.9994227684329788,0.0,50,2,50,186.6287741401588,1.132775815477716,4.455952759096954,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,239.29357589014208,350,100,2
-1.057818050003229,2.84524986365839,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,189.4725764468961,1.057818050003229,4.40454305343212,0.0,27,0.38,2.156942907887222,0.0,38,4,25,232.69499590866656,400,100,2
-1.144118612839896,2.875459490236688,0.0,17,0.5,1.999422768118528,0.0,50,2,50,191.66488108082643,1.041425854404982,4.502325642924877,0.0,29,0.38,2.147231523810258,0.0,38,4,25,239.2279731180114,450,100,2
-1.1114203613556273,2.866484765053568,0.0,17,0.51,1.979275602069112,0.0,51,2,50,188.3950559323996,1.1114203613556273,4.532597406843591,0.0,29,0.37,2.152795954363044,0.0,37,4,25,244.80992773091484,500,100,2
-1.02078567940542,2.8256755851803583,0.0,16,0.5,1.9994227684329788,0.0,50,2,50,185.7693393871152,1.123478437840334,4.415074084012827,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,237.3210498641124,550,100,2
-1.0490733114324065,2.826221524791305,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,188.59810258981383,1.0490733114324065,4.363415524891961,0.0,27,0.38,2.156942907887222,0.0,38,4,25,230.7520021393832,600,100,2
-1.134461905057864,2.855017047589996,0.0,17,0.5,1.999422768118528,0.0,50,2,50,190.6992103026232,1.0325253646950554,4.459015541067815,0.0,29,0.38,2.147231523810258,0.0,38,4,25,237.1461742457604,650,100,2
-1.1015882650176818,2.845552984417268,0.0,17,0.51,1.979275602069112,0.0,51,2,50,187.41184629860496,1.1015882650176818,4.48800989983626,0.0,29,0.37,2.152795954363044,0.0,37,4,25,242.62212611885693,700,100,2
-1.011527919716957,2.8054515502256163,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,184.8435634182689,1.1134644600797652,4.371076952347847,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,235.1965853316563,750,100,2
-1.0396407952562812,2.805776049792692,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,187.65485097220133,1.0396407952562812,4.319090736122671,0.0,27,0.38,2.156942907887222,0.0,38,4,25,228.65642783720523,800,100,2
-1.1240297858588415,2.833014978356683,0.0,17,0.5,1.999422768118528,0.0,50,2,50,189.65599838272087,1.0229113629950723,4.412265099524762,0.0,29,0.38,2.147231523810258,0.0,38,4,25,234.89751266156665,850,100,2
-1.0909511398798015,2.822990741589686,0.0,17,0.51,1.979275602069112,0.0,51,2,50,186.34813378481687,1.0909511398798015,4.439808897792133,0.0,29,0.37,2.152795954363044,0.0,37,4,25,240.25541293161783,900,100,2
-1.0014956812493616,2.783624725915029,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,183.8403395715094,1.1026141041131303,4.323443937497525,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,232.8947890727908,950,100,2
-1.0294029903962014,2.7836804624401403,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,186.63107048619327,1.0294029903962014,4.271027145775799,0.0,27,0.38,2.156942907887222,0.0,38,4,25,226.38223251053944,1000,100,2
-1.112686746274227,2.809190479562962,0.0,17,0.5,1.999422768118528,0.0,50,2,50,188.5216944242595,1.0124593844706855,4.361478045801698,0.0,29,0.38,2.147231523810258,0.0,38,4,25,232.4528720082004,1050,100,2
-1.0793652811244052,2.7985171679707177,0.0,17,0.51,1.979275602069112,0.0,51,2,50,185.1895479092773,1.0793652811244052,4.387354319732445,0.0,29,0.37,2.152795954363044,0.0,37,4,25,237.6778792244564,1100,100,2
-0.9905474316299044,2.759913255467464,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,182.74551460956368,1.0907747934334455,4.27151680301168,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,230.3833136068201,1150,100,2
-1.0182094270515472,2.759638520065724,0.0,16,0.49,2.019281376274536,0.0,49,2,50,185.51171415172792,1.0182094270515472,4.21853247643449,0.0,27,0.38,2.156942907887222,0.0,38,4,25,223.89607883553128,1200,100,2
-1.100258316804152,2.783207478627813,0.0,17,0.5,1.999422768118528,0.0,50,2,50,187.278851477252,1.0010092516050575,4.305887934858897,0.0,29,0.38,2.147231523810258,0.0,38,4,25,229.77477676320825,1250,100,2
-1.0666446911998495,2.771771189068214,0.0,17,0.51,1.9792756020297848,0.0,51,2,50,183.91748891682172,1.0666446911998495,4.329818986583202,0.0,29,0.37,2.152795954363044,0.0,37,4,25,234.8482322736946,1300,100,2
-0.9784988963344604,2.733952879709387,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,181.54066108001928,1.077747961533555,4.214440188254299,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,227.6200593199552,1350,100,2
-1.0058630653984482,2.7332653404594427,0.0,16,0.49,2.019281376274536,0.0,49,2,50,184.277077986418,1.0058630653984482,4.160701908633177,0.0,27,0.38,2.156942907887222,0.0,38,4,25,221.15432178136905,1400,100,2
-1.0865145292339289,2.7546263932840547,0.0,17,0.5,1.999422768118528,0.0,50,2,50,185.9044727202297,0.9883499492982984,4.244486425308141,0.0,29,0.38,2.147231523810258,0.0,38,4,25,226.81384913083005,1450,100,2
-1.0525426559010278,2.7422775357654783,0.0,17,0.51,1.9792756020297848,0.0,51,2,50,182.5072853869396,1.0525426559010278,4.266107643142074,0.0,29,0.37,2.152795954363044,0.0,37,4,25,231.711710586348,1500,100,2
-0.9651038972152,2.7052610751481585,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,180.2011611680932,1.0632684771508305,4.1510739466550906,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,224.54880994181232,1550,100,2
-0.9920988382562328,2.704047805697141,0.0,16,0.49,2.019281376274536,0.0,49,2,50,182.9006552721965,0.9920988382562328,4.096320899538135,0.0,27,0.38,2.156942907887222,0.0,38,4,25,218.0982635802407,1600,100,2
-1.0711435468444908,2.722856392592289,0.0,17,0.5,1.999422768118528,0.0,50,2,50,184.36737448128588,0.974195531981382,4.175909222109049,0.0,29,0.38,2.147231523810258,0.0,38,4,25,223.50316291201065,1650,100,2
-1.036722044172684,2.70939249832612,0.0,17,0.51,1.9792756020297848,0.0,51,2,50,180.9252242141052,1.036722044172684,4.194726738669111,0.0,29,0.37,2.152795954363044,0.0,37,4,25,228.1935003938654,1700,100,2
-0.9500230784160116,2.673179159845669,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,178.69307928817437,1.04697109327912,4.079850518895157,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,221.09211385811523,1750,100,2
-0.9765482026805404,2.6712799068614848,0.0,16,0.49,2.019281376274536,0.0,49,2,50,181.34559171462723,0.9765482026805404,4.023705121214838,0.0,27,0.38,2.156942907848073,0.0,38,4,25,214.6463174464577,1800,100,2
-1.05370748783806,2.6870763406163705,0.0,17,0.5,1.999422768118528,0.0,50,2,50,182.6237685806428,0.9581448101643784,4.098245603089104,0.0,29,0.38,2.147231523810258,0.0,38,4,25,219.74879132353053,1850,100,2
-1.018704875365056,2.6722128810341013,0.0,17,0.51,1.9792756020297848,0.0,51,2,50,179.1235073333424,1.018704875365056,4.113563951038037,0.0,29,0.37,2.152795954363044,0.0,37,4,25,224.18755979215464,1900,100,2
-0.9327699795400832,2.6367737344555104,0.0,16,0.5,1.9994227683936725,0.0,50,2,50,176.96776940058152,1.0283326572137643,3.998529917958327,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,217.13901905546305,1950,100,2
-0.9586770828868184,2.6339510979120844,0.0,16,0.49,2.019281376274536,0.0,49,2,50,179.55847973525505,0.9586770828868184,3.940421265911705,0.0,27,0.38,2.156942907848073,0.0,38,4,25,210.6802947105733,2000,100,2
-1.0335637172659484,2.64609585853752,0.0,17,0.5,1.999422768118528,0.0,50,2,50,180.60939152343167,0.9396096357215667,4.00870035939734,0.0,29,0.38,2.147231523810258,0.0,38,4,25,215.4129809135068,2050,100,2
-0.9977809134057504,2.629413263044136,0.0,17,0.51,1.979275602029785,0.0,51,2,50,177.0311111374118,0.9977809134057504,4.019490006746094,0.0,29,0.37,2.152795954363044,0.0,37,4,25,219.5363704724197,2100,100,2
