mean,std,median,unique,zeros_frac,entropy,mode,mode_count,ac_first_peak,fft_dom_bin,fft_dom_power,w_mean,w_std,start,length
-3.4766757867890976,11.43168123944185,0.0,87,0.352,2.6269643079722056,0.0,176,8,125,1915.8682259113193,3.9171351032367827,18.482791387548836,0,500
-3.9702280836053188,10.611510444699,0.0,68,0.372,2.1603593260139458,0.0,186,8,125,2039.1925854463536,4.495999828734749,18.76331971635391,250,500
-3.9719226793257576,10.60954765095133,0.0,68,0.376,2.4040233097645682,0.0,188,8,125,2036.2078950456685,4.615810264317706,18.839177487434316,500,500
-3.898489445065935,10.542781114843649,0.0,67,0.378,2.400838009707495,0.0,189,8,125,2002.4663737593705,4.683154453701415,18.770101167978822,750,500
-3.896794849344831,10.544744535375306,0.0,67,0.374,2.155193261663908,0.0,187,8,125,2005.4534985464395,4.5633440181177924,18.694394702809507,1000,500
-3.97022808360397,10.611510444695503,0.0,68,0.372,2.1603593260139458,0.0,186,8,125,2039.1925854456795,4.495999828733442,18.763319716347507,1250,500
-3.9719226793244093,10.609547650947832,0.0,68,0.376,2.4040233097645682,0.0,188,8,125,2036.2078950449948,4.615810264316359,18.839177487427886,1500,500
-3.898489445064607,10.54278111484018,0.0,67,0.378,2.400838009707495,0.0,189,8,125,2002.466373758707,4.683154453700045,18.770101167972413,1750,500
-3.8967948493435034,10.544744535371835,0.0,67,0.374,2.155193261663908,0.0,187,8,125,2005.4534985457763,4.5633440181164655,18.69439470280313,2000,500
-3.97022808360262,10.611510444692007,0.0,68,0.372,2.1603593260139458,0.0,186,8,125,2039.192585445005,4.495999828732136,18.763319716341105,2250,500
-3.97192267932306,10.609547650944336,0.0,68,0.376,2.4040233097645682,0.0,188,8,125,2036.2078950443201,4.61581026431501,18.839177487421455,2500,500
-3.8984894450632797,10.542781114836705,0.0,67,0.378,2.400838009707495,0.0,189,8,125,2002.4663737580436,4.683154453698674,18.770101167966008,2750,500
-3.8967948493421756,10.544744535368364,0.0,67,0.374,2.155193261663908,0.0,187,8,125,2005.4534985451126,4.563344018115138,18.694394702796746,3000,500
-3.9702280836012713,10.611510444688511,0.0,68,0.372,2.1603593260139458,0.0,186,8,125,2039.1925854443314,4.49599982873083,18.7633197163347,3250,500
-3.9719226793217106,10.609547650940838,0.0,68,0.376,2.4040233097645682,0.0,188,8,125,2036.207895043646,4.6158102643136605,18.839177487415025,3500,500
-3.8984894450619523,10.542781114833234,0.0,67,0.378,2.400838009707495,0.0,189,8,125,2002.4663737573799,4.683154453697305,18.7701011679596,3750,500
-3.896794849340848,10.544744535364892,0.0,67,0.374,2.155193261663908,0.0,187,8,125,2005.4534985444488,4.563344018113811,18.694394702790365,4000,500
-3.9702280835999226,10.611510444685015,0.0,68,0.372,2.1603593260139458,0.0,186,8,125,2039.1925854436568,4.4959998287295235,18.763319716328297,4250,500
-3.971922679320362,10.609547650937342,0.0,68,0.376,2.4040233097645682,0.0,188,8,125,2036.207895042972,4.615810264312311,18.839177487408595,4500,500
-2.097546016927574,12.304820609585244,0.0,86,0.342,2.8264431076974876,0.0,171,8,249,1389.5219131754627,1.4468547463368955,15.94378464844867,4750,500
-0.028422056630135147,13.898116261749163,0.0,105,0.302,2.6381321517144833,0.0,151,10,200,2891.906093151708,-2.4593120609582626,10.61328765150364,5000,500
0.235364026379416,14.176870938051064,0.0,106,0.3,2.6464393467221066,0.0,150,10,250,3169.617880153153,-3.007674129589465,9.69228611077138,5250,500
