Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55730dd0f089,R,0x7ffdd7b5a240,1,,,,,,,,,,,,,,,,,-46775581049448,-8,-46775581049432,-24,-104,-280,-371452357336,-288,-388,-304,16,-312,-400,-388,-46775581049456,-400
9,0x55730dd0f091,W,0x7ffdd7b5a238,1,-8,,,,,,,,,,,,,,,,-46775581049440,-8,-46775581049424,-264,-96,-272,-371452357328,-288,-392,-296,-46775581049448,-304,32,-380,-46775581049448,-320
11,0x55730dd0f092,W,0x7ffdd7b5a230,1,-16,-8,-16,,,,,,,,,,,,,,-46775581049432,-8,-88,-256,-88,-272,-372,-280,32,-288,-384,-296,40,-384,-46775581049440,-360
16,0x55730dd0f09f,R,0x55730dd11fd8,1,-46775581049448,-46775581049432,-46775581049448,-46775581049440,-46775581049448,,,,,,,,,,,,16,46775581049424,46775581049344,46775581049168,46404128692112,46775581049160,46775581049048,46775581049152,-8,46775581049144,46775581049048,46775581049060,46775581049472,46775581049120,-8,46775581049076
17,0x55730dd0f09f,W,0x7ffdd7b5a228,1,46775581049424,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46775581049408,-248,-80,-256,-364,-264,40,-272,-46775581049432,-288,-376,-376,48,-352,-46775581049432,-416
21,0x55730dd0f008,R,0x55730dd11fe8,1,16,-46775581049408,-46775581049432,-46775581049424,-46775581049432,-46775581049416,-46775581049432,-46775581049424,-46775581049432,,,,,,,,46775581049328,46775581049160,46404128692096,46775581049152,46775581049032,46775581049144,46775581049448,46775581049128,-24,46775581049044,46775581049032,46775581049104,46775581049456,46775581049060,-24,46775581049056
26,0x55730dd0f01a,R,0x7ffdd7b5a1d8,1,46775581049328,-80,-104,-88,46775581049344,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-284,-176,-296,-192,120,-208,-46775581049352,-296,-296,-272,128,-336,-46775581049352,-336
39,0x55730dd0f118,R,0x7ffdd7b5a1d8,1,0,-80,46775581049344,-88,46775581049344,-96,46775581049344,-88,-104,-88,-104,-96,-104,,,,-371452357232,-168,-284,-184,-296,-200,120,-284,-46775581049352,-224,-296,-268,128,-272,-46775581049352,-268
42,0x55730dd0f16d,W,0x7ffdd7b5a130,1,-168,-248,46775581049160,-256,-272,-264,46775581049176,-248,46775581049176,-256,-272,-256,-272,-264,-272,,-371452357064,-8,-116,-24,-128,-40,288,-128,-46775581049184,-104,-128,-168,296,-168,-46775581049184,-88
45,0x55730dd0f171,W,0x7ffdd7b5a128,1,-176,-8,-176,-264,46775581049168,-272,46775581049152,-256,46775581049168,-256,46775581049168,-264,-280,-264,-280,-272,-371452357056,-8,-108,-24,-120,-108,296,-48,-46775581049176,-92,-120,-96,304,-92,-96,-80
47,0x55730dd0f173,W,0x7ffdd7b5a120,1,-184,-8,-184,-264,46775581049144,-280,-288,-264,46775581049144,-264,46775581049160,-264,46775581049160,-272,-288,-272,-371452357048,-8,-100,-24,-112,-112,304,-88,-46775581049168,-152,-112,-152,-46775581049168,-84,-88,-128
49,0x55730dd0f175,W,0x7ffdd7b5a118,1,-192,-8,-192,-24,46775581049136,-280,46775581049152,-272,-192,-272,46775581049136,-272,46775581049152,-272,46775581049152,-280,-371452357040,-8,-92,-92,-104,-32,312,-76,-46775581049160,-80,320,-144,-46775581049160,-64,-80,-112
51,0x55730dd0f177,W,0x7ffdd7b5a110,1,-200,-8,-200,-24,46775581049128,-280,46775581049144,-296,-304,-280,-200,-280,46775581049128,-280,46775581049144,-280,-371452357032,-8,-84,-96,-96,-72,320,-136,-96,-72,328,-68,-46775581049152,-112,-72,-128
53,0x55730dd0f179,W,0x7ffdd7b5a108,1,-208,-8,-208,-24,46775581049120,-40,46775581049136,-296,-312,-40,-208,-288,-208,-288,46775581049120,-288,-371452357024,-76,-76,-16,-88,-60,-46775581049144,-128,-88,-128,336,-48,-46775581049144,-96,-128,-120
56,0x55730dd0f17e,W,0x7ffdd7b5a0bc,1,-284,-76,-284,-92,46775581049044,-108,46775581049060,-364,-388,-380,-284,-116,-284,-364,-284,-364,-371452356948,-12,0,12,404,16,-46775581049068,12,-12,16,412,-28,12,-20,12,-44
58,0x55730dd0f181,W,0x7ffdd7b5a0b0,1,-296,-12,-296,-96,46775581049032,-112,46775581049048,-128,-400,-384,-296,-120,-296,-128,-296,-376,-371452356936,72,0,24,416,-40,-46775581049056,-40,0,40,-46775581049056,-16,-40,-8,-4136,-32
