Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,start,length,Target,Fine grained Target
0.8273968807702508,11.81967293885887,0.0,50,0.2,2.9779761420523982,0.0,20,13,15,267.43172020809163,0.0899346129247504,12.572777956398864,-2.19722457733622,45,0.14,2.826616417436746,0.0,14,0,8,244.8559909823632,-1.738308431915759,7.956825959589294,-1.6094379124341005,41,0.19,2.789922508613287,0.0,19,13,30,175.66483143138515,0.3895013397484449,8.938329744924104,0.0,47,0.11,1.8898683664101423,0.0,11,2,1,313.4007648737812,0,100,6,1
-1.1732661501187238,3.214258372362712,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.35817361504493,-1.3401638034408034,3.312969197325215,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,147.09297627423263,0.6223470675916806,4.992810165554464,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.57925638267733,5.493432521957172,4.690575003405745,8.729235349659273,25,0.11,1.30911328882959,0.0,11,10,10,191.2158447865726,50,100,6,1
-1.172942576480931,3.213497620805543,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.33165460700914,-1.339839810458842,3.3122466131384893,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,147.0705104606291,0.6220234939538877,4.991153043611523,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.5100057979461,6.051133041917125,4.177993913861835,8.726643415598444,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.71825942550907,100,100,6,1
-1.1726179524407616,3.2127345133700764,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.30505160109638,-1.3395147643457022,3.311521808454476,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,147.04797534682945,0.6216988699137185,4.989490600688033,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.440530559182,6.048862558931147,4.176538974490636,8.723394022000136,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.64940989123176,150,100,6,1
-1.1722922711562282,3.211969035163411,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.27836405800318,-1.3391886582326729,3.310794769294382,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,147.0253704947343,0.621373188629185,4.987822802374375,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.3708292036731,6.0465846874971305,4.17507932284269,8.720134035412928,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.58033704196416,200,100,6,1
-1.1719655257182746,3.211201171149959,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.2515914331947,-1.3388614851836251,3.3100654815458443,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,147.0026954620417,0.6210464431912315,4.986149613925539,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.30090025437414,6.044299379371705,4.173614928245466,8.716863386544805,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.51103942311107,250,100,6,1
-1.1716377091498968,3.2104309061496004,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.22473317683668,-1.3385332381941262,3.30933393096122,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.97994980219283,0.6207186266228537,4.984471000256743,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.230742219718,6.042006585837446,4.172145759725776,8.713582005421628,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.4415155658138,300,100,6,1
-1.1713088144052488,3.2096582248358225,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.1977887337264,-1.3382039101905396,3.308600103155839,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.95713306431708,0.6203897318782056,4.982786925938981,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.16035359342504,6.039706257696627,4.170671786005829,8.71028982137815,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.3717639867629,350,100,6,1
-1.1709788343687335,3.208883111733823,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.1707575432225,-1.337873494029111,3.307863983606237,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.93424479317608,0.6200597518416905,4.9810973551945015,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.08973285430886,6.037398345264896,4.169192975499222,8.706986763048892,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.30178318800785,400,100,6,1
-1.1706477618540807,3.208105551218583,-0.8047189562170501,16,0.3,2.646439344943775,0.0,30,3,30,165.14363903917308,-1.3375419824950376,3.307125557648351,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.9112845291067,0.6197286793270377,4.979402251892218,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,262.018878466079,6.035082798364828,4.16770929630687,8.703672758358856,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.23157165676372,450,100,6,1
