Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x556caade30a9,R,0x7ffd6f87d8c0,1,,,,,,,,,,,,,,,,,-46801263098088,-8,-46801263098072,-24,-104,-324,-324,-336,-336,-344,-46801263098096,-316,-316,-304,-280,-296
9,0x556caade30b1,W,0x7ffd6f87d8b8,1,-8,,,,,,,,,,,,,,,,-46801263098080,-8,-46801263098064,-264,-96,-316,-316,-308,24,-336,-304,-308,-46801263098096,-296,-272,-304
11,0x556caade30b2,W,0x7ffd6f87d8b0,1,-16,-8,-16,,,,,,,,,,,,,,-46801263098072,-8,-88,-256,-88,-320,-320,-300,-46801263098080,-328,-300,-300,-46801263098088,-280,-264,-328
16,0x556caade30bf,R,0x556caade5fd8,1,-46801263098088,-46801263098072,-46801263098088,-46801263098080,-46801263098088,,,,,,,,,,,,16,46801263098064,46801263097984,46801263097764,46801263097764,46801263097752,46801263098104,46801263097772,46801263097776,46801263097744,46801263097772,46801263097784,-16,46801263097776,46801263097808,46801263097808
17,0x556caade30bf,W,0x7ffd6f87d8a8,1,46801263098064,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46801263098048,-248,-80,-300,-312,-312,-46801263098072,-292,-288,-292,-292,-272,-46801263098080,-320,-256,-46800583693832
21,0x556caade3008,R,0x556caade5fe8,1,16,-46801263098048,-46801263098072,-46801263098064,-46801263098072,-46801263098056,-46801263098072,-46801263098064,-46801263098072,,,,,,,,46801263097968,46801263097800,46801263097748,46801263097748,46801263098088,46801263097736,-24,46801263097728,46801263097760,46801263097768,46801263097756,46801263097760,-32,46801263097792,46801263097760,679404216
26,0x556caade301a,R,0x7ffd6f87d858,1,46801263097968,-80,-104,-88,46801263097984,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-232,-220,120,-212,-46801263097992,-212,-208,-192,-212,-240,-176,-176,-176,-46800583693752
39,0x556caade3138,R,0x7ffd6f87d858,1,0,-80,46801263097984,-88,46801263097984,-96,46801263097984,-88,-104,-88,-104,-96,-104,,,,-220,-168,-232,-232,120,-240,-46801263097992,-200,-208,-208,-46801263098000,-240,-208,-176,-192,-46800583693752
42,0x556caade318d,W,0x7ffd6f87d7b0,1,-168,-248,46801263097800,-256,-272,-264,46801263097816,-248,46801263097816,-256,-272,-256,-272,-264,-272,,-52,-52,-64,-44,288,-44,-46801263097824,-24,-44,-40,-8,-72,-8,-8,-24,-46800583693576
46,0x556caade3195,W,0x7ffd6f87d77c,1,-220,-52,-220,-308,46801263097764,-316,46801263097748,-300,46801263097764,-300,46801263097764,-308,-324,-308,-324,-316,0,-12,-12,-20,340,20,12,28,-46801263097780,12,12,-20,44,-46800583693532,44,-46800583693524
