Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_3_last_read_mean,Delta_with_3_last_read_std,Delta_with_3_last_read_median,Delta_with_3_last_read_unique,Delta_with_3_last_read_zeros_frac,Delta_with_3_last_read_entropy,Delta_with_3_last_read_mode,Delta_with_3_last_read_mode_count,Delta_with_3_last_read_ac_first_peak,Delta_with_3_last_read_fft_dom_bin,Delta_with_3_last_read_fft_dom_power,Delta_with_4_last_read_mean,Delta_with_4_last_read_std,Delta_with_4_last_read_median,Delta_with_4_last_read_unique,Delta_with_4_last_read_zeros_frac,Delta_with_4_last_read_entropy,Delta_with_4_last_read_mode,Delta_with_4_last_read_mode_count,Delta_with_4_last_read_ac_first_peak,Delta_with_4_last_read_fft_dom_bin,Delta_with_4_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,Delta_with_3_last_write_mean,Delta_with_3_last_write_std,Delta_with_3_last_write_median,Delta_with_3_last_write_unique,Delta_with_3_last_write_zeros_frac,Delta_with_3_last_write_entropy,Delta_with_3_last_write_mode,Delta_with_3_last_write_mode_count,Delta_with_3_last_write_ac_first_peak,Delta_with_3_last_write_fft_dom_bin,Delta_with_3_last_write_fft_dom_power,Delta_with_4_last_write_mean,Delta_with_4_last_write_std,Delta_with_4_last_write_median,Delta_with_4_last_write_unique,Delta_with_4_last_write_zeros_frac,Delta_with_4_last_write_entropy,Delta_with_4_last_write_mode,Delta_with_4_last_write_mode_count,Delta_with_4_last_write_ac_first_peak,Delta_with_4_last_write_fft_dom_bin,Delta_with_4_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
1.5058537223848545,19.977786146223703,0.0,47,0.1473684210526315,2.551305457977062,0.0,14,8,24,407.9641455780544,-0.3126650035484471,16.03471869665721,0.0,48,0.1157894736842105,2.5236219763802463,0.0,11,0,34,277.1459565645601,2.18446925973144,20.129523659812666,0.0,53,0.1473684210526315,2.063019602221957,0.0,14,4,24,525.2057547435176,2.024653234533258,18.397970868833205,0.0,58,0.1684210526315789,2.6922051053765923,0.0,16,22,5,396.2813573460497,-1.690467326142641,17.76259941479587,-1.6094379124341005,47,0.1473684210526315,2.6118012206428647,0.0,14,2,5,347.2090861812691,-2.475893073545359,17.984430770935443,0.0,50,0.1578947368421052,2.4834082585905697,0.0,15,17,5,450.8729216256108,-2.7386076577439886,17.69912133723339,0.0,50,0.1157894736842105,2.500392078505986,0.0,11,4,5,517.4522457626314,-2.9538927836785764,16.917305642002237,0.0,51,0.1263157894736842,2.4689516884917766,0.0,12,3,5,428.4429969360848,0,100,11,1
-1.655512794338502,18.16082056287209,-1.6094379124341005,36,0.18,2.7092825045882525,0.0,18,6,17,440.8253266403743,-3.480950443342491,13.796874666953048,0.0,41,0.13,2.293415706349008,-3.49650756146648,15,18,11,242.6344942521926,0.1449321757896871,17.55455253730073,0.0,40,0.17,2.714070495023866,0.0,17,18,17,502.9071986806437,0.3552865121455461,17.00834741086356,0.0,48,0.15,2.607819915218567,0.0,15,18,5,526.6146472986646,2.629708216758968,18.30466711274173,0.0,40,0.13,2.488573661861278,0.0,13,2,5,534.0563439596494,2.987698921689553,20.33753542632697,0.0,48,0.06,1.9641128860417183,3.49650756146648,12,18,5,691.4586519008418,1.880979881243373,19.92100643351558,0.0,50,0.12,2.609631696671701,0.0,12,2,5,706.3947044605052,2.121023394516228,18.21540036890953,2.6990813507588767,49,0.11,2.526090968065352,0.0,11,4,5,565.3480378519121,0,100,11,2
-1.513653965457213,18.968707983590942,-2.381086967398878,35,0.17,2.5764207046818424,0.0,17,6,17,478.7459458319228,-3.3288612459174938,14.028502503949865,-1.416606672028108,39,0.13,2.307264583025048,-3.49650756146648,16,18,11,331.39418223486507,-0.1391239360952859,17.865493944812858,0.0,40,0.18,2.5293141478363186,0.0,18,18,17,483.63700479548834,0.1132976871736461,17.336082299711205,0.0,46,0.17,2.686297277647514,0.0,17,18,5,520.6576896646594,2.2237329766818683,18.630364056685245,-0.8047189562170501,39,0.12,2.5196457240686594,-3.49650756146648,13,2,5,542.389151937286,2.6913199651050115,20.619431183770303,0.0,45,0.06,1.971999313439928,3.49650756146648,15,18,5,672.8902781323605,1.301706591927485,19.83780945006187,0.0,50,0.12,2.6504573907218894,0.0,12,2,5,650.8493403166186,1.660718879397921,18.12894700575307,2.6990813507588767,49,0.11,2.5402355857800494,0.0,11,4,5,537.9124995228494,0,100,11,3
-4.425523110838093,17.358874207814008,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.4756330079354,-4.4961493604204055,13.237352153907311,0.0,24,0.17,2.157634641107532,-3.49650756146648,24,8,50,437.1308121374898,-3.344937823362476,15.26115879144456,-2.833213344056216,24,0.23,2.619727109068126,-2.833213344056216,23,18,50,602.1008055147036,-2.4546230809255367,15.579368853537373,-2.833213344056216,26,0.16,2.33602497563955,-3.49650756146648,17,2,50,530.7960811463271,6.209313906266741,20.032424449123404,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.2292356037228,7.847780337720008,22.535144676831155,3.49650756146648,41,0.0,1.9024549991691009,3.49650756146648,15,18,6,789.8663369479569,5.148929896801857,22.50908367211478,3.1648604527613484,44,0.12,2.0729719058709937,0.0,12,2,50,977.921111851588,4.780494493274322,19.614586609994777,3.49650756146648,41,0.05,2.0682257878488004,-3.49650756146648,12,4,50,649.125043916652,50,100,11,3
-2.045287076853568,19.374354755538107,0.0,34,0.24,2.373105666854879,0.0,24,4,50,827.0077987906909,-1.803115442139673,13.178518694402303,0.0,29,0.18,2.234652938622444,0.0,18,8,50,441.3555439259454,-2.0338784596386987,17.157690573166413,0.0,40,0.22,2.6755934476157064,0.0,22,4,23,458.6170011975141,-0.8354539885337816,14.463572293064884,0.0,29,0.25,2.3313981253386604,0.0,25,16,50,477.4120327451906,2.7508473751427687,19.308119259105432,0.0,35,0.15,2.257466050102604,0.0,15,2,50,719.7044657688491,3.40758302615807,21.16956659675116,3.044522437723423,44,0.14,1.924843883201836,0.0,14,4,50,745.3900915053675,1.8138143801016435,21.186370500250185,2.5152189606962176,44,0.11,2.331100286366557,0.0,11,2,50,899.8357378848641,2.1030923070102183,19.234480321579632,2.833213344056216,43,0.14,2.4513926696390795,0.0,14,4,50,669.3593266940647,100,100,11,3
3.067231841473752,22.74876396798015,0.0,52,0.2,1.967579388765592,0.0,20,4,25,939.6404594275456,3.093476609517113,14.077766541480178,2.19722457733622,36,0.19,2.2754269095968924,0.0,19,8,38,391.9671944339269,0.1237336924837585,21.057281293922856,0.0,59,0.21,2.4593196193416054,0.0,21,4,25,1091.5437676126887,1.9418524897527376,14.717008491566604,0.0,37,0.4,2.5328981011265626,0.0,40,8,13,353.02876501126246,-4.7938774950227145,16.988158188623302,0.0,44,0.21,2.396273662572738,0.0,21,4,50,651.2053948020618,-4.865732335963901,16.938839095268303,0.0,44,0.33,1.843138783536176,0.0,33,4,50,660.3667243153703,-5.050800135456364,17.524526920955697,0.0,45,0.11,1.779666984000332,3.044522437723423,23,4,50,689.0941576691346,-4.118740639896288,17.471239355475717,0.0,48,0.28,2.061105160828686,0.0,28,4,50,622.7921684648134,150,100,11,3
-1.5139363938356982,18.9771102162638,-2.381086967398878,35,0.17,2.5764207046818424,0.0,17,6,17,478.9625049209607,-3.3373895009760908,14.022274632528347,-1.416606672028108,39,0.13,2.307264583025048,-3.49650756146648,16,18,11,330.9145395982936,-0.1448743479317188,17.866686623395207,0.0,40,0.18,2.5293141478363186,0.0,18,18,17,483.61214792792646,0.1078294445944014,17.33688119088443,0.0,46,0.17,2.686297277647514,0.0,17,18,5,520.4647019827943,2.2250031061394617,18.63855251121724,-0.8047189562170501,39,0.12,2.5196457240686594,-3.49650756146648,13,2,5,542.6417345845808,2.6925900945626045,20.6285233993438,0.0,45,0.06,1.971999313439928,3.49650756146648,15,18,5,673.2119712201737,1.3066543685486136,19.841790208897947,0.0,50,0.12,2.596831614433837,0.0,12,2,5,651.4716326597791,1.667174758102826,18.12982051560053,2.6990813507588767,49,0.11,2.5402355857800494,0.0,11,4,5,538.6080846318706,0,100,11,4
-4.427216472953519,17.36662587381619,-2.2213256282451583,21,0.23,2.629237654836313,0.0,23,6,50,680.7860539634896,-4.505383124836364,13.229423820854604,0.0,24,0.17,2.1301543846534243,-3.49650756146648,24,8,50,438.0541885790856,-3.3534661639759342,15.256589409107342,-2.833213344056216,24,0.23,2.619727109068126,-2.833213344056216,23,18,50,603.094724320061,-2.4642362483441507,15.573425696657848,-2.833213344056216,26,0.16,2.33602497563955,-3.49650756146648,17,2,50,531.9266995810024,6.212418374712745,20.04121313023796,0.0,31,0.11,1.8810329377807795,-3.49650756146648,17,2,50,694.5396565592771,7.851308125120664,22.545145226337063,3.49650756146648,41,0.0,1.9024549991691009,3.49650756146648,15,18,6,790.2438902352898,5.159813021084424,22.509250597983343,3.1648604527613484,44,0.12,2.0729719058709937,0.0,12,2,50,977.4818884871296,4.790954298206523,19.612142795834743,3.49650756146648,41,0.05,2.0682257878488004,-3.49650756146648,12,4,50,648.5306036417264,50,100,11,4
-4.370816060816638,17.382725202687148,-2.2213256282451583,21,0.23,2.645104992549128,0.0,23,6,50,683.2071928445949,-4.342679387318296,13.275650749208364,0.0,25,0.18,2.133834917336336,-3.49650756146648,22,18,50,441.4362717612572,-2.40752537301839,15.56076719962163,0.0,25,0.23,2.348591380994175,-2.833213344056216,23,18,50,592.6904064129901,-2.270685021346412,15.602283261513788,0.0,27,0.16,2.3532696901802903,-3.49650756146648,17,2,50,539.103704163942,7.544504160319609,20.07585974551653,0.0,32,0.1,1.8634536617538893,-3.49650756146648,16,2,50,694.2294883771169,7.934083424275044,22.516378409358087,3.49650756146648,43,0.0,1.9037982531559243,3.49650756146648,15,18,6,777.166610574486,4.216011853785544,22.18167248362119,3.1648604527613484,41,0.12,2.05710456815764,0.0,12,2,50,960.7332656804102,4.140744480481966,19.40298047159589,3.49650756146648,39,0.06,2.3966617708004128,2.833213344056216,12,4,50,663.2583295973293,100,100,11,4
-4.027720174159988,18.294348866704503,-2.2213256282451583,22,0.21,2.6606592822797865,0.0,21,6,50,711.8503283144222,-4.011461415593779,13.53005401477941,0.0,26,0.17,2.1428079708821746,-3.49650756146648,20,18,50,419.8529539714272,-2.5956944337556536,15.848899007103045,0.0,26,0.22,2.3713296946826867,0.0,22,18,50,624.1667542977618,-2.5788155580200267,15.863229269267212,0.0,28,0.17,2.367703218214809,0.0,17,2,50,569.9167578313036,6.663656759866879,20.144074304167297,0.0,33,0.11,1.8931620959649769,-3.49650756146648,17,2,50,726.3837168994298,6.465161210422642,22.33344169388381,3.49650756146648,42,0.0,1.94002380536411,3.49650756146648,18,18,6,795.3361446276065,3.61481700320482,22.28934093792848,2.833213344056216,42,0.11,2.159906472396893,3.8918202981106265,12,2,50,1015.1863240502948,5.044803374154867,19.93708667014537,3.49650756146648,40,0.06,2.0501980415321475,2.833213344056216,12,4,50,683.4160458229314,150,100,11,4
