Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x555c5ffd00a9,R,0x7ffe62769120,1,,,,,,,,,,,,,,,,,-46875314577736,-8,-46875314577720,-24,-104,-280,-502038370744,-288,-388,-304,16,-312,-400,-388,-46875314577744,-400
9,0x555c5ffd00b1,W,0x7ffe62769118,1,-8,,,,,,,,,,,,,,,,-46875314577728,-8,-46875314577712,-264,-96,-272,-502038370736,-288,-392,-296,-46875314577736,-304,32,-380,-46875314577736,-320
11,0x555c5ffd00b2,W,0x7ffe62769110,1,-16,-8,-16,,,,,,,,,,,,,,-46875314577720,-8,-88,-256,-88,-272,-372,-280,32,-288,-384,-296,40,-384,-46875314577728,-364
16,0x555c5ffd00bf,R,0x555c5ffd2fd8,1,-46875314577736,-46875314577720,-46875314577736,-46875314577728,-46875314577736,,,,,,,,,,,,16,46875314577712,46875314577632,46875314577456,46373276206992,46875314577448,46875314577336,46875314577440,-8,46875314577432,46875314577336,46875314577348,46875314577760,46875314577408,-8,46875314577360
17,0x555c5ffd00bf,W,0x7ffe62769108,1,46875314577712,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46875314577696,-248,-80,-256,-364,-264,40,-272,-46875314577720,-288,-376,-376,48,-356,-46875314577720,-432
21,0x555c5ffd0008,R,0x555c5ffd2fe8,1,16,-46875314577696,-46875314577720,-46875314577712,-46875314577720,-46875314577704,-46875314577720,-46875314577712,-46875314577720,,,,,,,,46875314577616,46875314577448,46373276206976,46875314577440,46875314577320,46875314577432,46875314577736,46875314577416,-24,46875314577332,46875314577320,46875314577392,46875314577744,46875314577344,-24,46875314577340
26,0x555c5ffd001a,R,0x7ffe627690b8,1,46875314577616,-80,-104,-88,46875314577632,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-284,-176,-296,-192,120,-208,-46875314577640,-296,-296,-276,128,-352,-46875314577640,-352
39,0x555c5ffd0138,R,0x7ffe627690b8,1,0,-80,46875314577632,-88,46875314577632,-96,46875314577632,-88,-104,-88,-104,-96,-104,,,,-502038370640,-168,-284,-184,-296,-200,120,-284,-46875314577640,-224,-296,-272,128,-276,-46875314577640,-272
42,0x555c5ffd018d,W,0x7ffe62769010,1,-168,-248,46875314577448,-256,-272,-264,46875314577464,-248,46875314577464,-256,-272,-256,-272,-264,-272,,-502038370472,-8,-116,-24,-128,-40,288,-128,-46875314577472,-108,-128,-184,296,-184,-46875314577472,-80
45,0x555c5ffd0191,W,0x7ffe62769008,1,-176,-8,-176,-264,46875314577456,-272,46875314577440,-256,46875314577456,-256,46875314577456,-264,-280,-264,-280,-272,-502038370464,-8,-108,-24,-120,-108,296,-48,-46875314577464,-96,-120,-100,304,-96,-96,-72
47,0x555c5ffd0193,W,0x7ffe62769000,1,-184,-8,-184,-264,46875314577432,-280,-288,-264,46875314577432,-264,46875314577448,-264,46875314577448,-272,-288,-272,-502038370456,-8,-100,-24,-112,-112,304,-92,-46875314577456,-168,-112,-168,-46875314577456,-88,-88,-160
49,0x555c5ffd0195,W,0x7ffe62768ff8,1,-192,-8,-192,-24,46875314577424,-280,46875314577440,-272,-192,-272,46875314577424,-272,46875314577440,-272,46875314577440,-280,-502038370448,-8,-92,-92,-104,-32,312,-80,-46875314577448,-84,320,-160,-46875314577448,-56,-80,-144
51,0x555c5ffd0197,W,0x7ffe62768ff0,1,-200,-8,-200,-24,46875314577416,-280,46875314577432,-296,-304,-280,-200,-280,46875314577416,-280,46875314577432,-280,-502038370440,-8,-84,-96,-96,-76,320,-152,-96,-76,328,-72,-46875314577440,-144,-72,-40
53,0x555c5ffd0199,W,0x7ffe62768fe8,1,-208,-8,-208,-24,46875314577408,-40,46875314577424,-296,-312,-40,-208,-288,-208,-288,46875314577408,-288,-502038370432,-76,-76,-16,-88,-64,-46875314577432,-144,-88,-144,336,-40,-46875314577432,-128,-68,-32
56,0x555c5ffd01a1,W,0x7ffe62768f9c,1,-284,-76,-284,-92,46875314577332,-108,46875314577348,-364,-388,-380,-284,-116,-284,-364,-284,-364,-502038370356,-12,0,8,404,12,-46875314577356,8,-12,12,412,-60,12,-52,-44,44
58,0x555c5ffd01a4,W,0x7ffe62768f90,1,-296,-12,-296,-96,46875314577320,-112,46875314577336,-128,-400,-384,-296,-120,-296,-128,-296,-376,-502038370344,72,0,20,416,-56,-46875314577344,-56,0,48,-46875314577344,-48,20,-40,-24,56
60,0x555c5ffd01a8,R,0x7f897ea4f768,1,-502038370640,-502038370344,-502038370640,-502038370432,46373276206976,-502038370448,46373276206992,-502038370464,-502038370744,-502038370720,-502038370640,-502038370736,-502038370640,-502038370464,-502038370640,-502038370472,502038370356,502038370416,502038370344,502038370368,502038370760,502038370364,-46373276207000,502038370368,502038370768,502038370392,502038370368,502038370296,502038370312,502038370304,502038370320,502038370312
62,0x555c5ffd01b1,W,0x7ffe62768fd8,1,502038370416,72,-224,60,46875314577392,-24,46875314577408,-40,-328,-56,-224,-312,-224,-40,-224,-48,-60,-52,-72,-128,344,-128,-72,-48,-46875314577416,-24,-52,-120,-104,-16,-88,-104
67,0x555c5ffd01bd,W,0x7ffe62768fa4,1,502038370364,-52,-276,8,46875314577340,-68,46875314577356,-84,-380,-100,-276,-356,-276,-372,-276,-92,-8,4,-20,0,-46875314577364,-76,404,4,4,28,0,-60,-44,36,-36,-44
69,0x555c5ffd01c4,W,0x7ffe62768fa8,1,502038370368,4,-272,24,-272,-64,46875314577360,-72,-376,-88,-272,-104,-272,-360,-272,-80,-12,-80,392,-4,-24,-80,-46875314577368,0,0,-72,-56,-64,-48,-56,-32,-48
71,0x555c5ffd01cb,R,0x7ffe62768f9c,1,502038370356,-12,-284,-60,-284,0,46875314577332,-84,-388,-92,-284,-108,-284,-364,-284,-380,-12,-68,-46875314577356,8,412,-68,-46875314577356,36,8,-60,-44,44,-28,-44,-28,-36
74,0x555c5ffd01d1,R,0x7ffe62768f90,1,-12,-24,-296,-20,-296,0,46875314577320,-88,46875314577336,-104,-296,-112,-296,-128,-296,-384,416,-56,0,20,424,24,24,48,20,-40,-24,56,-8,-32,-16,-16
77,0x555c5ffd01d9,R,0x7ffe62769130,1,416,392,502038370760,396,120,344,46875314577736,404,46875314577752,320,16,304,120,296,120,40,-46875314577760,-472,-416,-472,-46875314577760,-392,-392,-464,-448,-456,-432,-360,-424,-440,-472,-432
80,0x555c5ffd01df,W,0x7ffe62768f58,1,-472,-80,-68,-76,-352,-128,46875314577264,-56,46875314577280,-144,-456,-160,502038370288,-176,-352,-184,-46875314577288,76,480,0,-46875314577288,104,76,8,32,16,40,24,40,32,0,48
83,0x555c5ffd0094,R,0x555c5ffd2fd0,1,-46875314577760,-46875314577288,-46875314577344,-46875314577364,-46373276207000,-46875314577416,-46875314577640,-46875314577344,-8,-46875314577356,-46875314577744,-46875314577440,-46373276207000,-46875314577456,-46373276207000,-46875314577472,46875314577344,46875314577364,46875314577768,46875314577368,46875314577368,46875314577392,46875314577312,46875314577296,46875314577320,46875314577400,46875314577336,46875314577312,46875314577328,46875314577328,46875314577372,46875314577336
85,0x555c5ffd01e4,W,0x7ffe62768fa4,1,46875314577364,76,20,-4,8,-52,-276,20,46875314577340,8,-380,-68,502038370364,-84,502038370364,-100,-20,-76,-46875314577364,4,0,28,-52,-60,-36,36,-28,-44,-76,-36,0,-28
87,0x555c5ffd01e7,R,0x7ffe62768f90,1,46875314577344,-20,-416,-24,-12,-20,502038370344,0,-296,-12,46875314577336,-88,502038370344,-96,502038370344,-112,424,-56,24,24,20,-48,-24,-40,-16,-32,-16,-24,28,-16,20,-56
90,0x555c5ffd01ef,R,0x7ffe62769138,1,424,404,8,480,424,404,502038370768,352,128,412,46875314577744,336,24,328,502038370768,320,-46875314577768,-480,-400,-376,-456,-472,-448,-368,-432,-456,-480,-448,-396,-432,-404,-360
93,0x555c5ffd01f5,W,0x7ffe62768f58,1,-480,-76,46875314577288,0,-56,-80,-68,-128,-352,-56,-352,-144,46875314577280,-152,-68,-160,-46875314577288,80,76,104,24,16,40,112,40,24,0,40,84,0,76,84
96,0x555c5ffd0094,R,0x555c5ffd2fd0,1,-46875314577768,-46875314577288,-46875314577344,-46875314577288,-46875314577760,-46875314577368,-46875314577356,-46875314577364,-46373276207000,-46875314577344,-46875314577640,-46875314577356,-24,-46875314577440,-46875314577744,-46875314577448,46875314577368,46875314577368,46875314577364,46875314577296,46875314577320,46875314577304,46875314577336,46875314577400,46875314577328,46875314577320,46875314577288,46875314577336,46875314577372,46875314577408,46875314577364,46875314577376
98,0x555c5ffd01fa,W,0x7ffe62768fa8,1,46875314577368,80,24,4,46875314577368,0,24,4,502038370368,-48,-272,12,46875314577344,-64,46875314577360,-80,0,24,-56,-72,-40,-64,-32,-56,-40,-40,-80,-80,4,4,-4,-3672
100,0x555c5ffd01fd,R,0x7ffe62768fa8,1,46875314577368,0,-400,4,46875314577368,80,-392,4,12,-48,-272,24,-272,-64,46875314577360,-72,-4,24,-48,-72,-40,32,-32,-48,-40,-32,-80,40,4,8,-4,8
102,0x555c5ffd0200,R,0x7ffe62768fa4,1,-4,-4,-404,76,20,76,-396,-4,20,-52,502038370364,20,-276,8,46875314577340,-76,-52,28,-44,-60,-36,-52,-28,-36,-36,-76,-76,8,8,-3668,0,-3664
106,0x555c5ffd020a,W,0x7ffe62768fc0,1,28,24,46875314577392,104,48,28,46875314577392,24,48,28,36,48,-248,36,46875314577368,-40,-80,-96,-72,8,-64,-72,-56,-56,-64,16,-104,-16,-20,-16,-28,-16
109,0x555c5ffd0211,W,0x7ffe62768f60,1,-68,-96,-72,8,-472,-68,46875314577296,8,-464,-68,-60,-120,502038370296,-60,-344,-136,16,8,24,16,32,32,40,-8,32,76,-8,-3600,76,-3596,80,80
111,0x555c5ffd0218,W,0x7ffe62768f68,1,-60,8,-64,-64,46875314577304,-60,-40,16,-456,-64,-40,-112,502038370304,-40,-336,-128,8,96,16,16,24,32,32,104,24,72,-16,72,60,-3604,64,72
117,0x555c5ffd0235,W,0x7ffe62768fc8,1,36,96,32,8,46875314577400,112,-368,112,46875314577400,32,56,36,44,56,-240,44,-88,-88,-80,-72,-72,-112,-64,-28,-72,-3704,-28,-24,-24,-3700,-28,-24
120,0x555c5ffd023c,W,0x7ffe62768f70,1,-52,-88,-56,16,46875314577312,-56,-456,-52,-32,-56,-448,-52,-44,-104,502038370312,-44,0,8,8,24,16,96,24,64,-24,-3616,52,64,56,-3612,64,64
122,0x555c5ffd0243,W,0x7ffe62768f78,1,-44,8,-48,16,46875314577320,-72,-448,32,-24,32,46875314577320,-44,-24,-96,502038370320,-24,-8,8,0,-32,8,52,8,56,52,-3624,56,56,52,-3620,88,56
125,0x555c5ffd0251,W,0x7ffe62768f80,1,-36,8,-40,-72,46875314577328,32,-440,-40,-16,-36,46875314577328,-40,-432,-88,-28,-16,-16,8,-8,80,8,44,-40,48,36,-3632,40,48,48,-3628,48,48
127,0x555c5ffd0258,W,0x7ffe62768f88,1,-28,8,-32,24,46875314577336,32,-432,-56,-8,48,46875314577336,48,-424,-28,-8,-8,-24,-48,-8,72,-8,36,36,40,40,-3640,36,40,72,-3636,40,-3632
129,0x555c5ffd0263,R,0x7ffe62768f70,1,-52,-24,-56,-8,46875314577312,-88,-456,16,-32,-56,46875314577312,-52,-448,-56,-32,-104,8,-24,24,96,-24,60,52,64,56,-3616,64,64,96,64,64,64
131,0x555c5ffd026a,R,0x7ffe62768f78,1,8,-16,-48,-8,46875314577320,8,-448,16,-24,-72,46875314577320,32,-440,32,-24,-44,8,-32,8,88,52,52,56,56,52,-3624,56,-3620,88,-3616,56,-3612
134,0x555c5ffd0274,R,0x7ffe62768f80,1,8,-8,-36,0,46875314577328,8,-440,-72,-16,32,46875314577328,-40,-432,-36,-16,-40,8,-40,-40,80,36,44,40,48,44,48,48,48,80,48,44,-3620
136,0x555c5ffd027c,R,0x7ffe62768f88,1,8,0,24,8,-32,16,-432,24,-8,32,46875314577336,-56,-424,48,-8,48,-8,-48,36,72,40,36,32,-3640,36,-3636,40,-3632,40,40,40,-3628
141,0x555c5ffd028e,R,0x7ffe62768f80,1,-8,-8,8,0,-36,8,46875314577328,16,-16,-72,46875314577328,32,-432,-40,-16,-36,-40,-40,36,80,48,48,40,48,44,48,80,-3624,44,48,48,48
