Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target,Fine grained Target
1.0075788786410949,11.548543590508627,0.0,50,0.11,2.862000056283663,1.6094379124341005,14,13,16,230.67154290103807,-1.806259592660548,7.377781453400244,-1.6094379124341005,38,0.2,2.7181944047609075,0.0,20,5,1,154.65637723221178,0,100,4,1
-0.3921592282573341,2.7471776854066894,0.0,17,0.18,2.5440450045190146,1.6094379124341005,29,10,50,138.85140603912745,0.3549240069835429,3.51519091771358,0.0,23,0.31,2.204181917540973,0.0,31,5,20,199.2014492354654,50,100,4,1
-0.5071582014035994,2.7238971728070456,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,152.83472961837157,0.4182635244496328,3.635904901274323,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,210.96698180347585,100,100,4,1
-0.5025351828266911,2.714436520651459,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,152.3724277606807,0.4136828956566921,3.613385052893929,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,209.98262632529523,150,100,4,1
-0.4976878639404099,2.704557820671232,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,151.88769587205263,0.4088821629661804,3.5898136733854624,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,208.9509715987332,200,100,4,1
-0.4925933450229099,2.6942210443049768,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,151.3782439803026,0.4038390828375544,3.5650867759718343,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,207.8672375986428,250,100,4,1
-0.4872250264080133,2.683380024838616,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,150.84141211881297,0.3985278562599818,3.539084064972834,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,206.7258802475092,300,100,4,1
-0.4815517649167121,2.67198112079515,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,150.27408596968283,0.3929183273086439,3.5116653242543774,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,205.5204191893672,350,100,4,1
-0.4755367749644423,2.6599614915050376,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,149.67258697445584,0.3869749420480858,3.4826657441918045,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,204.24321406356336,400,100,4,1
-0.4691361754668252,2.647246840562352,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,149.03252702469413,0.3806553761668402,3.4518897882850714,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,202.8851695906229,450,100,4,1
-0.4622970358192401,2.633748415704176,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,148.34861305993564,0.3739086960048562,3.419103013525308,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,201.4353403867111,500,100,4,1
-0.4549546978892915,2.619358947994233,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,4,50,147.61437926694077,0.3666728482659349,3.3840209638452503,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,199.880391516084,550,100,4,1
-0.447029025465852,2.603947042175593,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,146.82181202459685,0.3588711603830742,3.3462937780532704,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,198.2038464381557,600,100,4,1
-0.4384190191050119,2.587349244088218,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,145.9608113885128,0.3504073420984792,3.3054843532680698,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,196.3850128736716,650,100,4,1
-0.4289948564239096,2.5693585145871665,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,145.01839512040257,0.3411581428745747,3.261036513744218,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,194.397404921664,700,100,4,1
-0.4185857173768119,2.54970693901499,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,143.97748121569282,0.3309622031085943,3.2122271103415216,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,192.2063472455404,750,100,4,1
-0.4069603821193251,2.5280387817500527,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,142.81494768994412,0.3196024436253068,3.1580911547274475,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,189.76519067059488,800,100,4,1
-0.3937947175086346,2.5038665006695666,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,141.49838122887508,0.3067768755540215,3.097299305772125,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,187.00903938611089,850,100,4,1
-0.3786136414226571,2.476494668532135,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,139.98027362027733,0.2920472160246918,3.0279456153582607,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,183.8437087417217,900,100,4,1
-0.3606786667089405,2.4448782064455257,0.0,16,0.2,2.646439344711818,1.6094379124341005,30,4,50,138.18677614890566,0.2747411321964645,2.9471519675166866,0.0,24,0.3,2.1709505945736582,0.0,30,5,20,180.12471803349612,950,100,4,1
-0.0567502348988577,2.700008225124816,0.0,22,0.24,2.3703302555031023,0.0,24,4,50,83.04381380812404,-0.218231074104648,2.7106491087078783,0.0,23,0.27,2.655862558783083,0.0,27,5,20,98.2143702384444,1000,100,4,1
0.2781015113008812,3.00845490708606,0.0,20,0.29,2.4067524869993595,0.0,29,2,47,144.03050780084155,-0.7873478288503822,2.36592648284777,-1.6094379124341005,15,0.24,2.763037887139877,0.0,24,17,47,69.30664033863962,1050,100,4,1
0.2561472750429293,3.100546130588247,0.0,19,0.3,2.447714839363577,0.0,30,2,47,154.88528385592767,-0.904323026752133,2.32790981212269,-1.6094379124341005,14,0.23,2.375719077998815,0.0,23,17,12,78.40054730647806,1100,100,4,1
0.1934866298182397,3.1007144603044674,0.0,19,0.3,2.454752132527297,0.0,30,2,47,157.22195517752286,-0.9510705731995792,2.321906397004186,-1.6094379124341005,14,0.23,2.359002606051005,0.0,23,17,47,74.72176536107324,1150,100,4,1
0.2522358923984056,3.0922113941668337,0.0,19,0.3,2.4309983674157336,0.0,30,2,47,158.54737458277015,-0.9211625045873147,2.312503045214973,-1.6094379124341005,14,0.24,2.354748673018164,0.0,24,17,47,75.37454900767626,1200,100,4,1
0.2826514702105506,3.098131188394102,0.0,19,0.29,2.527576795880492,0.0,29,2,47,157.91463710892762,-0.903449668289496,2.3208090808925084,-1.6094379124341005,14,0.23,2.375719077998815,0.0,23,17,47,75.04358860409768,1250,100,4,1
0.254288006702063,3.1069619517964324,0.0,19,0.28,2.551330560992055,0.0,28,2,47,157.8809739092588,-0.9140240843962196,2.3240288989498668,-1.6094379124341005,14,0.23,2.383253950847207,0.0,23,17,12,75.15199208228005,1300,100,4,1
0.2238096211196407,3.0876224237546417,0.0,19,0.29,2.5485472008611856,0.0,29,2,47,156.66028392339828,-0.8962189250127214,2.320940660703477,-1.6094379124341005,14,0.24,2.386037310978071,0.0,24,17,47,75.32474123238921,1350,100,4,1
0.2559632216034771,3.061317574236141,0.0,19,0.3,2.541012328012778,0.0,30,2,47,154.87001355675193,-0.8783635368429547,2.3064180319047884,-1.6094379124341005,14,0.24,2.379000017814365,0.0,24,17,47,74.38578482856705,1400,100,4,1
0.286371105682668,3.066605911769701,0.0,19,0.29,2.5442932678283348,0.0,29,2,47,156.3528869069051,-0.8926436383365212,2.301839669401284,-1.6094379124341005,14,0.23,2.375719077998815,0.0,23,17,47,73.21153886793942,1450,100,4,1
0.2541426147830968,3.078987517775124,0.0,19,0.28,2.551330560992055,0.0,28,2,47,158.40718169632177,-0.9449337716712588,2.2881081878843883,-1.6094379124341005,14,0.23,2.375719077998815,0.0,23,17,47,77.17690914971693,1500,100,4,1
0.2321280063900821,3.065361200090691,0.0,19,0.29,2.538233472617804,0.0,29,2,47,156.1211278842453,-0.9649749078512414,2.264070756895252,-1.6094379124341005,14,0.24,2.370616010731485,0.0,24,17,47,75.05479515083924,1550,100,4,1
0.2320827436268483,3.0576171367729703,0.0,19,0.29,2.538233472617804,0.0,29,2,47,155.72351344094656,-0.9190350577548644,2.277952892143809,-1.6094379124341005,14,0.24,2.5442932679058585,0.0,24,7,47,70.69042075732092,1600,100,4,1
0.1961682661593019,3.00488783805698,0.0,18,0.29,2.527576795880492,0.0,29,2,47,151.76706666143988,-0.8730265342473532,2.290710012394561,-1.6094379124341005,14,0.24,2.551330561069564,0.0,24,17,47,74.84278165329215,1650,100,4,1
0.2542068633367196,2.93669824315865,0.0,17,0.3,2.5033254510842418,0.0,30,2,47,145.60993987046209,-0.8351467653899958,2.2365959538247746,-1.6094379124341005,13,0.24,2.5275767959580486,0.0,24,17,47,71.06670540517231,1700,100,4,1
0.2959046623460623,2.977739635879611,0.0,18,0.3,2.5139821278215537,0.0,30,2,47,149.31663272888417,-0.8552833930626691,2.23502702734441,-1.6094379124341005,13,0.23,2.524295856142499,0.0,23,17,47,68.76168306241001,1750,100,4,1
0.2699530860754711,3.0103902701802228,0.0,19,0.3,2.530698599769397,0.0,30,2,47,151.2469405645341,-0.8949978177899173,2.282784499607973,-1.6094379124341005,14,0.23,2.5485472009387005,0.0,23,17,47,72.35624213875825,1800,100,4,1
0.2479171297549566,2.983323312459917,0.0,19,0.3,2.541012328012778,0.0,30,2,47,148.95682937687712,-0.9230808956509994,2.2450694204123085,-1.6094379124341005,14,0.24,2.5442932679058585,0.0,24,17,12,72.4612221767886,1850,100,4,1
0.2478480060636545,2.97384378750253,0.0,19,0.3,2.541012328012778,0.0,30,2,47,148.46905375701496,-0.9045274969020152,2.229037028446782,-1.6094379124341005,14,0.24,2.530698599846947,0.0,24,17,12,72.86933466749117,1900,100,4,1
0.2553941487406084,2.9721456242366564,0.0,19,0.3,2.541012328012778,0.0,30,2,47,148.3886198704882,-0.8715180881731891,2.256327462894009,-1.6094379124341005,14,0.23,2.660944461084274,0.0,23,17,12,75.44546923204152,1950,100,4,1
0.1926779190107633,2.9684986308937296,0.0,19,0.3,2.3499320547267777,0.0,30,2,47,150.46343359824832,-0.9171224717977692,2.248818645222078,-1.6094379124341005,14,0.23,2.6502877843469834,0.0,23,17,47,71.41567025006947,2000,100,4,1
0.2513650185311625,2.9555544745594786,0.0,19,0.3,2.350559511213827,0.0,30,2,47,151.51721427034224,-0.8859862887544778,2.236502618131395,-1.6094379124341005,14,0.24,2.646033851314141,0.0,24,17,47,71.92535537760367,2050,100,4,1
0.2817107418506949,2.95739936635238,0.0,19,0.29,2.353840451029384,0.0,29,2,47,150.6285852489883,-0.8669502558032331,2.242511732444244,-1.6094379124341005,14,0.23,2.667004256294793,0.0,23,17,47,71.47890152451114,2100,100,4,1
0.2532683666727394,2.961974114931297,0.0,19,0.28,2.3566238111602527,0.0,28,2,47,150.31985067237693,-0.8760945342870796,2.243562523454501,-1.6094379124341005,14,0.23,2.667004256256154,0.0,23,17,12,71.74993548918529,2150,100,4,1
0.22270031939652,2.936607839915544,0.0,19,0.29,2.353840451029383,0.0,29,2,47,148.7698096427993,-0.8567383131483146,2.237410749712061,-1.6094379124341005,14,0.24,2.661901188988819,0.0,24,17,47,71.5002370459936,2200,100,4,1
0.2547513865390904,2.9034244583136712,0.0,19,0.3,2.350559511213827,0.0,30,2,47,146.62341940792152,-0.8371943177083666,2.2191350324624555,-1.6094379124341005,14,0.24,2.662750323223308,0.0,24,17,47,70.3811706512227,2250,100,4,1
0.2850411735944329,2.903027765968753,0.0,19,0.29,2.353840451029384,0.0,29,2,47,147.74180890045815,-0.849628331578619,2.2115218649449977,-1.6094379124341005,14,0.23,2.3757190779598854,0.0,23,17,47,69.01298851196978,2300,100,4,1
0.2526755584304761,2.909593476716944,0.0,19,0.28,2.3566238111602527,0.0,28,2,47,149.3952683036779,-0.8998907477635905,2.194890349339645,-1.6094379124341005,14,0.23,2.3757190779598854,0.0,23,17,47,72.82649310703052,2350,100,4,1
0.230500271672306,2.88800752718085,0.0,19,0.29,2.343526722786002,0.0,29,2,47,146.6458309848877,-0.9176929512652482,2.1665535818037727,-1.6094379124341005,14,0.24,2.37061601069255,0.0,24,17,47,70.47389996214221,2400,100,4,1
0.2302647524428557,2.8718888674613554,0.0,19,0.29,2.418233472655011,0.0,29,2,47,145.73969032625692,-0.8692662389961618,2.175998529540899,-1.6094379124341005,14,0.24,2.3790000177754385,0.0,24,17,47,65.84894269571267,2450,100,4,1
0.2036773702132432,2.8240643875658504,0.0,18,0.29,2.418233472655011,0.0,29,2,47,142.1545888946004,-0.8204766904513844,2.1837951363094006,-1.6094379124341005,14,0.24,2.386037310939151,0.0,24,17,47,69.74060192874548,2500,100,4,1
0.2523153250848874,2.761630033105701,0.0,17,0.3,2.3939821278587607,0.0,30,2,47,136.3920140305429,-0.7892190179438017,2.141432176847521,-1.6094379124341005,13,0.24,2.5275767959192703,0.0,24,17,47,66.63813700600653,2550,100,4,1
0.2841836675989143,2.7789515437793684,0.0,18,0.3,2.3939821278587607,0.0,30,2,47,138.56237989849086,-0.8064538872639518,2.1355678472460906,-1.6094379124341005,13,0.23,2.5242958561037168,0.0,23,17,47,64.06505237992702,2600,100,4,1
0.2670109274799678,2.7832729887138075,0.0,19,0.3,2.4149525328394543,0.0,30,2,47,138.83795190654263,-0.8330825342152502,2.1613557969443784,-1.6094379124341005,14,0.23,2.667004256256154,0.0,23,17,47,66.42494955506025,2650,100,4,1
0.930235020156636,11.625029556511922,0.0,51,0.11,2.982836935843673,1.6094379124341005,14,13,16,233.15756623426,-1.72618971056223,7.638057407751694,-1.6094379124341005,38,0.2,2.905955228980709,0.0,20,5,20,168.53984055902717,0,100,4,2
-0.5786698874777819,3.1686241435878686,0.0,17,0.18,2.646715008128474,1.6094379124341005,29,10,50,157.50247196117226,0.5407550172139581,4.493229077730495,0.0,23,0.31,2.4308605329485737,0.0,31,5,20,239.1325117737416,50,100,4,2
-0.7178906576350976,3.189601484196826,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.9079752415214,0.6282062387848215,4.691364260142088,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,256.0827106268997,100,100,4,2
-0.7173401415179288,3.188310165097718,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.85292362980448,0.6276563281445701,4.688553857388997,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.9645372795252,150,100,4,2
-0.7167865779054675,3.1870120330558493,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.7975672685584,0.6271033767274221,4.6857281018076975,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.84571048302976,200,100,4,2
-0.7162299328693895,3.1857070145085955,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.74190276495057,0.6265473507175001,4.682886824051734,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.72622297053712,250,100,4,2
-0.7156701719115959,3.184395034686557,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.68592666917118,0.625988215731675,4.680029851952256,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.60606735327144,300,100,4,2
-0.7151072599513835,3.183076017586901,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.62963547314996,0.6254259368068078,4.677157010454885,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.48523611781525,350,100,4,2
-0.7145411613122513,3.181749885945972,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.5730256092367,0.6248604783866308,4.674268121554808,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.3637216232908,400,100,4,2
-0.7139718397083322,3.1804165612111253,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.51609344884486,0.6242918043082538,4.671363004230021,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.2415160984596,450,100,4,2
-0.7133992582304358,3.1790759635117776,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.45883530105522,0.6237198777882869,4.668441474372695,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,255.1186116387408,500,100,4,2
-0.7128233793316887,3.1777280116296285,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.40124741118046,0.6231446614085615,4.665503344718553,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.9950002031429,550,100,4,2
-0.71224416481276,3.1763726229680462,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.3433259592876,0.6225661171014409,4.662548424774236,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.87067361110624,600,100,4,2
-0.7116615758066556,3.175009713520558,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.2850670586772,0.6219842061347012,4.659576520742551,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.74562353925475,650,100,4,2
-0.7110755727630675,3.173639197838452,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.22646675431838,0.6213988890959711,4.6565874354455445,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.61984151805183,700,100,4,2
-0.7104861154322611,3.172260988997429,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.16752102123772,0.620810125876713,4.653580968245334,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.49331892835792,750,100,4,2
-0.7098931628484858,3.170874998563284,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.10822576286017,0.6202178756557304,4.650556914962587,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.3660469978864,800,100,4,2
-0.7092966733128894,3.1694811365565827,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,173.04857680930056,0.6196220968821823,4.647515067792601,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,254.2380167975534,850,100,4,2
-0.6793698630000529,3.1561010981679765,0.0,17,0.21,2.4502458858374188,1.6094379124341005,29,10,49,105.05824199364864,0.5781798049944049,4.644543759293448,0.0,25,0.29,2.4449942355479903,0.0,29,5,21,157.02743936937748,900,100,4,2
-0.6787661714433348,3.154680251385068,0.0,17,0.21,2.4502458858374188,1.6094379124341005,29,10,50,139.90859363736865,0.5775768414566339,4.641460438890241,0.0,25,0.29,2.4449942355479903,0.0,29,5,20,214.3227050779916,950,100,4,2
-0.7074855546368508,3.165251397357091,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.8674649416967,0.6178131624220075,4.638280628698307,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.8492848548509,1000,100,4,2
-0.7068744850162223,3.163825117065503,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.80635797963384,0.6172028387134315,4.635165452344719,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.7181290143104,1050,100,4,2
-0.7062596583180776,3.162390490814352,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.7448753098194,0.6165887671222882,4.632031385581994,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.5861677709047,1100,100,4,2
-0.7056410280561226,3.160947418549982,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.68301228362387,0.6159709013333611,4.628878196944043,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.45339117170792,1150,100,4,2
-0.7050185468759171,3.1594957983948726,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.62076416560333,0.6153491941675572,4.6257056506765135,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.3197890781514,1200,100,4,2
-0.7043921665331205,3.1580355266028417,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.55812613132366,0.6147235975602895,4.622513506630091,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.18535116137733,1250,100,4,2
-0.7037618378710548,3.156566497512864,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.49509326511708,0.6140940625391762,4.619301520150457,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,253.0500668974478,1300,100,4,2
-0.7031275107975533,3.15508860350145,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.43166055776692,0.613460539201035,4.616069441964772,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,252.91392556239973,1350,100,4,2
-0.7024891342610715,3.1536017349335337,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.36782290411873,0.6128229766881453,4.612817018064577,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,252.7769162271443,1400,100,4,2
-0.7018466562260304,3.152105780111806,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.30357510061464,0.6121813231637446,4.609543989584934,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,252.63902775220143,1450,100,4,2
-0.7012000236473622,3.1506006252244383,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.23891184274785,0.611535525786739,4.606250092679701,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,252.50024878226444,1500,100,4,2
-0.700549182444228,3.1490861542911373,0.0,16,0.2,2.4464393447504027,1.6094379124341005,30,10,50,172.17382772243442,0.6108855306855872,4.602935058392769,0.0,24,0.3,2.4464393447504027,0.0,30,5,20,252.3605677405887,1550,100,4,2
