Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55a393ab60a9,R,0x7ffe669e65f0,1,,,,,,,,,,,,,,,,,-46569574553112,-8,-46569574553096,-24,-104,-280,-568736288392,-288,-388,-304,16,-312,-400,-388,-46569574553120,-400
9,0x55a393ab60b1,W,0x7ffe669e65e8,1,-8,,,,,,,,,,,,,,,,-46569574553104,-8,-46569574553088,-264,-96,-272,-568736288384,-288,-392,-296,-46569574553112,-304,32,-380,-46569574553112,-320
11,0x55a393ab60b2,W,0x7ffe669e65e0,1,-16,-8,-16,,,,,,,,,,,,,,-46569574553096,-8,-88,-256,-88,-272,-372,-280,32,-288,-384,-296,40,-384,-46569574553104,-364
16,0x55a393ab60bf,R,0x55a393ab8fd8,1,-46569574553112,-46569574553096,-46569574553112,-46569574553104,-46569574553112,,,,,,,,,,,,16,46569574553088,46569574553008,46569574552832,46000838264720,46569574552824,46569574552712,46569574552816,-8,46569574552808,46569574552712,46569574552724,46569574553136,46569574552784,-8,46569574552736
17,0x55a393ab60bf,W,0x7ffe669e65d8,1,46569574553088,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46569574553072,-248,-80,-256,-364,-264,40,-272,-46569574553096,-288,-376,-376,48,-356,-46569574553096,-432
21,0x55a393ab6008,R,0x55a393ab8fe8,1,16,-46569574553072,-46569574553096,-46569574553088,-46569574553096,-46569574553080,-46569574553096,-46569574553088,-46569574553096,,,,,,,,46569574552992,46569574552824,46000838264704,46569574552816,46569574552696,46569574552808,46569574553112,46569574552792,-24,46569574552708,46569574552696,46569574552768,46569574553120,46569574552720,-24,46569574552716
26,0x55a393ab601a,R,0x7ffe669e6588,1,46569574552992,-80,-104,-88,46569574553008,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-284,-176,-296,-192,120,-208,-46569574553016,-296,-296,-276,128,-352,-46569574553016,-352
39,0x55a393ab6138,R,0x7ffe669e6588,1,0,-80,46569574553008,-88,46569574553008,-96,46569574553008,-88,-104,-88,-104,-96,-104,,,,-568736288288,-168,-284,-184,-296,-200,120,-284,-46569574553016,-224,-296,-272,128,-276,-46569574553016,-272
42,0x55a393ab618d,W,0x7ffe669e64e0,1,-168,-248,46569574552824,-256,-272,-264,46569574552840,-248,46569574552840,-256,-272,-256,-272,-264,-272,,-568736288120,-8,-116,-24,-128,-40,288,-128,-46569574552848,-108,-128,-184,296,-184,-46569574552848,-80
45,0x55a393ab6191,W,0x7ffe669e64d8,1,-176,-8,-176,-264,46569574552832,-272,46569574552816,-256,46569574552832,-256,46569574552832,-264,-280,-264,-280,-272,-568736288112,-8,-108,-24,-120,-108,296,-48,-46569574552840,-96,-120,-100,304,-96,-96,-72
47,0x55a393ab6193,W,0x7ffe669e64d0,1,-184,-8,-184,-264,46569574552808,-280,-288,-264,46569574552808,-264,46569574552824,-264,46569574552824,-272,-288,-272,-568736288104,-8,-100,-24,-112,-112,304,-92,-46569574552832,-168,-112,-168,-46569574552832,-88,-88,-160
49,0x55a393ab6195,W,0x7ffe669e64c8,1,-192,-8,-192,-24,46569574552800,-280,46569574552816,-272,-192,-272,46569574552800,-272,46569574552816,-272,46569574552816,-280,-568736288096,-8,-92,-92,-104,-32,312,-80,-46569574552824,-84,320,-160,-46569574552824,-56,-80,-144
51,0x55a393ab6197,W,0x7ffe669e64c0,1,-200,-8,-200,-24,46569574552792,-280,46569574552808,-296,-304,-280,-200,-280,46569574552792,-280,46569574552808,-280,-568736288088,-8,-84,-96,-96,-76,320,-152,-96,-76,328,-72,-46569574552816,-144,-72,-40
53,0x55a393ab6199,W,0x7ffe669e64b8,1,-208,-8,-208,-24,46569574552784,-40,46569574552800,-296,-312,-40,-208,-288,-208,-288,46569574552784,-288,-568736288080,-76,-76,-16,-88,-64,-46569574552808,-144,-88,-144,336,-40,-46569574552808,-128,-68,-32
56,0x55a393ab61a1,W,0x7ffe669e646c,1,-284,-76,-284,-92,46569574552708,-108,46569574552724,-364,-388,-380,-284,-116,-284,-364,-284,-364,-568736288004,-12,0,8,404,12,-46569574552732,8,-12,12,412,-60,12,-52,-44,44
58,0x55a393ab61a4,W,0x7ffe669e6460,1,-296,-12,-296,-96,46569574552696,-112,46569574552712,-128,-400,-384,-296,-120,-296,-128,-296,-376,-568736287992,72,0,20,416,-56,-46569574552720,-56,0,48,-46569574552720,-48,20,-40,-24,56
60,0x55a393ab61a8,R,0x7f79fb4b5768,1,-568736288288,-568736287992,-568736288288,-568736288080,46000838264704,-568736288096,46000838264720,-568736288112,-568736288392,-568736288368,-568736288288,-568736288384,-568736288288,-568736288112,-568736288288,-568736288120,568736288004,568736288064,568736287992,568736288016,568736288408,568736288012,-46000838264728,568736288016,568736288416,568736288040,568736288016,568736287944,568736287960,568736287952,568736287968,568736287960
62,0x55a393ab61b1,W,0x7ffe669e64a8,1,568736288064,72,-224,60,46569574552768,-24,46569574552784,-40,-328,-56,-224,-312,-224,-40,-224,-48,-60,-52,-72,-128,344,-128,-72,-48,-46569574552792,-24,-52,-120,-104,-16,-88,-104
