Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55694a34e089,R,0x7ffe9f8b00a0,1,,,,,,,,,,,,,,,,,-46820870189256,-8,-46820870189240,-24,-104,-292,-292,-304,-304,-312,-46820870189264,-280,-324,-312,-356,-320
9,0x55694a34e091,W,0x7ffe9f8b0098,1,-8,,,,,,,,,,,,,,,,-46820870189248,-8,-46820870189232,-264,-96,-284,-284,-272,24,-304,-272,-272,-316,-304,-348,-316
11,0x55694a34e092,W,0x7ffe9f8b0090,1,-16,-8,-16,,,,,,,,,,,,,,-46820870189240,-8,-88,-256,-88,-288,-288,-264,-46820870189248,-296,-308,-264,-308,-304,-340,-328
16,0x55694a34e09f,R,0x55694a350fd8,1,-46820870189256,-46820870189240,-46820870189256,-46820870189248,-46820870189256,,,,,,,,,,,,16,46820870189232,46820870189152,46820870188964,46820870188964,46820870188952,46820870189272,46820870188976,46820870188976,46820870188944,46820870188932,46820870188944,46820870188932,46820870188932,46820870188900,46820870188904
17,0x55694a34e09f,W,0x7ffe9f8b0088,1,46820870189232,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46820870189216,-248,-80,-268,-280,-280,-46820870189240,-256,-256,-256,-300,-296,-300,-320,-332,-332
21,0x55694a34e008,R,0x55694a350fe8,1,16,-46820870189216,-46820870189240,-46820870189232,-46820870189240,-46820870189224,-46820870189240,-46820870189232,-46820870189240,,,,,,,,46820870189136,46820870188968,46820870188948,46820870188948,46820870189256,46820870188936,-24,46820870188928,46820870188960,46820870188928,46820870188916,46820870188916,46820870188916,46820870188888,46820870188884,46820870188884
26,0x55694a34e01a,R,0x7ffe9f8b0038,1,46820870189136,-80,-104,-88,46820870189152,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-200,-188,120,-176,-46820870189160,-176,-176,-216,-220,-240,-252,-248,-284,-252
39,0x55694a34e118,R,0x7ffe9f8b0038,1,0,-80,46820870189152,-88,46820870189152,-96,46820870189152,-88,-104,-88,-104,-96,-104,,,,-188,-168,-200,-200,120,-208,-46820870189160,-208,-176,-220,-220,-240,-252,-248,-284,-252
42,0x55694a34e19d,W,0x7ffe9f8aff90,1,-168,-248,46820870188968,-256,-272,-264,46820870188984,-248,46820870188984,-256,-272,-256,-272,-264,-272,,-20,-20,-32,-8,288,-8,-46820870188992,-48,-52,-52,-84,-72,-116,-80,-116,-104
46,0x55694a34e1a5,W,0x7ffe9f8aff7c,1,-188,-20,-188,-276,46820870188964,-284,46820870188948,-268,46820870188964,-268,46820870188964,-276,-292,-276,-292,-284,0,-12,-12,-20,308,-20,12,-28,-32,-32,-64,-52,-96,-64,-128,-84
