Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55ad2914f129,R,0x7ffc186557a0,1,,,,,,,,,,,,,,,,,-46518510827464,-8,-46518510827448,-24,-104,-280,-340,-340,-352,-328,-46518510827480,-360,-46518510827504,-328,-46518510827488,-360
9,0x55ad2914f131,W,0x7ffc18655798,1,-8,,,,,,,,,,,,,,,,-46518510827456,-8,-46518510827440,-264,-96,-272,-332,-344,24,-320,-46518510827488,-352,-320,-320,-46518510827480,-352
11,0x55ad2914f132,W,0x7ffc18655790,1,-16,-8,-16,,,,,,,,,,,,,,-46518510827448,-8,-88,-256,-88,-324,-336,-336,-46518510827464,-312,-46518510827488,-344,-312,-344,-46518510827472,-344
16,0x55ad2914f13f,R,0x55ad29151fd8,1,-46518510827464,-46518510827448,-46518510827464,-46518510827456,-46518510827464,,,,,,,,,,,,16,46518510827440,46518510827360,46518510827184,46518510827124,46518510827124,46518510827480,46518510827112,-32,46518510827136,-40,46518510827136,46518510827136,46518510827104,-24,46518510827168
17,0x55ad2914f13f,W,0x7ffc18655788,1,46518510827440,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46518510827424,-248,-80,-256,-328,-316,-46518510827456,-328,-46518510827472,-336,-46518510827480,-336,-304,-336,-46518510827464,-300
21,0x55ad2914f008,R,0x55ad29151fe8,1,16,-46518510827424,-46518510827448,-46518510827440,-46518510827448,-46518510827432,-46518510827448,-46518510827440,-46518510827448,,,,,,,,46518510827344,46518510827176,46518510827108,46518510827168,46518510827464,46518510827108,-32,46518510827120,-48,46518510827120,-56,46518510827088,46518510827120,46518510827152,-40,46518510827088
26,0x55ad2914f01a,R,0x7ffc18655738,1,46518510827344,-80,-104,-88,46518510827360,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-248,-176,120,-248,-46518510827376,-256,-46518510827392,-256,-46518510827400,-256,-224,-220,-220,-256
39,0x55ad2914f1b8,R,0x7ffc18655738,1,0,-80,46518510827360,-88,46518510827360,-96,46518510827360,-88,-104,-88,-104,-96,-104,,,,-236,-168,-248,-236,120,-224,-46518510827376,-224,-46518510827392,-256,-46518510827400,-192,-46518510827384,-220,-224,-256
42,0x55ad2914f2af,W,0x7ffc18655690,1,-168,-248,46518510827176,-256,-272,-264,46518510827192,-248,46518510827192,-256,-272,-256,-272,-264,-272,,-68,-8,-80,-80,288,-88,-46518510827208,-88,-46518510827224,-88,-56,-24,-52,-52,-52,-88
45,0x55ad2914f2b3,W,0x7ffc18655688,1,-176,-8,-176,-264,46518510827184,-272,46518510827168,-256,46518510827184,-256,46518510827184,-264,-280,-264,-280,-272,-60,-60,-72,-48,296,-48,-46518510827200,-80,-46518510827224,-80,-46518510827208,-16,-48,-44,-44,-46517696365544
48,0x55ad2914f2b8,W,0x7ffc1865564c,1,-236,-60,-236,-316,46518510827108,-332,-340,-316,46518510827108,-316,46518510827124,-316,46518510827124,-324,-340,-324,0,-12,-12,-20,356,-20,-46518510827156,-20,12,-20,16,44,12,-20,44,-46517696365484
50,0x55ad2914f2bb,W,0x7ffc18655640,1,-248,-12,-248,-80,46518510827096,-336,46518510827112,-328,-248,-328,46518510827096,-328,46518510827112,-328,46518510827112,-336,12,24,0,24,-46518510827128,-8,-46518510827152,-8,-46518510827136,-8,28,28,28,-8,56,-46517696361360
52,0x55ad2914f2bf,W,0x7ffc18655658,1,-224,24,-224,-48,46518510827120,-304,46518510827136,-320,-328,-304,-224,-304,46518510827120,-304,46518510827136,-304,-12,-32,344,0,-46518510827168,-32,0,-32,-46518510827160,32,0,4,4,-46517696365496,32,-46517696361376
54,0x55ad2914f2c6,R,0x7ffc1865564c,1,-236,-12,-236,0,46518510827108,-68,46518510827124,-324,-340,-68,-236,-316,-236,-316,46518510827108,-316,-12,-20,-46518510827140,12,-46518510827164,-20,12,-20,16,44,12,-20,16,-46517696361372,-46518510827148,-46517696361364
57,0x55ad2914f2cc,R,0x7ffc18655640,1,-12,-24,-248,0,46518510827096,-72,46518510827112,-328,-352,-344,-248,-80,-248,-328,-248,-328,368,-8,-46518510827144,24,-46518510827152,-8,-46518510827136,-8,28,28,24,-46517696365472,56,-46517696361360,-46518510827136,28
60,0x55ad2914f2d4,R,0x7ffc186557b0,1,368,344,120,368,46518510827464,356,46518510827480,288,16,32,120,296,120,288,120,40,-46518510827496,-376,-46518510827512,-376,-344,-376,-46518510827504,-312,-340,-376,-340,-46517696365840,-312,-46517696361720,-340,-340
63,0x55ad2914f2da,W,0x7ffc18655638,1,-376,-32,-20,-8,-256,-20,46518510827104,-80,-360,-336,-256,-352,-256,-80,-256,-88,-46518510827120,32,-46518510827144,0,32,0,-46518510827128,36,32,0,36,-46517696361352,-46518510827128,-46517696361344,64,36
66,0x55ad2914f104,R,0x55ad29151fc8,1,-46518510827496,-46518510827120,-46518510827128,-46518510827128,-46518510827376,-46518510827140,-32,-46518510827200,-46518510827480,-46518510827208,-46518510827376,-46518510827464,-46518510827376,-46518510827140,-46518510827376,-46518510827200,-16,46518510827152,-24,46518510827120,46518510827152,46518510827184,46518510827156,46518510827156,46518510827152,814461656,46518510827184,814465768,46518510827156,814465776,46518510827184,46518510827120
68,0x55ad2914f2df,W,0x7ffc18655658,1,46518510827152,32,24,0,12,12,-224,-48,46518510827136,-56,-224,-304,-224,-320,-224,12,-46518510827168,-32,-46518510827176,-32,-46518510827160,32,4,-32,4,-46517696365496,-46518510827160,-46517696361384,4,4,-46517696365496,-32
71,0x55ad2914f2e7,W,0x7ffc18655638,1,46518510827120,-32,-376,-32,-20,-8,-256,-80,46518510827088,-88,-360,-336,-256,-344,-256,-8,-46518510827136,0,32,0,-46518510827128,36,32,0,64,-46517696365464,-46518510827128,-46517696361344,64,36,-46517696365464,-46517696365456
74,0x55ad2914f0e4,R,0x55ad29151fb8,1,-16,-46518510827136,-46518510827512,-46518510827136,-46518510827144,-46518510827144,-46518510827392,-46518510827156,-46518510827392,-46518510827224,-32,-46518510827472,-46518510827156,-46518510827480,-46518510827392,-46518510827488,-8,46518510827136,46518510827168,46518510827200,46518510827172,46518510827172,46518510827172,46518510827136,46518510827200,814465784,46518510827172,814465792,46518510827200,46518510827136,814461672,814465816
77,0x55ad2914f2ee,W,0x7ffc18655638,1,46518510827136,0,-376,-32,-8,-32,-20,-20,-256,-80,46518510827088,-336,-360,-344,-20,-352,-46518510827144,0,-46518510827128,64,32,36,36,-46517696365464,-46518510827128,-46517696361352,36,36,64,-46517696365456,36,-46517696361320
80,0x55ad2914f0d4,R,0x55ad29151fb0,1,-8,-46518510827144,-24,-46518510827176,-46518510827152,-46518510827144,-46518510827164,-46518510827152,-46518510827400,-46518510827224,-56,-46518510827232,-40,-46518510827488,-46518510827152,-46518510827496,46518510827176,46518510827144,46518510827180,46518510827208,46518510827176,46518510827144,46518510827208,814461680,16,814465800,46518510827180,46518510827144,814461680,814461688,46518510827180,814465824
82,0x55ad2914f2f3,R,0x7ffc18655658,1,46518510827176,32,46518510827152,32,-344,32,12,0,-224,12,-224,-56,46518510827136,-304,-328,-320,-46518510827160,-32,4,4,4,-32,32,-46517696361384,-46518510827160,4,32,-32,4,-46517696365488,32,-46517696361352
87,0x55ad2914f2ff,W,0x7ffc18655638,1,-32,0,46518510827136,0,-376,-32,-8,-32,-256,-8,-256,-80,46518510827088,-336,-360,-344,-46518510827128,64,32,36,36,-46517696365464,64,-46517696361344,36,36,-46517696365464,0,36,-46517696365456,-46517696365464,-46517696361320
90,0x55ad2914f0f4,R,0x55ad29151fc0,1,-46518510827160,-46518510827128,16,-46518510827128,-8,-46518510827160,-46518510827136,-46518510827128,-46518510827148,-46518510827136,-46518510827384,-46518510827148,-40,-46518510827216,-24,-46518510827472,46518510827164,46518510827192,46518510827160,46518510827128,46518510827164,814465776,0,814465784,46518510827192,46518510827164,46518510827164,46518510827128,46518510827192,814461672,814461664,814465816
92,0x55ad2914f304,W,0x7ffc18655678,1,46518510827192,64,46518510827208,64,46518510827200,32,-312,64,44,32,-192,44,46518510827152,-16,46518510827168,-272,-28,-28,-32,-46517696365528,0,-46517696361416,-28,-46517696361408,-46517696365528,-28,-28,-64,0,-46517696361384,-28,-46517696361376
94,0x55ad2914f308,W,0x7ffc1865565c,1,46518510827164,-28,4,36,46518510827172,36,46518510827156,36,28,4,-220,28,-220,-44,46518510827140,-52,0,-36,0,-46517696365500,-46518510827164,-46517696361388,28,-46517696361380,0,0,0,-46517696365492,-46517696365500,-46517696361356,0,0
97,0x55ad2914f372,R,0x7ffc1865565c,1,46518510827164,0,4,36,46518510827180,36,46518510827156,4,-340,4,16,28,-220,16,46518510827124,-52,-4,-36,28,-46517696365500,0,-46517696361388,-46517696365500,-46517696361380,0,-36,28,-46517696365492,-46517696365500,-46517696361348,0,0
