Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55763b07c0a9,R,0x7ffefa157eb0,1,,,,,,,,,,,,,,,,,-46766809255640,-8,-46766809255624,-24,-104,-280,-145309329224,-288,-372,-304,16,-312,-364,-372,-364,-384
9,0x55763b07c0b1,W,0x7ffefa157ea8,1,-8,,,,,,,,,,,,,,,,-46766809255632,-8,-46766809255616,-264,-96,-272,-145309329216,-288,-376,-296,-46766809255640,-304,-384,-364,-356,-320
11,0x55763b07c0b2,W,0x7ffefa157ea0,1,-16,-8,-16,,,,,,,,,,,,,,-46766809255624,-8,-88,-256,-88,-272,-356,-280,32,-288,-348,-296,-376,-368,-348,-348
16,0x55763b07c0bf,R,0x55763b07efd8,1,-46766809255640,-46766809255624,-46766809255640,-46766809255632,-46766809255640,,,,,,,,,,,,16,46766809255616,46766809255536,46766809255360,46621499926416,46766809255352,46766809255256,46766809255344,-8,46766809255336,46766809255276,46766809255268,46766809255248,46766809255312,46766809255276,46766809255248
17,0x55763b07c0bf,W,0x7ffefa157e98,1,46766809255616,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46766809255600,-248,-80,-256,-348,-264,40,-272,-46766809255624,-288,-340,-360,-368,-340,-340,-340
21,0x55763b07c008,R,0x55763b07efe8,1,16,-46766809255600,-46766809255624,-46766809255616,-46766809255624,-46766809255608,-46766809255624,-46766809255616,-46766809255624,,,,,,,,46766809255520,46766809255352,46621499926400,46766809255344,46766809255240,46766809255336,46766809255640,46766809255320,-24,46766809255252,46766809255260,46766809255296,46766809255232,46766809255232,46766809255260,46766809255280
26,0x55763b07c01a,R,0x7ffefa157e48,1,46766809255520,-80,-104,-88,46766809255536,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-268,-176,-280,-192,120,-208,-46766809255544,-280,-260,-260,-288,-260,-260,-288
39,0x55763b07c138,R,0x7ffefa157e48,1,0,-80,46766809255536,-88,46766809255536,-96,46766809255536,-88,-104,-88,-104,-96,-104,,,,-145309329120,-168,-268,-184,-280,-200,120,-268,-46766809255544,-224,-260,-288,-288,-240,-260,-232
42,0x55763b07c18d,W,0x7ffefa157da0,1,-168,-248,46766809255352,-256,-272,-264,46766809255368,-248,46766809255368,-256,-272,-256,-272,-264,-272,,-145309328952,-8,-100,-24,-112,-40,288,-112,-46766809255376,-92,-92,-92,-120,-120,-92,-88
45,0x55763b07c191,W,0x7ffefa157d98,1,-176,-8,-176,-264,46766809255360,-272,46766809255344,-256,46766809255360,-256,46766809255360,-264,-280,-264,-280,-272,-145309328944,-8,-92,-24,-104,-92,296,-48,-46766809255368,-112,-84,-64,-112,-56,-80,-80
47,0x55763b07c193,W,0x7ffefa157d90,1,-184,-8,-184,-264,46766809255336,-280,-288,-264,46766809255336,-264,46766809255352,-264,46766809255352,-272,-288,-272,-145309328936,-8,-84,-24,-96,-96,304,-76,-46766809255360,-76,-76,-104,-76,-48,-72,-104
49,0x55763b07c195,W,0x7ffefa157d88,1,-192,-8,-192,-24,46766809255328,-280,46766809255344,-272,-192,-272,46766809255328,-272,46766809255344,-272,46766809255344,-280,-145309328928,-8,-76,-76,-88,-32,312,-96,-46766809255352,-48,-96,-96,-68,-64,-64,-64
51,0x55763b07c197,W,0x7ffefa157d80,1,-200,-8,-200,-24,46766809255320,-280,46766809255336,-296,-304,-280,-200,-280,46766809255320,-280,46766809255336,-280,-145309328920,-8,-68,-80,-80,-60,320,-60,-60,-40,-88,-32,-60,-88,-56,-56
53,0x55763b07c199,W,0x7ffefa157d78,1,-208,-8,-208,-24,46766809255312,-40,46766809255328,-296,-312,-40,-208,-288,-208,-288,46766809255312,-288,-145309328912,-60,-60,-16,-72,-80,-46766809255336,-52,-52,-80,-80,-48,-48,-80,-24,-48
56,0x55763b07c19e,W,0x7ffefa157d3c,1,-268,-60,-268,-76,46766809255252,-92,46766809255268,-348,-372,-364,-268,-100,-268,-348,-268,-348,-145309328852,-12,0,8,388,-20,-46766809255276,28,8,36,8,12,12,-20,12,12
58,0x55763b07c1a1,W,0x7ffefa157d30,1,-280,-12,-280,-80,46766809255240,-96,46766809255256,-112,-384,-368,-280,-104,-280,-112,-280,-360,-145309328840,56,0,20,400,20,-46766809255264,-8,-8,48,24,24,48,-8,24,-16
60,0x55763b07c1a5,R,0x7fdd24f91768,1,-145309329120,-145309328840,-145309329120,-145309328912,46621499926400,-145309328928,46621499926416,-145309328944,-145309329224,-145309329200,-145309329120,-145309329216,-145309329120,-145309328944,-145309329120,-145309328952,145309328852,145309328896,145309328840,145309328832,145309329240,145309328880,145309328860,145309328832,145309328860,145309328888,145309328864,145309328864,145309328888,145309328864,145309328864,145309328824
62,0x55763b07c1ae,W,0x7ffefa157d68,1,145309328896,56,-224,44,46766809255296,-24,46766809255312,-40,-328,-56,-224,-312,-224,-40,-224,-48,-44,-36,-56,-36,-46766809255320,-16,-64,-64,-32,-8,-32,-64,-32,-32,-32,-32
67,0x55763b07c1ba,W,0x7ffefa157d44,1,145309328860,-36,-260,8,46766809255260,-52,46766809255276,-68,-364,-84,-260,-340,-260,-356,-260,-76,-8,-28,380,0,0,20,0,-28,4,4,28,-28,4,-36,4,4
69,0x55763b07c1c1,R,0x7ffefa157d3c,1,145309328852,-8,-268,12,-268,-60,46766809255268,-68,-372,-84,-268,-100,-268,-356,-268,-76,-12,-20,-46766809255276,8,-20,28,8,36,12,12,36,12,12,-28,12,-36
72,0x55763b07c1c7,R,0x7ffefa157d30,1,-12,-20,-280,-56,-280,-12,46766809255240,-80,-384,-88,-280,-104,-280,-360,-280,-376,400,-8,20,20,-8,-8,24,48,24,-8,24,24,24,24,24,-24
75,0x55763b07c1cf,R,0x7ffefa157ec0,1,400,380,145309329240,344,120,400,46766809255640,328,46766809255656,312,120,304,120,288,120,32,-46766809255664,-408,-380,-360,-380,-408,-376,-376,-352,-408,-376,-416,-376,-376,-376,-376
78,0x55763b07c1d5,W,0x7ffefa157d28,1,-408,-28,-20,-64,-288,-8,46766809255232,-20,46766809255248,-88,-392,-104,-288,-112,-288,-368,-46766809255256,28,0,48,28,56,32,32,56,32,32,-8,32,-16,32,-24
81,0x55763b07c094,R,0x55763b07efd0,1,-46766809255664,-46766809255256,-46766809255264,-46766809255320,-46621499926424,-46766809255264,-46766809255544,-46766809255276,-8,-46766809255336,-46766809255648,-46766809255352,-46621499926424,-46766809255368,-46766809255544,-46766809255376,46766809255284,46766809255284,46766809255256,46766809255256,46766809255288,46766809255312,46766809255288,46766809255256,46766809255288,46766809255288,46766809255288,46766809255288,46766809255288,46766809255288,46766809255312,46766809255232
83,0x55763b07c1da,W,0x7ffefa157d44,1,46766809255284,28,20,0,8,20,-260,8,46766809255260,-52,-364,-60,145309328860,-76,145309328860,-92,0,20,0,-28,4,4,28,-28,4,-36,4,-44,4,4,28,4
85,0x55763b07c1dd,R,0x7ffefa157d44,1,46766809255284,0,-380,0,8,-36,145309328860,8,-260,-52,46766809255276,-60,145309328860,-68,145309328860,-84,-28,20,0,28,4,4,28,4,4,4,4,-44,4,-52,4,4
89,0x55763b07c1e7,W,0x7ffefa157d58,1,20,20,-360,48,40,-16,145309328880,40,-240,-32,46766809255280,-40,-344,-48,145309328880,-56,-48,-48,-16,8,-16,-48,8,-56,-16,-16,-16,-16,8,-72,-16,-16
122,0x55763b07c277,R,0x7ffefa157d28,1,-28,-48,46766809255256,0,-8,-28,-20,-8,-288,-20,-288,-88,46766809255248,-96,-20,-104,28,0,32,32,32,32,32,-8,32,-16,32,32,32,-24,32,32
123,0x55763b07c277,W,0x7ffefa157d28,1,0,-48,46766809255256,-28,-408,-28,-20,-64,145309328832,-20,-288,-80,46766809255232,-96,-392,-104,28,56,32,0,56,32,32,32,32,-16,56,32,32,-24,32,32
129,0x55763b07c28a,W,0x7ffefa157d60,1,56,56,28,28,-352,56,48,-8,145309328888,48,-232,-24,46766809255288,-32,46766809255304,-48,-28,-24,-24,-56,0,-64,-24,-24,-24,-72,-24,-24,-24,-80,-24,-88
131,0x55763b07c28e,R,0x7ffefa157d44,1,28,-28,0,-20,46766809255284,28,20,0,8,20,-260,8,-260,-60,46766809255276,-68,4,4,4,4,4,-36,4,4,28,-44,4,4,4,4,28,-60
134,0x55763b07c294,W,0x7ffefa157d48,1,4,-24,4,32,46766809255288,4,-376,4,12,-32,145309328864,12,-256,-48,46766809255264,-64,0,-32,24,0,0,-40,0,0,0,-48,0,-56,0,0,24,0
137,0x55763b07c2b5,R,0x7ffefa157d48,1,4,0,32,32,46766809255288,-16,-376,32,24,-32,145309328864,24,-256,-48,46766809255264,-56,0,-32,0,0,0,-40,24,0,0,0,0,-56,0,-64,0,0
141,0x55763b07c29d,R,0x7ffefa157d48,1,0,0,32,-24,4,-16,-376,4,24,4,12,24,-256,12,-256,-56,24,-32,0,0,0,-40,24,-48,0,0,0,0,24,-64,0,0
143,0x55763b07c2a2,R,0x7ffefa157d60,1,24,24,28,0,28,56,46766809255312,28,48,56,36,-8,145309328888,36,-232,-24,-24,-56,-24,-24,-24,-24,-24,-72,-24,-80,-24,-24,-24,-88,-24,-24
145,0x55763b07c2a6,R,0x7ffefa157d48,1,-24,0,0,-24,32,32,46766809255288,-16,-376,32,12,4,145309328864,24,-256,-48,0,-32,0,-40,24,0,0,0,0,-56,24,0,0,-64,0,0
148,0x55763b07c2ac,W,0x7ffefa157d28,1,-32,-32,-32,-56,-28,0,-28,-48,-408,-28,-8,-28,145309328832,-64,-288,-20,32,32,32,-8,56,-16,32,32,32,-24,32,32,32,-32,32,-40
150,0x55763b07c2b1,R,0x7ffefa157d48,1,0,32,-24,-24,0,32,32,-16,46766809255288,4,24,32,12,-32,-256,24,0,0,0,0,0,-48,0,0,24,-56,0,0,0,0,24,-72
151,0x55763b07c2b1,W,0x7ffefa157d48,1,0,32,-24,0,0,32,4,-16,4,4,-376,32,12,4,145309328864,24,0,-40,24,0,0,-48,0,0,0,-56,0,-64,0,0,24,0
153,0x55763b07c2b5,R,0x7ffefa157d48,1,0,0,0,0,0,-24,0,-16,32,4,46766809255288,32,24,4,145309328864,-32,0,-40,0,0,0,-48,24,0,0,0,0,-64,0,-72,0,0
157,0x55763b07c29d,R,0x7ffefa157d48,1,0,0,0,32,-24,-24,0,32,4,4,4,32,-376,4,12,-32,24,-40,0,0,0,-48,24,-56,0,0,0,0,24,-72,0,0
159,0x55763b07c2a2,R,0x7ffefa157d60,1,24,24,24,56,0,24,24,56,28,8,56,56,46766809255312,28,48,-8,-24,-64,-24,-24,-24,-24,-24,-80,-24,-88,-24,-24,-24,-96,-24,-24
161,0x55763b07c2a6,R,0x7ffefa157d48,1,-24,0,0,32,0,0,0,-24,0,-16,32,4,4,4,-376,-32,0,-40,0,-48,24,0,0,0,0,-64,24,0,0,-72,0,0
164,0x55763b07c2ac,W,0x7ffefa157d20,1,-40,-40,-40,-8,-40,-40,-64,-64,-40,-8,-36,-36,-36,-8,46766809255248,-72,40,40,40,-8,64,-16,40,40,40,-24,40,40,40,-32,40,-40
166,0x55763b07c2b1,R,0x7ffefa157d48,1,0,40,-24,32,0,0,0,-24,0,32,4,-16,32,32,46766809255288,4,0,0,0,0,0,-56,0,0,24,-64,0,0,0,0,24,-80
167,0x55763b07c2b1,W,0x7ffefa157d48,1,0,40,-24,0,0,0,0,-24,-24,32,0,-16,32,4,4,4,0,-48,24,0,0,-56,0,0,0,-64,0,-72,0,0,24,0
169,0x55763b07c2b5,R,0x7ffefa157d48,1,0,0,0,0,0,32,0,-24,0,32,0,-16,4,4,4,32,0,-48,0,0,0,-56,24,0,0,0,0,-72,0,-80,0,0
173,0x55763b07c29d,R,0x7ffefa157d48,1,0,0,0,40,-24,32,0,0,0,32,-24,-16,0,4,32,32,24,-48,0,0,0,-56,24,-64,0,0,0,0,24,-80,0,0
175,0x55763b07c2a2,R,0x7ffefa157d60,1,24,24,24,64,0,24,24,24,24,0,24,8,24,28,28,56,-24,-72,-24,-24,-24,-24,-24,-88,-24,-96,-24,-24,-24,-104,-24,-24
177,0x55763b07c2a6,R,0x7ffefa157d48,1,-24,0,0,40,0,0,0,32,0,-24,0,32,-24,4,0,32,0,-48,0,-56,24,0,0,0,0,-72,24,0,0,-80,0,0
180,0x55763b07c2ac,W,0x7ffefa157d18,1,-48,-48,-48,-8,-48,-48,-72,-16,-48,-48,-48,-16,-72,-64,-48,-16,48,48,48,-8,72,-16,48,48,48,-24,48,48,48,-32,48,-40
182,0x55763b07c2b1,R,0x7ffefa157d48,1,0,48,-24,40,0,0,0,32,0,0,0,-24,0,-16,0,4,0,0,0,0,0,-64,0,0,24,-72,0,0,0,0,24,-88
183,0x55763b07c2b1,W,0x7ffefa157d48,1,0,48,-24,0,0,0,0,32,-24,0,0,-24,0,32,-24,4,0,-56,24,0,0,-64,0,0,0,-72,0,-80,0,0,24,0
185,0x55763b07c2b5,R,0x7ffefa157d48,1,0,0,0,0,0,40,0,32,0,0,0,-24,0,32,-24,-16,0,-56,0,0,0,-64,24,0,0,0,0,-80,0,-88,0,0
189,0x55763b07c29d,R,0x7ffefa157d48,1,0,0,0,48,-24,40,0,0,0,0,-24,-24,0,32,0,-16,24,-56,0,0,0,-64,24,-72,0,0,0,0,24,-88,0,0
191,0x55763b07c2a2,R,0x7ffefa157d60,1,24,24,24,72,0,24,24,24,24,56,24,0,24,56,24,8,-24,-80,-24,-24,-24,-24,-24,-96,-24,-104,-24,-24,-24,-112,-24,-24
193,0x55763b07c2a6,R,0x7ffefa157d48,1,-24,0,0,48,0,0,0,40,0,32,0,0,-24,32,0,-16,0,-56,0,-64,24,0,0,0,0,-80,24,0,0,-88,0,0
196,0x55763b07c2ac,W,0x7ffefa157d10,1,-56,-56,-56,-8,-56,-56,-80,-16,-56,-56,-56,-56,-80,-80,-56,-72,56,56,56,-8,80,-16,56,56,56,-24,56,56,56,-32,56,-40
198,0x55763b07c2b1,R,0x7ffefa157d48,1,0,56,-24,48,0,0,0,40,0,0,0,32,0,-24,0,32,0,0,0,0,0,-72,0,0,24,-80,0,0,0,0,24,-96
199,0x55763b07c2b1,W,0x7ffefa157d48,1,0,56,-24,0,0,0,0,40,-24,0,0,32,0,0,-24,32,0,-64,24,0,0,-72,0,0,0,-80,0,-88,0,0,24,0
201,0x55763b07c2b5,R,0x7ffefa157d48,1,0,0,0,0,0,48,0,40,0,0,0,32,0,0,-24,-24,0,-64,0,0,0,-72,24,0,0,0,0,-88,0,-96,0,0
