Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55b88d3d50a9,R,0x7ffc9e98ce60,1,,,,,,,,,,,,,,,,,-46471837339272,-8,-46471837339256,-24,-104,-280,-791163168504,-288,-372,-304,16,-312,-364,-372,-360,-384
9,0x55b88d3d50b1,W,0x7ffc9e98ce58,1,-8,,,,,,,,,,,,,,,,-46471837339264,-8,-46471837339248,-264,-96,-272,-791163168496,-288,-376,-296,-46471837339272,-304,-384,-364,-352,-320
11,0x55b88d3d50b2,W,0x7ffc9e98ce50,1,-16,-8,-16,,,,,,,,,,,,,,-46471837339256,-8,-88,-256,-88,-272,-356,-280,32,-288,-348,-296,-376,-368,-344,-348
16,0x55b88d3d50bf,R,0x55b88d3d7fd8,1,-46471837339272,-46471837339256,-46471837339272,-46471837339264,-46471837339272,,,,,,,,,,,,16,46471837339248,46471837339168,46471837338992,45680674170768,46471837338984,46471837338888,46471837338976,-8,46471837338968,46471837338908,46471837338900,46471837338880,46471837338944,46471837338912,46471837338880
17,0x55b88d3d50bf,W,0x7ffc9e98ce48,1,46471837339248,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46471837339232,-248,-80,-256,-348,-264,40,-272,-46471837339256,-288,-340,-360,-368,-340,-336,-340
21,0x55b88d3d5008,R,0x55b88d3d7fe8,1,16,-46471837339232,-46471837339256,-46471837339248,-46471837339256,-46471837339240,-46471837339256,-46471837339248,-46471837339256,,,,,,,,46471837339152,46471837338984,45680674170752,46471837338976,46471837338872,46471837338968,46471837339272,46471837338952,-24,46471837338884,46471837338892,46471837338928,46471837338864,46471837338864,46471837338896,46471837338912
26,0x55b88d3d501a,R,0x7ffc9e98cdf8,1,46471837339152,-80,-104,-88,46471837339168,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-268,-176,-280,-192,120,-208,-46471837339176,-280,-260,-260,-288,-260,-256,-288
39,0x55b88d3d5138,R,0x7ffc9e98cdf8,1,0,-80,46471837339168,-88,46471837339168,-96,46471837339168,-88,-104,-88,-104,-96,-104,,,,-791163168400,-168,-268,-184,-280,-200,120,-268,-46471837339176,-224,-260,-288,-288,-240,-256,-232
42,0x55b88d3d518d,W,0x7ffc9e98cd50,1,-168,-248,46471837338984,-256,-272,-264,46471837339000,-248,46471837339000,-256,-272,-256,-272,-264,-272,,-791163168232,-8,-100,-24,-112,-40,288,-112,-46471837339008,-92,-92,-92,-120,-120,-88,-88
45,0x55b88d3d5191,W,0x7ffc9e98cd48,1,-176,-8,-176,-264,46471837338992,-272,46471837338976,-256,46471837338992,-256,46471837338992,-264,-280,-264,-280,-272,-791163168224,-8,-92,-24,-104,-92,296,-48,-46471837339000,-112,-84,-64,-112,-56,-84,-80
47,0x55b88d3d5193,W,0x7ffc9e98cd40,1,-184,-8,-184,-264,46471837338968,-280,-288,-264,46471837338968,-264,46471837338984,-264,46471837338984,-272,-288,-272,-791163168216,-8,-84,-24,-96,-96,304,-76,-46471837338992,-76,-76,-104,-72,-48,-76,-3296
49,0x55b88d3d5195,W,0x7ffc9e98cd38,1,-192,-8,-192,-24,46471837338960,-280,46471837338976,-272,-192,-272,46471837338960,-272,46471837338976,-272,46471837338976,-280,-791163168208,-8,-76,-76,-88,-32,312,-96,-46471837338984,-48,-96,-96,-64,-64,-68,-64
51,0x55b88d3d5197,W,0x7ffc9e98cd30,1,-200,-8,-200,-24,46471837338952,-280,46471837338968,-296,-304,-280,-200,-280,46471837338952,-280,46471837338968,-280,-791163168200,-8,-68,-80,-80,-60,320,-60,-60,-40,-88,-32,-56,-3280,-56,-56
