Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
5,0x55dfc16d10e9,R,0x7ffd8edbcdc0,1,,,,,,,,,,,,,,,,,-46307488992744,-8,-46307488992728,-24,-104,-324,-324,-336,-336,-304,-46307488992760,-344,24,-308,-304,-344
9,0x55dfc16d10f1,W,0x7ffd8edbcdb8,1,-8,,,,,,,,,,,,,,,,-46307488992736,-8,-46307488992720,-264,-96,-316,-316,-300,24,-296,-328,-336,-46307488992752,-300,-296,-296
11,0x55dfc16d10f2,W,0x7ffd8edbcdb0,1,-16,-8,-16,,,,,,,,,,,,,,-46307488992728,-8,-88,-256,-88,-320,-320,-292,-46307488992744,-288,40,-328,-46307488992744,-328,-288,-276
16,0x55dfc16d10ff,R,0x55dfc16d3fd8,1,-46307488992744,-46307488992728,-46307488992744,-46307488992736,-46307488992744,,,,,,,,,,,,16,46307488992720,46307488992640,46307488992420,46307488992420,46307488992408,46307488992760,46307488992436,46307488992408,46307488992440,46307488992768,46307488992436,-16,46307488992440,46307488992440,46307488992400
17,0x55dfc16d10ff,W,0x7ffd8edbcda8,1,46307488992720,-8,-24,-16,-24,-16,-24,,,,,,,,,,-46307488992704,-248,-80,-300,-312,-312,-46307488992736,-284,-312,-320,48,-320,-46307488992736,-268,-280,-256
21,0x55dfc16d1008,R,0x55dfc16d3fe8,1,16,-46307488992704,-46307488992728,-46307488992720,-46307488992728,-46307488992712,-46307488992728,-46307488992720,-46307488992728,,,,,,,,46307488992624,46307488992456,46307488992404,46307488992404,46307488992744,46307488992392,-32,46307488992424,46307488992392,46307488992420,46307488992752,46307488992424,-32,46307488992384,46307488992424,46307488992428
26,0x55dfc16d101a,R,0x7ffd8edbcd58,1,46307488992624,-80,-104,-88,46307488992640,-88,-104,-88,-104,-96,-104,,,,,,0,-168,-232,-220,120,-204,-46307488992656,-240,-232,-240,128,-188,-46307488992656,-176,-188,-196
39,0x55dfc16d1178,R,0x7ffd8edbcd58,1,0,-80,46307488992640,-88,46307488992640,-96,46307488992640,-88,-104,-88,-104,-96,-104,,,,-220,-168,-232,-232,120,-200,-46307488992656,-204,-232,-200,128,-240,-200,-176,-46307488992664,-196
42,0x55dfc16d11cd,W,0x7ffd8edbccb0,1,-168,-248,46307488992456,-256,-272,-264,46307488992472,-248,46307488992472,-256,-272,-256,-272,-264,-272,,-52,-52,-64,-36,288,-72,-46307488992488,-72,-64,-20,-46307488992488,-72,-20,-8,-8,-28
46,0x55dfc16d11d5,W,0x7ffd8edbcc7c,1,-220,-52,-220,-308,46307488992420,-316,46307488992404,-300,46307488992420,-300,46307488992420,-308,-324,-308,-324,-316,0,-12,-12,20,340,16,-46307488992436,20,348,32,20,-20,-46307488992444,44,44,-46306454952412
