Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target,Fine grained Target
-1.6452004367472983,14.194415573307277,0.0,37,0.26,2.674966161601877,0.0,26,8,12,303.84694986371056,1.2268097386591768,17.02625457866002,0.0,41,0.31,2.37263553817531,0.0,31,8,25,597.6047975407898,0,100,3,1
-4.111286794100472,10.74005611894987,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.2872311147488,4.119644099384264,18.73303540975421,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.2384569793314,50,100,3,1
-4.119759772704275,10.730242067612934,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.30723311373015,4.718324190134198,19.113679445450515,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804295284,100,100,3,1
-3.752779644989993,10.396527333049873,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194908359,5.054859093471111,18.766913333227347,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280191518,150,100,3,1
-3.744306666386058,10.406357305317156,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134064177,4.456179002721044,18.39004794092313,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.926392081363,200,100,3,1
-4.111286794100189,10.740056118949148,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.2872311147205,4.119644099384024,18.733035409752905,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.238456979271,250,100,3,1
-4.119759772703992,10.730242067612211,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331137018,4.718324190133915,19.113679445449183,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804294647,300,100,3,1
-3.7527796449897313,10.396527333049171,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194908097,5.054859093470805,18.766913333226043,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280190902,350,100,3,1
-3.744306666385796,10.406357305316458,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134063916,4.456179002720783,18.390047940921846,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.9263920813044,400,100,3,1
-4.111286794099905,10.740056118948427,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.2872311146921,4.119644099383784,18.733035409751604,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.2384569792106,450,100,3,1
-4.119759772703708,10.730242067611488,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331136734,4.718324190133632,19.113679445447858,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804294012,500,100,3,1
-3.752779644989469,10.396527333048477,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194907836,5.0548590934705,18.766913333224736,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280190287,550,100,3,1
-3.744306666385535,10.406357305315762,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134063654,4.456179002720523,18.39004794092057,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.9263920812459,600,100,3,1
-4.1112867940996205,10.740056118947704,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.28723111466377,4.119644099383542,18.733035409750304,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.23845697915,650,100,3,1
-4.119759772703425,10.730242067610767,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331136451,4.718324190133348,19.113679445446525,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.503880429338,700,100,3,1
-3.7527796449892072,10.396527333047777,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194907573,5.054859093470194,18.766913333223428,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280189676,750,100,3,1
-3.7443066663852727,10.406357305315066,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134063392,4.45617900272026,18.39004794091929,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.9263920811874,800,100,3,1
-4.111286794099337,10.740056118946985,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.28723111463546,4.119644099383303,18.733035409749,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.2384569790895,850,100,3,1
