Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_3_last_read_mean,Delta_with_3_last_read_std,Delta_with_3_last_read_median,Delta_with_3_last_read_unique,Delta_with_3_last_read_zeros_frac,Delta_with_3_last_read_entropy,Delta_with_3_last_read_mode,Delta_with_3_last_read_mode_count,Delta_with_3_last_read_ac_first_peak,Delta_with_3_last_read_fft_dom_bin,Delta_with_3_last_read_fft_dom_power,Delta_with_4_last_read_mean,Delta_with_4_last_read_std,Delta_with_4_last_read_median,Delta_with_4_last_read_unique,Delta_with_4_last_read_zeros_frac,Delta_with_4_last_read_entropy,Delta_with_4_last_read_mode,Delta_with_4_last_read_mode_count,Delta_with_4_last_read_ac_first_peak,Delta_with_4_last_read_fft_dom_bin,Delta_with_4_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,Delta_with_3_last_write_mean,Delta_with_3_last_write_std,Delta_with_3_last_write_median,Delta_with_3_last_write_unique,Delta_with_3_last_write_zeros_frac,Delta_with_3_last_write_entropy,Delta_with_3_last_write_mode,Delta_with_3_last_write_mode_count,Delta_with_3_last_write_ac_first_peak,Delta_with_3_last_write_fft_dom_bin,Delta_with_3_last_write_fft_dom_power,Delta_with_4_last_write_mean,Delta_with_4_last_write_std,Delta_with_4_last_write_median,Delta_with_4_last_write_unique,Delta_with_4_last_write_zeros_frac,Delta_with_4_last_write_entropy,Delta_with_4_last_write_mode,Delta_with_4_last_write_mode_count,Delta_with_4_last_write_ac_first_peak,Delta_with_4_last_write_fft_dom_bin,Delta_with_4_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
-1.6452004367472983,14.194415573307277,0.0,37,0.26,2.674966161601877,0.0,26,8,12,303.84694986371056,-2.591470641724825,14.083474043175707,-2.19722457733622,37,0.18,2.7195357151111987,-3.044522437723423,18,8,12,376.52584094746567,-0.1731466208533367,16.48095737342474,0.0,35,0.27,2.461499995768538,0.0,27,16,25,384.04294222716896,0.567649395724847,15.368926009287538,0.0,42,0.35,2.371550460644794,0.0,35,16,1,377.184605733323,1.2268097386591768,17.02625457866002,0.0,41,0.31,2.37263553817531,0.0,31,8,25,597.6047975407898,9.99127055346628,18.434189944650186,1.6094379124341005,39,0.21,1.7257747468287854,0.0,21,5,1,745.1625529126663,0.7365069263271034,16.207011532480877,0.0,47,0.35,2.5937382817510315,0.0,35,8,13,556.335619368455,7.890245593367276,17.60199007655508,2.19722457733622,37,0.14,1.7552781201726186,0.0,14,4,1,777.6780478837696,0,100,3,1
-4.111286794100472,10.74005611894987,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.2872311147488,-4.446184262250048,10.653756750732375,-1.0986122886681098,18,0.25,2.259422768701085,0.0,25,8,25,385.69164510488815,-4.660775420502841,10.520956201140304,-1.0986122886681098,18,0.37,1.8267463734020848,0.0,37,8,25,483.8050899675477,-4.352981497607456,10.61486802383346,0.0,17,0.49,1.7695699929090791,0.0,49,8,25,453.33238185857465,4.119644099384264,18.73303540975421,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.2384569793314,20.026674355124868,14.92152622508819,31.45626575636225,20,0.24,0.9506720929293964,0.0,24,8,13,440.2777622013692,3.85597715010396,18.77365675315774,0.0,29,0.5,1.7594227697395508,0.0,50,8,12,697.7648145881844,20.05219091327892,14.5809641260746,31.45626575636229,20,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422027896,50,100,3,1
-4.119759772704275,10.730242067612934,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.30723311373015,-4.537519935381682,10.61954289988054,-2.19722457733622,18,0.24,1.9007101616210853,-3.044522437723423,26,8,25,379.6800469556173,-4.682747666276134,10.504671190552022,-1.0986122886681098,18,0.38,2.1472315246717475,0.0,38,8,25,480.6736783417036,-4.3834267219846215,10.597959713367654,0.0,17,0.5,1.749711384910595,0.0,50,8,25,450.3204620492604,4.718324190134198,19.113679445450515,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804295284,19.712111697560896,15.008574765170838,31.456265756361685,19,0.25,0.9580420224685556,0.0,25,8,38,443.0087376601479,3.825531925726666,18.777416275515783,0.0,29,0.51,1.7392756034943075,0.0,51,8,12,700.7410447981349,20.36675357084219,14.483963228563304,31.45626575636177,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345659946,100,100,3,1
-3.752779644989993,10.396527333049873,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194908359,-4.179012786271271,10.295856649410853,-1.0986122886681098,17,0.25,2.2394227687016603,-3.044522437723423,26,8,25,346.11900594071346,-4.393834502287064,10.15584974253019,-1.0986122886681098,17,0.38,2.147231524750065,0.0,38,8,25,452.0654781473153,-4.060391085817064,10.25207415012843,0.0,16,0.51,1.9792756030129488,0.0,51,8,25,419.0961772260214,5.054859093471111,18.766913333227347,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280191518,19.696017318436223,15.028827730290196,31.45626575636116,19,0.26,0.9580420224685556,0.0,26,8,13,440.2777622013534,4.7692198984174485,18.82486559348123,0.0,29,0.5,1.73942276815797,0.0,50,8,12,697.7648145881604,20.36675357084185,14.483963228563042,31.456265756361248,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345659795,150,100,3,1
-3.744306666386058,10.406357305317156,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134064177,-4.087677113139507,10.327972533997656,0.0,17,0.26,1.908259036209143,0.0,26,8,25,352.1026258012082,-4.371862256513638,10.17206913147221,-1.0986122886681098,17,0.37,2.1630845712252427,0.0,37,8,25,455.2004569840065,-4.029945861439766,10.268594240309277,0.0,16,0.5,1.9994227692584128,0.0,50,8,25,422.10401212610856,4.456179002721044,18.39004794092313,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.926392081363,20.01057997599949,14.942236001761383,31.45626575636064,20,0.25,0.9506720929293964,0.0,25,8,38,443.0087376601319,4.799665122794609,18.819588968142977,0.0,29,0.49,1.7592813761568318,0.0,49,8,12,700.7410447981106,20.052190913277897,14.580964126073807,31.45626575636068,19,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422027432,200,100,3,1
-4.111286794100189,10.740056118949148,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.2872311147205,-4.446184262249766,10.653756750731658,-1.0986122886681098,18,0.25,2.259422768701085,0.0,25,8,25,385.69164510485984,-4.660775420502557,10.520956201139583,-1.0986122886681098,18,0.37,1.8267463734020848,0.0,37,8,25,483.8050899675197,-4.352981497607173,10.614868023832738,0.0,17,0.49,1.7695699929090791,0.0,49,8,25,453.33238185854646,4.119644099384024,18.733035409752905,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.238456979271,20.02667435512349,14.921526225087137,31.456265756360068,20,0.24,0.9506720929293964,0.0,24,8,13,440.2777622013384,3.855977150103719,18.77365675315644,0.0,29,0.5,1.7594227697395508,0.0,50,8,12,697.7648145881357,20.05219091327756,14.580964126073544,31.45626575636011,20,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422027278,250,100,3,1
-4.119759772703992,10.730242067612211,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331137018,-4.537519935381398,10.61954289987982,-2.19722457733622,18,0.24,1.9007101616210853,-3.044522437723423,26,8,25,379.680046955589,-4.6827476662758505,10.5046711905513,-1.0986122886681098,18,0.38,2.1472315246717475,0.0,38,8,25,480.6736783416754,-4.383426721984338,10.59795971336693,0.0,17,0.5,1.749711384910595,0.0,50,8,25,450.3204620492322,4.718324190133915,19.113679445449183,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804294647,19.712111697559543,15.008574765169778,31.456265756359503,19,0.25,0.9580420224685556,0.0,25,8,38,443.0087376601164,3.8255319257264286,18.77741627551448,0.0,29,0.51,1.7392756034943075,0.0,51,8,12,700.7410447980861,20.36675357084081,14.483963228562253,31.45626575635959,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345659341,300,100,3,1
-3.7527796449897313,10.396527333049171,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194908097,-4.179012786271009,10.29585664941016,-1.0986122886681098,17,0.25,2.2394227687016603,-3.044522437723423,26,8,25,346.11900594068726,-4.3938345022868015,10.155849742529494,-1.0986122886681098,17,0.38,2.147231524750065,0.0,38,8,25,452.06547814728935,-4.060391085816802,10.252074150127733,0.0,16,0.51,1.9792756030129488,0.0,51,8,25,419.0961772259954,5.054859093470805,18.766913333226043,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280190902,19.69601731843487,15.028827730289136,31.456265756358977,19,0.26,0.9580420224685556,0.0,26,8,13,440.2777622013229,4.769219898417142,18.82486559347992,0.0,29,0.5,1.73942276815797,0.0,50,8,12,697.7648145881117,20.36675357084048,14.483963228561988,31.456265756359063,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345659191,350,100,3,1
-3.744306666385796,10.406357305316458,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134063916,-4.087677113139244,10.327972533996965,0.0,17,0.26,1.908259036209143,0.0,26,8,25,352.1026258011821,-4.371862256513376,10.172069131471511,-1.0986122886681098,17,0.37,2.1630845712252427,0.0,37,8,25,455.20045698398064,-4.029945861439504,10.268594240308577,0.0,16,0.5,1.9994227692584128,0.0,50,8,25,422.1040121260828,4.456179002720783,18.390047940921846,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.9263920813044,20.01057997599812,14.94223600176033,31.45626575635845,20,0.25,0.9506720929293964,0.0,25,8,38,443.0087376601003,4.7996651227943055,18.819588968141662,0.0,29,0.49,1.7592813761568318,0.0,49,8,12,700.7410447980618,20.052190913276544,14.580964126072752,31.456265756358498,19,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422026819,400,100,3,1
-4.111286794099905,10.740056118948427,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.2872311146921,-4.446184262249481,10.653756750730937,-1.0986122886681098,18,0.25,2.259422768701085,0.0,25,8,25,385.6916451048315,-4.660775420502273,10.52095620113886,-1.0986122886681098,18,0.37,1.8267463734020848,0.0,37,8,25,483.8050899674916,-4.352981497606889,10.614868023832011,0.0,17,0.49,1.7695699929090791,0.0,49,8,25,453.33238185851854,4.119644099383784,18.733035409751604,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.2384569792106,20.026674355122115,14.921526225086089,31.456265756357887,20,0.24,0.9506720929293964,0.0,24,8,13,440.2777622013078,3.855977150103478,18.773656753155134,0.0,29,0.5,1.7594227697395508,0.0,50,8,12,697.7648145880869,20.05219091327621,14.580964126072486,31.45626575635793,20,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422026664,450,100,3,1
